;Chlorophyta;Ochrophyta;Cryptophyta;Haptophyta;Katablepharidophyta;Rhodophyta;sChlorophyta;sOchrophyta;sCryptophyta;sHaptophyta;sKatablepharidophyta;sRhodophyta;uChlorophyta;uOchrophyta;uCryptophyta;uHaptophyta;uKatablepharidophyta;uRhodophyta;dChlorophyta;dOchrophyta;dCryptophyta;dHaptophyta;dKatablepharidophyta;dRhodophyta
L4F18;19039;1358;866;151;128;3753;18438;707;717;86;49;0;62;172;0;0;0;1075;539;479;149;65;79;2678
L4A18;27020;1894;1245;175;208;4;26725;325;1159;57;12;0;61;181;0;15;12;4;234;1388;86;103;184;0
Q1A17;307;2930;324;42;115;553;241;241;324;22;88;0;26;907;0;0;12;212;40;1782;0;20;15;341
Q1F18;335;529;226;0;0;13;159;299;159;0;0;0;0;0;0;0;0;0;176;230;67;0;0;13
Q2A17;3050;5582;424;375;92;2;2625;475;409;144;48;0;0;2313;0;0;0;0;425;2794;15;231;44;2
Q2F18;4866;1098;1196;114;16;0;4507;416;512;48;16;0;0;115;11;41;0;0;359;567;673;25;0;0
Q3A17;1829;5267;457;495;106;0;1641;516;457;143;50;0;17;2485;0;0;0;0;171;2266;0;352;56;0
Q3F18;6361;1733;2874;133;31;14;5770;609;2413;56;0;0;0;71;0;72;25;0;591;1053;461;5;6;14
Q3A18;16566;5998;1573;1017;269;0;15616;1291;1373;139;127;0;75;555;115;132;25;0;875;4152;85;746;117;0
Q4A17;1914;4272;273;518;42;8;1573;645;260;94;29;0;269;1513;0;40;0;0;72;2114;13;384;13;8
Q4F18;1339;919;704;69;33;13;1131;421;342;16;33;0;67;0;0;15;0;0;141;498;362;38;0;13
Q4A18;27485;4521;939;714;115;0;25980;533;939;126;74;0;142;629;0;193;0;0;1363;3359;0;395;41;0
