"";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"Color"
"Stramenopiles_X";98;46;0;0;28;0;18;89;0;0;122;0;6;0;0;37;20;7;18;53;0;0;32;0;0;0;8;0;0;10;0;11;0;0;0;0;0;9;0;3;9;0;0;0;0;0;0;0;0;0;0;0;48;4308;0;1989;6;2169;0;69;2737;0;0;"#FA8072"
"Pseudofungi";1247;255;155;68;272;109;67;539;558;38;457;302;567;67;74;175;130;90;76;277;43;16;372;128;207;112;167;160;199;178;378;130;158;218;72;225;62;438;177;222;149;49;152;0;38;147;116;63;32;15;71;179;122;788;0;2902;14;3206;49;262;4093;25;311;"#F97100"
"Katablepharidophyta";0;717;593;6;257;233;18;82;584;0;145;509;241;153;68;93;292;111;46;792;39;21;734;115;0;416;35;0;280;33;0;252;52;8;156;15;339;63;450;215;492;221;27;123;454;128;164;378;40;186;262;128;208;115;0;92;16;106;31;269;42;33;115;"#F94144"
"Opalozoa";312;1359;213;25;777;112;30;387;289;62;496;375;1254;388;105;1660;748;138;481;1444;46;140;1308;201;169;195;180;533;166;184;283;150;73;208;85;159;48;469;231;524;127;610;71;0;455;384;0;187;112;0;512;125;70;384;32;761;593;1126;400;234;1557;588;91;"#FA776B"
"Rhodophyta";0;0;0;0;0;4;0;11;0;0;0;0;16;14;16;14;23;0;0;0;70;26;27;0;567;185;173;16;25;153;80;7;66;106;2;63;11;2717;0;0;0;363;5320;0;243;2625;0;155;8559;0;416;3753;4;553;13;2;0;0;14;0;8;13;0;"#95D840"
"Prasinodermophyta";0;122;102;0;90;396;0;27;323;0;17;107;0;69;439;14;70;106;0;91;709;0;58;181;124;42;51;18;30;65;41;64;81;63;72;136;36;342;57;56;91;10;59;0;10;16;0;0;15;27;0;37;0;7;0;21;46;23;51;44;43;0;0;"#F8417D"
"Cercozoa";267;1356;41;17;698;82;872;1005;97;227;1093;228;134;214;48;242;313;69;74;498;43;14;632;62;178;152;133;138;135;142;75;165;54;65;32;59;39;391;94;70;63;305;188;206;113;410;334;132;96;1158;76;219;320;899;37;1235;263;1304;380;139;1477;312;315;"#F95C74"
"Cryptophyta.nucl";0;98;0;0;183;0;0;126;0;0;216;0;0;59;0;0;70;0;0;23;0;0;65;0;0;78;0;0;172;0;0;73;0;0;63;0;67;0;53;95;73;0;0;126;0;296;0;0;33;0;0;61;0;0;79;0;731;0;582;0;0;389;0;"#31AF78"
"Streptophyta";0;0;0;23;0;0;0;5;0;0;14;0;6;0;0;0;2;0;0;0;0;0;0;0;0;12;0;0;10;0;53;1044;0;0;0;0;0;0;43;0;0;28;0;898;0;0;398;0;0;487;0;104;23;0;44;0;105;0;17;2100;0;11;115;"#ACDD3C"
"Telonemia";124;194;732;38;73;173;17;218;546;10;103;394;171;18;58;116;51;61;28;79;11;45;70;112;98;96;100;93;139;129;158;181;79;135;169;284;51;99;152;160;102;3;23;0;14;60;0;0;24;0;13;87;15;19;2;22;0;6;6;146;31;0;27;"#FB9C70"
"Apicomplexa";0;0;0;0;0;13;3;0;43;0;8;24;0;0;53;3;23;4;0;0;66;5;3;9;0;0;0;0;0;0;0;0;27;0;0;0;0;43;0;0;0;0;165;0;0;50;0;0;32;0;0;42;0;14;869;0;426;0;120;0;0;303;0;"#C5DBEA"
"NA.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"#000000"
"Centroheliozoa";0;85;27;0;44;12;0;8;84;0;5;64;128;0;27;280;0;24;109;7;0;18;27;31;6;0;8;0;0;5;4;0;11;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;7;0;"#8BB7D4"
"Choanoflagellida";11;117;0;0;95;11;0;108;112;0;100;53;110;21;54;157;28;46;34;185;14;9;229;58;6;23;35;0;52;107;48;14;53;11;5;170;18;326;73;72;67;14;37;148;14;14;267;63;10;318;0;40;103;103;0;102;0;95;23;108;88;0;155;"#5193BE"
"Conosa";697;0;0;0;0;64;0;0;23;0;0;0;0;0;0;84;0;0;0;0;7;0;0;0;0;0;66;0;0;0;0;0;6;46;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;"#AA006A"
"Radiolaria";0;0;0;0;0;48;0;0;0;0;0;0;0;0;5;29;12;0;0;15;0;22;40;19;29;0;215;21;0;114;0;0;43;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;24;0;0;0;12;0;0;71;11;24;"#00609F"
"Mesomycetozoa";0;16;0;0;25;0;0;7;0;0;0;12;0;30;0;16;16;0;0;9;0;16;14;0;21;8;0;0;15;0;8;49;4;12;17;0;0;12;0;0;0;5;64;0;0;37;115;0;0;0;0;21;0;0;30;6;104;0;51;0;4;17;0;"#023E8A"
"Alveolata_X";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;64;0;0;51;0;0;12;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;20;0;0;"#000078"
"Hilomonadea";0;25;0;0;17;0;0;0;0;0;0;8;0;5;0;0;13;0;0;16;0;0;22;0;0;0;0;0;0;0;0;11;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;39;0;0;"#161664"
"Lobosa";0;0;0;0;0;0;0;4;8;0;0;12;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;285;32;0;0;11;0;0;0;0;0;0;0;13;0;0;0;0;0;0;"#17315F"
"Perkinsea";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"#0B0B30"
"Apusomonadidae";14;0;0;0;0;0;0;0;18;0;0;31;0;0;0;0;11;0;0;0;0;0;13;0;0;33;0;0;0;0;0;29;0;0;9;0;19;19;35;0;0;13;0;0;0;0;0;17;0;0;0;11;0;0;0;40;0;52;0;0;45;0;0;"#FF0000"
"Foraminifera";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;11;0;0;0;0;"#CC0000"
"Metamonada";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;10;0;0;56;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;"#9B2226"
"Chrompodellids";30;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"#4E1114"
