"";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18";"Chanaral";"Flamenco";"Huasco";"Pta.Choros";"Quintero";"Las.Cruces";"Total"
"Chlorophyta";911;15603;16686;112;3359;16230;588;1561;6710;158;2208;8181;3946;1476;18638;5935;3601;25127;2912;5200;17437;1584;5433;16500;28024;42489;32108;25981;36452;29393;24585;50928;27539;22375;44823;33711;26294;4233;24937;30738;25488;286;304;3001;4845;1801;6324;16559;1849;1357;27379;17591;2942;29046;14082;24657;23246;17704;7723;31313;19230;18791;26933;72307;107789;398408;111690;63705;233258;987157
"Ochrophyta";6369;4672;4253;415;13425;3394;8193;36352;10683;986;24290;10365;1664;25676;1612;1528;15872;2633;338;5882;877;118;5759;2429;1066;1435;2644;794;1483;2848;881;1873;2001;1395;1827;5169;3279;16271;3175;3607;3694;3077;606;5709;1140;5275;1789;6082;4300;1013;4655;931;1144;1840;4497;1693;1708;2917;553;4380;434;1359;1848;123397;64388;23416;30026;33646;23304;298177
"Cryptophyta";0;945;1558;10;954;1071;0;322;1574;0;521;1707;6919;293;1918;1748;466;1604;524;1688;814;527;1725;3075;724;977;1582;578;1702;1928;1634;1752;1677;1684;1208;2515;1277;479;2231;2350;1489;523;357;489;1357;710;3499;1817;323;806;1025;566;300;1134;1099;1474;1450;786;401;835;446;875;1573;8662;21301;17961;7826;10906;10939;77595
"Haptophyta";6619;573;500;91;410;422;61;1187;1191;58;1183;1105;1257;169;177;966;226;219;306;592;104;194;573;291;3053;343;583;1861;439;523;1004;630;359;1233;437;879;102;338;317;268;164;59;0;371;91;486;146;1064;519;84;725;32;28;116;78;202;241;57;43;284;54;145;182;13400;5074;11344;1189;3545;1462;36014
"Katablepharidophyta";6;638;553;6;229;215;18;55;583;0;126;465;238;154;37;75;222;49;46;605;28;21;549;65;0;334;26;0;217;28;0;193;52;0;127;15;260;38;389;178;406;102;0;79;16;106;25;255;42;36;73;159;27;94;270;77;163;313;40;186;200;93;176;2894;2089;992;1271;734;1798;9778
