"";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18";"Chañaral";"Flamenco";"Huasco";"Pta.Choros";"Quintero";"Las_Cruces";"Total"
"ASV1007";0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;39;0;0;49;0;0;66;0;143;0;0;111;320
"ASV1012";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;0;0;13;0;0;0;0;0;0;0;0;0;0;126;0;0;0;0;0;34;0;0;45;0;0;0;0;99;13;205;317
"ASV1015";0;0;23;0;0;50;0;8;43;0;0;0;0;0;46;0;0;0;0;0;47;0;0;17;0;0;0;0;0;32;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;124;110;58;0;24;0;316
"ASV1023";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;16;0;0;0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;45;47;0;0;0;0;0;26;0;0;0;0;0;0;96;99;0;118;313
"ASV1041";0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;102;0;0;15;18;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;41;0;30;30;0;0;20;135;18;0;134;307
"ASV1044";0;0;19;0;0;0;0;0;7;0;0;10;18;0;0;20;0;0;0;0;0;0;0;17;15;0;33;13;0;19;15;0;26;36;0;31;0;0;0;0;0;0;0;16;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;55;188;0;27;0;306
"ASV1045";0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;247;0;0;0;0;0;3;0;0;39;0;0;0;0;266;305
"ASV1047";0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;8;0;0;6;0;0;11;0;25;0;24;9;30;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;34;31;0;88;0;0;11;0;34;88;17;153;303
"ASV1054";0;30;0;0;22;0;0;0;0;0;0;86;0;0;0;88;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;138;138;0;0;17;9;302
"ASV1056";0;67;9;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;12;0;0;0;41;13;0;16;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;104;0;109;50;0;37;300
"ASV1057";0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;38;0;0;35;33;0;0;75;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;113;122;0;65;0;300
"ASV1059";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;56;0;0;58;0;17;95;0;0;61;0;0;0;0;0;13;287;300
"ASV1065";0;0;0;0;0;15;0;0;0;0;0;46;0;0;0;0;20;0;0;88;0;0;0;0;0;38;16;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;108;128;0;0;0;297
"ASV1067";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;97;0;0;59;0;15;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;21;0;0;7;0;0;0;0;0;0;203;62;0;32;297
"ASV1070";0;0;38;0;0;51;0;0;0;0;0;0;0;0;61;0;0;0;0;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;139;68;0;0;0;296
"ASV1071";0;0;20;0;0;22;0;4;119;0;6;51;0;0;5;0;0;9;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;30;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;222;18;0;0;56;0;296
"ASV1072";59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;27;0;0;0;0;0;0;0;0;0;0;0;74;0;0;0;0;0;59;97;0;0;65;74;295
"ASV1078";0;13;0;0;0;0;0;0;17;0;0;33;29;0;0;0;0;26;21;24;0;0;32;25;0;0;46;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;63;157;64;0;0;10;294
"ASV1079";0;5;0;0;2;0;0;0;0;0;0;0;9;0;7;11;2;3;4;3;4;0;6;5;9;16;3;4;9;2;4;6;0;6;8;5;15;0;20;23;18;0;0;12;0;0;0;7;2;0;11;7;0;1;0;8;7;8;1;3;8;4;6;7;54;72;76;32;53;294
"ASV1081";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;66;0;0;72;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;249;0;0;45;294
"ASV1082";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;274;0;0;0;0;0;0;0;0;0;0;0;0;20;274;294
"ASV1087";0;81;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;109;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;210;0;0;0;0;291
"ASV1089";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;0;0;33;0;0;71;0;0;15;0;0;0;0;53;0;238;291
"ASV1095";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;95;0;0;44;0;0;0;0;0;0;0;0;0;289;289
"ASV1103";0;0;0;0;0;0;0;18;0;0;22;57;0;0;0;22;0;0;0;0;0;0;0;0;12;18;0;22;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;24;0;0;0;32;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;22;90;0;75;0;284
"ASV1107";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;258;0;0;0;0;0;6;0;0;0;0;0;0;0;283;283
"ASV1108";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;283;283
"ASV1111";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;67;0;60;0;0;60;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;9;26;187;59;281
"ASV1112";0;0;0;0;30;0;0;10;11;0;0;0;21;18;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;109;0;0;0;0;0;21;0;0;0;0;51;63;26;5;5;130;280
"ASV1114";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;16;0;0;9;37;13;38;0;0;56;0;0;0;0;0;0;0;31;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;125;25;0;0;279
"ASV1117";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;44;0;0;18;0;0;104;0;0;54;0;0;0;0;0;58;220;278
"ASV1119";0;2;3;0;7;0;0;0;0;0;0;0;7;0;3;3;0;5;6;7;4;0;5;12;6;11;1;1;15;3;1;6;0;5;6;8;23;0;15;20;18;0;0;9;0;0;0;7;7;0;6;6;0;7;0;8;4;9;1;2;5;1;2;12;52;63;76;29;45;277
"ASV1120";0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;56;0;0;0;25;0;65;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;24;12;56;171;0;277
"ASV1123";0;0;0;0;0;0;0;0;0;0;0;0;0;126;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201;0;0;76;0;277
"ASV1129";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;0;0;0;0;0;134;0;0;54;0;0;0;0;0;0;277;277
"ASV1134";0;0;0;0;0;0;0;0;37;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;21;0;0;0;25;0;0;14;0;0;0;0;0;0;0;0;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;85;14;121;0;275
"ASV1138";0;34;0;0;17;0;0;0;0;0;32;33;0;0;0;0;0;28;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;20;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;62;0;46;49;0;273
"ASV1139";0;0;0;0;0;7;0;9;0;0;13;40;0;0;0;12;0;0;0;0;0;0;0;0;20;28;0;19;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;13;0;0;0;38;30;0;18;0;0;0;0;0;0;0;0;0;0;0;0;69;12;92;0;99;0;272
"ASV1151";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;113;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;197;71;268
"ASV1152";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;84;0;0;0;0;0;0;19;144;0;104;267
"ASV1154";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;67;0;0;0;0;46;0;0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;65;113;89;267
"ASV1160";0;8;0;8;11;14;0;0;0;0;6;0;0;1;0;0;0;0;0;26;0;0;25;0;0;19;15;0;0;0;0;0;0;0;29;33;22;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;52;96;67;0;0;262
"ASV1162";0;0;0;0;27;0;0;27;0;0;0;0;0;88;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;164;0;0;44;0;262
"ASV1170";0;0;58;0;0;0;0;0;1;0;0;0;7;0;0;18;9;0;0;9;0;0;7;0;10;33;0;8;14;0;10;16;0;0;19;0;0;0;0;17;0;0;0;10;0;6;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;50;110;17;23;0;259
"ASV1175";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;20;36;26;0;36;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;45;0;0;0;0;0;0;0;51;137;0;25;45;258
"ASV1178";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;193;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;256;256
"ASV1179";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;0;0;35;0;0;49;0;0;0;0;0;0;0;68;0;187;255
"ASV1188";0;0;0;0;0;0;0;0;0;0;0;13;6;0;0;8;0;0;0;0;0;0;0;0;0;0;47;0;0;0;30;0;0;0;0;30;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;21;0;43;0;0;24;0;0;13;14;107;17;0;101;252
"ASV1189";60;0;0;0;0;0;0;0;53;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;36;157;0;0;0;0;94;251
"ASV1191";0;32;3;0;54;3;0;0;2;0;11;0;0;0;4;1;0;3;0;16;0;0;12;4;2;0;0;2;0;7;7;0;5;2;0;6;5;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;43;0;0;0;0;0;14;0;105;40;31;5;12;57;250
"ASV1195";0;0;17;0;0;37;0;0;16;0;0;0;0;0;43;0;0;25;0;0;55;0;0;21;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;144;35;0;0;0;249
"ASV1198";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;77;41;0;0;0;0;0;0;0;114;0;0;16;118;248
"ASV1200";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;4;0;0;0;0;0;0;0;0;0;0;95;0;0;41;0;0;52;0;0;18;0;0;3;0;34;4;206;247
"ASV1207";0;0;0;0;0;0;0;0;2;0;0;9;0;0;0;0;0;12;0;0;0;0;0;17;3;31;9;4;16;7;2;24;18;4;40;14;0;0;0;6;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;11;29;172;6;12;15;245
"ASV1212";85;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;113;0;0;112;0;18;243
"ASV1214";0;0;0;0;0;53;0;0;0;0;0;0;0;0;57;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;128;61;0;0;0;242
"ASV1219";0;0;0;0;0;0;0;0;35;0;25;0;0;40;0;0;0;0;0;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;181;0;0;0;0;241
"ASV1228";77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;77;0;141;0;0;20;238
"ASV1229";0;48;0;0;0;0;0;20;0;0;36;0;0;0;0;0;0;0;0;78;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;134;0;0;0;0;238
"ASV1231";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;201;0;0;0;0;0;33;0;0;0;0;0;0;0;0;4;234;238
"ASV1237";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;0;25;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;120;0;236
"ASV1241";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;211;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;229;4;0;2;235
"ASV1244";0;0;39;0;0;30;0;0;25;0;0;38;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;20;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;12;50;39;0;0;233
"ASV1250";0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;121;0;0;59;0;0;0;0;0;9;0;0;0;0;222;231
"ASV1251";0;0;0;0;0;0;0;0;0;0;0;0;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;0;0;87;0;231
"ASV1252";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;133;33;0;0;0;0;20;0;0;211;231
"ASV1255";0;55;0;0;36;0;0;0;0;0;32;0;0;20;0;0;0;0;0;42;0;0;42;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;104;3;0;0;0;230
"ASV1256";0;7;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;9;0;0;21;0;29;0;23;17;28;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;25;0;0;11;0;36;97;15;71;230
"ASV1257";0;0;0;0;34;0;0;4;12;0;0;0;7;21;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;6;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;50;80;0;4;6;90;230
"ASV1260";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;230;0;0;0;0;0;0;0;0;0;0;0;0;0;230;230
"ASV1265";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;39;0;0;91;0;0;79;0;0;0;0;0;6;0;0;13;209;228
"ASV1267";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;71;0;0;21;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;160;68;228
"ASV1272";71;0;0;0;6;0;4;1;11;1;3;15;0;1;0;2;0;0;0;0;0;0;0;0;13;0;0;32;0;0;0;0;0;0;0;0;0;22;0;0;0;1;0;1;0;13;12;0;0;0;0;0;5;0;0;0;2;0;0;0;0;0;10;112;3;45;22;27;17;226
"ASV1274";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;11;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;89;0;0;100;0;0;0;11;0;0;0;0;0;0;0;0;0;8;18;0;189;11;226
"ASV1276";0;0;0;0;3;4;7;0;0;0;0;0;0;6;35;26;6;11;0;0;59;0;0;0;31;0;11;14;0;0;0;0;11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;143;67;1;0;0;225
"ASV1281";0;0;13;0;0;53;0;0;18;0;0;0;0;0;29;0;0;0;0;0;30;0;14;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;89;0;0;50;0;223
"ASV1283";0;0;0;0;34;0;0;54;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;88;37;0;48;22;28;223
"ASV1284";0;0;0;0;0;8;0;0;0;0;0;0;0;11;14;17;0;0;0;0;14;21;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;5;11;0;7;0;0;0;0;0;0;18;0;0;26;0;0;0;0;42;0;0;15;0;0;7;0;8;77;7;23;44;64;223
"ASV1285";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;17;0;0;29;0;0;0;19;0;0;0;127;0;0;96;223
"ASV1287";0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;30;0;0;78;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;184;0;0;0;0;222
"ASV1293";0;0;0;0;0;2;0;0;14;0;0;6;0;0;15;9;0;0;0;0;0;0;0;0;18;0;15;14;0;41;8;0;0;12;0;14;0;0;0;0;0;0;0;0;0;0;0;9;0;0;2;0;0;0;0;0;42;0;0;0;0;0;0;22;24;122;0;11;42;221
"ASV1297";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;52;0;0;44;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;176;0;0;44;220
"ASV1302";0;0;0;0;0;21;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;51;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;165;0;0;0;218
"ASV1303";0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;104;0;0;41;0;0;0;0;0;8;0;0;0;0;210;218
"ASV1312";0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;0;0;74;0;11;24;0;0;0;181;216
"ASV1315";0;0;0;0;0;0;0;0;0;0;26;13;18;0;0;17;0;0;0;0;0;0;0;0;0;0;22;0;0;0;23;0;18;9;39;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;35;141;0;0;0;215
"ASV1316";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;6;0;0;78;0;87;37;0;0;0;0;0;0;215;215
"ASV1325";0;0;13;0;0;0;0;0;46;0;0;26;0;0;0;0;0;0;0;27;0;0;22;0;8;0;0;5;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;49;29;0;50;0;213
"ASV1326";0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;18;0;0;0;26;0;0;0;0;0;0;55;0;0;0;0;0;20;0;33;0;0;0;0;0;0;0;0;25;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;44;108;0;48;0;213
"ASV1328";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;127;0;0;18;0;0;0;0;0;213;213
"ASV1332";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;0;0;0;0;0;30;0;0;0;0;0;0;0;71;0;141;212
"ASV1335";0;25;0;0;47;5;0;0;1;0;0;0;0;0;1;2;0;0;0;15;0;10;11;2;0;0;0;4;0;5;4;0;1;6;0;2;7;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;25;0;0;9;0;0;25;0;78;41;22;7;4;59;211
