"";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18";"Chañaral";"Flamenco";"Huasco";"Pta.Choros";"Quintero";"Las_Cruces";"Total"
"ASV0271";0;8;32;0;4;23;0;0;88;0;35;48;1114;0;9;71;0;8;24;0;0;60;0;7;52;0;0;37;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;11;0;0;2;0;0;14;8;238;1293;104;0;0;43;1678
"ASV0273";0;0;0;0;0;19;0;0;77;0;0;86;0;0;29;0;0;0;0;0;0;0;0;42;0;90;56;0;87;74;0;87;40;24;89;119;70;23;94;102;121;0;0;0;0;0;0;103;0;0;81;0;0;0;0;0;0;0;19;100;0;29;0;182;71;666;410;184;148;1661
"ASV0277";0;3;120;0;0;68;0;0;159;0;0;188;0;0;27;1;0;68;2;11;9;0;10;37;2;14;72;6;13;107;4;19;46;11;20;296;41;6;36;31;37;0;0;0;18;0;6;68;0;0;11;0;0;0;0;23;0;0;15;0;0;40;0;538;165;610;151;103;78;1645
"ASV0279";0;65;57;0;16;107;0;0;22;0;22;24;0;26;124;0;56;37;0;39;164;0;36;56;0;36;21;0;24;13;0;9;20;0;39;97;144;17;103;53;113;0;0;0;0;0;0;0;0;0;80;0;0;0;0;9;0;0;13;0;0;0;0;313;538;259;430;80;22;1642
"ASV0282";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;20;0;0;0;0;3;989;0;24;43;0;8;3;0;535;2;0;0;0;0;0;22;1607;1629
"ASV0283";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;642;0;0;699;0;0;80;0;0;44;0;0;67;0;0;80;0;0;0;0;1341;271;1612
"ASV0291";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;23;0;0;0;23;0;0;12;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;399;0;0;176;0;0;614;0;0;235;0;0;0;154;13;0;1424;1591
"ASV0300";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;19;0;260;0;0;1234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1569;0;0;0;1569
"ASV0302";162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;0;36;0;0;0;0;183;0;0;0;0;0;0;880;0;0;0;0;0;162;135;0;0;376;880;1553
"ASV0303";0;76;0;0;358;0;0;627;0;0;436;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1497;55;0;0;0;0;1552
