"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Rhodophyta";"Katablepharidophyta"
"C1A17";0,0654031158015651;0,458970493215593;0;0,475195635006102;0;0,000430755976739177
"C1F18";0,695599839507824;0,208283179528331;0,0421291962016852;0,0255450046810218;0;0,0284427800811377
"C1A18";0,708535031847134;0,180594479830149;0,0661571125265393;0,0212314225053079;0;0,0234819532908705
"C2A17";0,173913043478261;0,659937888198758;0,015527950310559;0,141304347826087;0;0,0093167701863354
"C2F18";0,182564269797272;0,730854937768357;0,0518506440567422;0,0222838197728137;0;0,0124463286048155
"C2A18";0,76029418653675;0,159694570665667;0,0501709842132384;0,0197685857497541;0;0,0100716728345903
"C3A17";0,0671027404984775;0,923987820006767;0;0,00687944062253299;0;0,00202999887222285
"C3F18";0,0398713989165106;0,920257202166979;0,00815148600070882;0,0300491114373956;0,000278466913067693;0,00139233456533846
"C3A18";0,323080625752106;0,515764139590854;0,0757641395908544;0,0573285198555957;0;0,0280625752105897
"C4A17";0,150166112956811;0,811295681063123;0;0,0385382059800664;0;0
"C4F18";0,0779055818220309;0,857525933243949;0,0183826123773904;0,0417401735939595;0;0,00444569896267024
"C4A18";0,374879714063144;0,474957613527013;0,0782202263666774;0,0506346515144572;0;0,0213077945287082
"F1A17";0,280594467752258;0,119960179193629;0,492000284434331;0,0893834885870725;0,00113773732489511;0,0169238427078148
"F1F18";0,0528388343953605;0,92460800458223;0,0104890098088351;0,0060499749409322;0,000501181356053555;0,0055129949165891
"F1A18";0,832388013040954;0,0719932115582154;0,0856594167299361;0,00790496181501496;0,000401947210932964;0,00165244964494663
"F2A17";0,577471574484486;0,152437849296589;0,168433224127963;0,0930815185970322;0,00134900751589902;0,00722682597803045
"F2F18";0,175009720062208;0,779451788491446;0,0226477449455677;0,0109836702954899;0,00111780715396579;0,0107892690513219
"F2A18";0,847968412526998;0,0888566414686825;0,0541306695464363;0,00739065874730022;0;0,00165361771058315
"F3A17";0,70576829859428;0,0819195346582647;0,126999515269026;0,0741638390693165;0;0,0111488124091129
"F3F18";0,357118329785042;0,444749673786141;0,115926103976375;0,0406565483139894;0;0,041549344138452
"F3A18";0,901789408357468;0,0462350020686802;0,0420976417045925;0,00537856847331403;0,00305130326851469;0,0014480761274307
"F4A17";0,635634028892456;0,0561797752808989;0,211476725521669;0,0778491171749599;0,0104333868378812;0,00842696629213483
"F4F18";0,376846778109177;0,42380522993688;0,119650412707221;0,0397447457862246;0,00187278906846084;0,0380800443920372
"F4A18";0,737924865831843;0,108631484794275;0,137522361359571;0,0130143112701252;0;0,00290697674418605
"H1A17";0,829451672589503;0,0449939792651767;0,0212634732297571;0,0896648947105642;0,0146259802049987;0
"H1F18";0,925227963525836;0,0349978289188016;0,0212114633087277;0,0074468085106383;0,00386452453321754;0,00725141120277898
"H1A18";0,859275281048893;0,0774653528799167;0,0422441186680552;0,0155678389276082;0,00475313092472429;0,000694277550802425
"H2A17";0,891215475122146;0,0271878219829162;0,019210954897464;0,0618539568584438;0,000531791139030146;0
"H2F18";0,902983966745843;0,0377325811559778;0,042112034837688;0,010862034837688;0,000940221694378464;0,00536916072842439
"H2A18";0,834542363275716;0,0903088693680929;0,0546330405213942;0,0148200623406064;0,00490223859450269;0,000793425899688297
"H3A17";0,856756310839795;0,0541164824286421;0,0539184952978056;0,0331298465599736;0,0020788648737832;0
"H3F18";0,91956015383782;0,0338190419442789;0,0316342559991333;0,0113753317805103;0,000126392575339003;0,00348482386291822
"H3A18";0,865108535167908;0,0672572487670028;0,052681179907643;0,0112776050010995;0,00204190619797066;0,00163352495837653
"H4A17";0,807569564973966;0,10749678069537;0,0471418173674486;0,0345165444264039;0,00327529253681205;0
"H4F18";0,925426737393961;0,0379574397820388;0,0249334351586204;0,00901979401019629;4,12805217857954e-05;0,00262131313339801
"H4A18";0,795277076600061;0,122838472245158;0,0593314303239048;0,0207365118308995;0,00146264361037061;0,000353865389605794
"P1F18";0,836695729650608;0,110799974543372;0,0406351428753262;0,00324572010437218;0,000350028638706803;0,00827340418761535
"P1A18";0,176716368998853;0,678395870883172;0,0196214976241193;0,013845649680485;0,109864001310831;0,00155661150253973
"P2F18";0,80314985989887;0,102257721665754;0,0718541659956842;0,0102096685883603;0;0,0125285838513318
"P3F18";0,827602918607469;0,0971163942812525;0,0632723943889502;0,00721574540265475;0;0,00479254731967368
"P4F18";0,815850965077942;0,118242053711469;0,0476617265772542;0,00524951185941551;0;0,0129957427739189
"Q1A17";0,0589447650453421;0,690436933223413;0,107790601813685;0,0121599340478153;0,10964550700742;0,0210222588623248
"Q1F18";0,243996901626646;0,469403563129357;0,276529821843532;0;0,0100697134004648;0
"Q2A17";0,308999176276771;0,592977759472817;0,0503500823723229;0,0382001647446458;0,00133855024711697;0,00813426688632619
"Q2F18";0,650422875553766;0,153040676600886;0,182172103638072;0,012216404886562;0;0,00214793932071419
"Q3A17";0,214967772738124;0,629625208880401;0,0847457627118644;0,058009071377417;0;0,0126521842921938
"Q3F18";0,534076513807955;0,154801114770712;0,295498690988937;0,0123300396925935;0,00118233257326239;0,00211130816653999
"Q3A18";0,64239438258913;0,23594677425612;0,0704891957947007;0,0412771074989332;0;0,0098925398611165
"Q4A17";0,262604743644369;0,610708706149695;0,0458741656014771;0,0737111205794631;0,00113620224399943;0,00596506178099702
"Q4F18";0,40836593439663;0,309058080048149;0,242551910923864;0,0252783629250677;0,00391212759554619;0,0108335841107433
"Q4A18";0,808665859349618;0,137490031603509;0,030274389343415;0,0214135924624155;0;0,00215612724104321
"L1A17";0,865095115930103;0,0809816544847282;0,0273972602739726;0,00154896171160269;0,0172806040950675;0,00769640350452587
"L1F18";0,190122243381043;0,460163400700289;0,0184286504085018;0,00172000737146016;0,327907119601941;0,00165857853676516
"L1A18";0,901210052745889;0,0570896680111697;0,0351846106112318;0,00359913124418244;0;0,00291653738752715
"L2A17";0,597654772412054;0,33161013743538;0,0461900558987938;0,00327827512293532;0,00991888370529147;0,0113478754255453
"L2F18";0,792833290521449;0,0668186488569227;0,0473285384022605;0,00648600051374261;0,084061135371179;0,00247238633444644
"L2A18";0,867129215159654;0,0637123246792002;0,0540883318412414;0,00898985377499254;0;0,00608027454491197
"L3A17";0,757313432835821;0,18682302771855;0,0335181236673774;0,00243070362473348;0,00656716417910448;0,0133475479744136
"L3F18";0,441774386424463;0,0439610500540971;0,0228346905073743;0,00244860771026707;0,486703490689596;0,00227777461420192
"L3A18";0,846343045570031;0,118384777555544;0,0225687875020271;0,00767609059949186;0;0,00502729877290664
"L4A17";0,768172655045654;0,188505474524685;0,0176291553025811;0,00213447171824973;0,015652792600498;0,00790545080833235
"L4F18";0,736578159623683;0,0767406601096295;0,0340162500485946;0,0056369785794814;0,143412510204875;0,00361544143373635
"L4A18";0,87626656274357;0,0608924395946999;0,0510846973239803;0,00591062613665887;0,00012990387113536;0,00571577032995583
