"colMeans..t.."	"Node"	"Node_category"
"ASV0001"	0.0435872516516459	"ASV0001"	"Shared"
"ASV0003"	0.0334548459796875	"ASV0003"	"Shared"
"ASV0006"	0.0325827207371307	"ASV0006"	"Shared"
"ASV0008"	0.0203341697466987	"ASV0008"	"Shared"
"ASV0013"	0.00984848859999316	"ASV0013"	"Shared"
"ASV0016"	0.00838505128670846	"ASV0016"	"Shared"
"ASV0017"	0.00746942371824575	"ASV0017"	"Shared"
"ASV0020"	0.00947524319485928	"ASV0020"	"Other"
"ASV0021"	0.00605845492314147	"ASV0021"	"Shared"
"ASV0023"	0.00288024098645312	"ASV0023"	"Shared"
"ASV0025"	0.00585654354272363	"ASV0025"	"Shared"
"ASV0028"	0.00680531693767182	"ASV0028"	"Other"
"ASV0029"	0.00462417064662242	"ASV0029"	"Shared"
"ASV0030"	0.046861406510407	"ASV0030"	"Shared"
"ASV0031"	0.000987150409215445	"ASV0031"	"Other"
"ASV0032"	0.0031712335944321	"ASV0032"	"Shared"
"ASV0033"	0.00662731561903854	"ASV0033"	"Other"
"ASV0034"	0.00835710009987017	"ASV0034"	"Shared"
"ASV0035"	0.0019356493426749	"ASV0035"	"Shared"
"ASV0036"	0.00162278043661404	"ASV0036"	"Shared"
"ASV0037"	0.000544969368963055	"ASV0037"	"Shared"
"ASV0038"	0.00199808404098012	"ASV0038"	"Shared"
"ASV0039"	0.0029591172324626	"ASV0039"	"Shared"
"ASV0040"	0.033330999671664	"ASV0040"	"Other"
"ASV0041"	0.00200871355699385	"ASV0041"	"Shared"
"ASV0042"	0.000543602306879831	"ASV0042"	"Shared"
"ASV0044"	0.00218258464867758	"ASV0044"	"Shared"
"ASV0045"	0.0294640009206051	"ASV0045"	"Shared"
"ASV0046"	0.00017644152727786	"ASV0046"	"Other"
"ASV0048"	0.00667965430875501	"ASV0048"	"Shared"
"ASV0050"	0.0013920368430765	"ASV0050"	"Shared"
"ASV0051"	0.0342689561269011	"ASV0051"	"Shared"
"ASV0053"	0.00102841605541294	"ASV0053"	"Shared"
"ASV0054"	0.00428243569001314	"ASV0054"	"Other"
"ASV0056"	0.0107778109856017	"ASV0056"	"Shared"
"ASV0063"	0.00451978795559074	"ASV0063"	"Shared"
"ASV0064"	0.00478509155142655	"ASV0064"	"Shared"
"ASV0066"	4.11696896981674e-05	"ASV0066"	"Shared"
"ASV0068"	0.0371270428971192	"ASV0068"	"Other"
"ASV0071"	0.0145192259818142	"ASV0071"	"Shared"
"ASV0072"	0.00835848687917025	"ASV0072"	"Shared"
"ASV0073"	0.00481550552533495	"ASV0073"	"Shared"
