"From"	"to"	"rValue"	"pValue"	"n"	"colMeans..t.."	"From_type"	"To_type"
"46"	"ASV_1011"	"ASV_1547"	0.853765578276966	0.0175734787786925	4260	0.00043713604689139	"Other"	"Other"
"47"	"ASV_1011"	"ASV_1600"	0.851912262595838	0.0185023210365352	4261	0.00043713604689139	"Other"	"Other"
"48"	"ASV_1011"	"ASV_1604"	0.839653750536851	0.0243403548284655	4262	0.00043713604689139	"Other"	"Other"
"49"	"ASV_1011"	"ASV_1624"	0.978856430931922	1.82683717870122e-06	4263	0.00043713604689139	"Other"	"Other"
"50"	"ASV_1011"	"ASV_1728"	0.839653750536851	0.0243403548284655	4264	0.00043713604689139	"Other"	"Other"
"51"	"ASV_1011"	"ASV_1795"	0.853765578276966	0.0175734787786925	4265	0.00043713604689139	"Other"	"Shared"
"52"	"ASV_1011"	"ASV_1863"	0.987951807228916	1.20527962745326e-07	4266	0.00043713604689139	"Other"	"Other"
"53"	"ASV_1011"	"ASV_1979"	0.963855421686747	2.52934162560804e-05	4267	0.00043713604689139	"Other"	"Other"
"54"	"ASV_1011"	"ASV_3286"	0.853765578276966	0.0175734787786925	4268	0.00043713604689139	"Other"	"Other"
"55"	"ASV_1011"	"ASV_3288"	0.853765578276966	0.0175734787786925	4269	0.00043713604689139	"Other"	"Other"
"56"	"ASV_1011"	"ASV_3365"	0.839653750536851	0.0243403548284655	4270	0.00043713604689139	"Other"	"Other"
"57"	"ASV_1011"	"ASV_4349"	0.853765578276966	0.0175734787786925	4271	0.00043713604689139	"Other"	"Other"
"58"	"ASV_1013"	"ASV_20"	0.677161029242845	0.0155614029550565	4272	0.00108179035842612	"Other"	"Other"
"59"	"ASV_1013"	"ASV_28"	0.677161029242845	0.0155614029550565	4273	0.00108179035842612	"Other"	"Other"
"60"	"ASV_1013"	"ASV_30"	0.677161029242845	0.0155614029550565	4274	0.00108179035842612	"Other"	"Shared"
"61"	"ASV_1013"	"ASV_33"	0.627074390767686	0.0290784386749506	4275	0.00108179035842612	"Other"	"Other"
"62"	"ASV_1013"	"ASV_39"	-0.672750310752901	0.0165151086370779	4276	0.00108179035842612	"Other"	"Shared"
"63"	"ASV_1013"	"ASV_40"	0.699004933411969	0.0114238993243967	4277	0.00108179035842612	"Other"	"Other"
"64"	"ASV_1013"	"ASV_42"	0.630547667861664	0.0279363192412668	4278	0.00108179035842612	"Other"	"Shared"
"65"	"ASV_1013"	"ASV_45"	0.699004933411969	0.0114238993243967	4279	0.00108179035842612	"Other"	"Shared"
"66"	"ASV_1013"	"ASV_54"	0.699004933411969	0.0114238993243967	4280	0.00108179035842612	"Other"	"Other"
"67"	"ASV_1013"	"ASV_66"	0.895600070934086	8.17798722781158e-05	4281	0.00108179035842612	"Other"	"Shared"
"68"	"ASV_1013"	"ASV_79"	0.709926885496531	0.00969267719623349	4282	0.00108179035842612	"Other"	"Other"
