"colMeans..t.."	"Node"	"Node_Category"
"ASV0436"	0.00121231663860603	"ASV0436"	"Other"
"ASV0440"	0.000809756825076245	"ASV0440"	"Other"
"ASV0444"	0.00134658108405643	"ASV0444"	"Other"
"ASV0445"	0.000731589912636524	"ASV0445"	"Other"
"ASV0452"	0.000806364419672632	"ASV0452"	"Shared"
"ASV0454"	0.000446163045342872	"ASV0454"	"Other"
"ASV0462"	0.00106588862368691	"ASV0462"	"Shared"
"ASV0468"	0.000697063494934377	"ASV0468"	"Other"
"ASV0469"	0.000773308662392371	"ASV0469"	"Other"
"ASV0507"	0.000981259608785767	"ASV0507"	"Other"
"ASV0510"	0.000397520459193752	"ASV0510"	"Shared"
"ASV0514"	0.000669276550402441	"ASV0514"	"Other"
"ASV0528"	0.000605418669967125	"ASV0528"	"Other"
"ASV0556"	0.000587193470883773	"ASV0556"	"Other"
"ASV0561"	0.00050410798007423	"ASV0561"	"Shared"
"ASV0612"	0.000548269575754078	"ASV0612"	"Other"
"ASV0618"	0.00105912431899935	"ASV0618"	"Other"
"ASV0624"	0.000995476240353258	"ASV0624"	"Other"
"ASV0631"	0.000423313411856422	"ASV0631"	"Shared"
"ASV0636"	0.000386936503835479	"ASV0636"	"Other"
"ASV0637"	0.000594219135400666	"ASV0637"	"Other"
"ASV0641"	0.00131624113887935	"ASV0641"	"Other"
"ASV0662"	0.000878881883278623	"ASV0662"	"Other"
"ASV0677"	0.000453957270943859	"ASV0677"	"Other"
"ASV0682"	0.000495805256836709	"ASV0682"	"Other"
"ASV0688"	0.000407461708826204	"ASV0688"	"Shared"
"ASV0691"	0.000639775393929273	"ASV0691"	"Other"
"ASV0701"	0.00032730667696846	"ASV0701"	"Other"
"ASV0711"	0.000361176464879403	"ASV0711"	"Shared"
"ASV0719"	0.000420915470336074	"ASV0719"	"Other"
"ASV0727"	0.00121017767002759	"ASV0727"	"Other"
"ASV0729"	0.00042041686369739	"ASV0729"	"Other"
"ASV0731"	0.000709787253127277	"ASV0731"	"Other"
"ASV0741"	0.000399835955985365	"ASV0741"	"Other"
"ASV0742"	0.000384418903678814	"ASV0742"	"Other"
"ASV0744"	0.000355194796625597	"ASV0744"	"Other"
"ASV0748"	0.000464440199481667	"ASV0748"	"Other"
"ASV0775"	0.000550029879389354	"ASV0775"	"Shared"
"ASV0776"	0.000339919298874054	"ASV0776"	"Other"
"ASV0784"	0.000251009423260724	"ASV0784"	"Other"
"ASV0790"	0.00042239430890381	"ASV0790"	"Other"
"ASV0792"	0.000408417140295835	"ASV0792"	"Other"
"ASV0799"	0.00105154134896302	"ASV0799"	"Shared"
"ASV0815"	0.000320596318043215	"ASV0815"	"Other"
"ASV0828"	0.000392900243068275	"ASV0828"	"Other"
"ASV0832"	0.000204286253775647	"ASV0832"	"Other"
"ASV0834"	0.00098386611929515	"ASV0834"	"Shared"
"ASV0840"	0.000306886673660568	"ASV0840"	"Other"
"ASV0865"	0.000839103791728086	"ASV0865"	"Other"
"ASV0867"	0.00032880499468435	"ASV0867"	"Shared"
"ASV0868"	0.000305541400872973	"ASV0868"	"Other"
"ASV0869"	0.000305151999779473	"ASV0869"	"Other"
"ASV0876"	0.000432330760547949	"ASV0876"	"Other"
"ASV0881"	0.000279162110802607	"ASV0881"	"Other"
"ASV0884"	0.000357879957903427	"ASV0884"	"Other"
"ASV0892"	0.000800660567839514	"ASV0892"	"Other"
"ASV0895"	0.000368557431321585	"ASV0895"	"Other"
"ASV0919"	0.000374869376008474	"ASV0919"	"Other"
"ASV0925"	0.000310963528371182	"ASV0925"	"Other"
"ASV0927"	0.000236519825151715	"ASV0927"	"Other"
"ASV0932"	0.000259265604124613	"ASV0932"	"Shared"
"ASV0939"	0.000248217758531649	"ASV0939"	"Other"
"ASV0940"	0.000241224034056329	"ASV0940"	"Other"
"ASV0951"	0.00024954813611533	"ASV0951"	"Other"
"ASV0965"	0.000232463089301049	"ASV0965"	"Other"
"ASV0986"	0.000827098131555278	"ASV0986"	"Other"
"ASV0993"	0.000261209480956151	"ASV0993"	"Other"
"ASV1015"	0.00033479036889371	"ASV1015"	"Other"
"ASV1044"	0.000234947762126537	"ASV1044"	"Other"
"ASV1054"	0.000331389476785729	"ASV1054"	"Other"
"ASV1057"	0.000184688794926407	"ASV1057"	"Other"
"ASV1070"	0.000198985517299655	"ASV1070"	"Other"
"ASV1071"	0.000307380661171851	"ASV1071"	"Other"
"ASV1072"	0.000479206415021426	"ASV1072"	"Other"
"ASV1078"	0.000291933805429804	"ASV1078"	"Other"
"ASV1079"	0.000235297951369055	"ASV1079"	"Shared"
"ASV1087"	0.000270355495761021	"ASV1087"	"Other"
"ASV1103"	0.000292675559191283	"ASV1103"	"Other"
"ASV1112"	0.00058489075678156	"ASV1112"	"Shared"
"ASV1114"	0.000286209904370053	"ASV1114"	"Other"
"ASV1119"	0.000235087176110267	"ASV1119"	"Shared"
"ASV1120"	0.00075266936020521	"ASV1120"	"Other"
