"";"X";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"Ho1A17";"Ho1F18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Re1A17";"Re1F18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"Qc1A17";"Qc2A17";"Z1A18";"Z2A18";"Z3A18";"Z4A18";"Z5A18";"Cha";"Fla";"Hu";"Pc";"Ho";"LC";"Qin";"Qc";"ZZ";"Total";"Color"
"18";"Streptophyta";0;7;0;23;0;0;4;5;0;0;14;0;6;8;0;0;2;0;0;4;5;10;0;0;0;14;2;0;10;0;53;1044;2;0;0;0;3;94;0;0;43;0;0;3;94;28;0;890;0;6;408;0;0;487;7;123;30;10;44;2;112;0;17;2120;5;11;115;0;0;0;2;0;5;0;53;35;1125;140;0;1923;2463;126;2;5867;"#7C0068"
"19";"Prasinodermophyta";0;128;102;0;90;398;0;26;323;0;19;112;6;69;452;14;79;110;0;91;714;0;64;184;125;49;56;18;42;69;41;69;84;63;77;136;68;47;44;341;57;56;97;68;47;10;60;0;10;16;0;5;16;27;2;46;0;7;0;20;46;25;51;44;43;3;0;10;48;452;84;184;714;398;1198;1783;829;557;153;261;282;3;778;5844;"#4E0066"
"20";"Choanoflagellida";15;112;6;0;97;15;2;121;137;0;120;85;137;21;54;157;34;56;34;190;20;9;257;71;6;26;36;0;68;129;53;14;64;11;5;183;293;0;25;359;104;81;77;293;0;14;55;152;14;14;255;84;9;335;13;54;111;103;0;102;0;95;23;134;88;0;165;18;53;54;64;71;20;15;710;1040;595;781;158;1238;710;165;260;5657;"#410151"
"21";"Apicomplexa";0;0;0;0;0;16;11;0;45;0;8;24;0;0;53;3;23;4;0;0;71;5;3;9;0;4;4;0;0;4;0;0;27;0;0;3;132;15;0;51;0;5;0;132;15;0;176;0;0;50;0;3;39;0;10;47;0;14;869;0;426;0;120;0;0;311;0;0;0;53;27;9;71;16;104;171;42;198;5;425;1476;311;89;2821;"#C5DBEA"
"22";"Radiolaria";0;0;2;0;0;58;0;0;0;0;0;22;0;6;18;40;24;0;0;21;22;22;50;29;29;7;226;21;0;120;20;0;54;7;0;26;63;5;0;2;0;2;0;63;5;0;0;0;0;0;0;0;3;0;0;0;7;24;0;6;0;12;0;3;71;11;24;250;148;18;54;29;22;58;82;232;510;70;2;71;123;35;499;1624;"#8BB7D4"
"23";"Centroheliozoa";0;85;27;0;44;12;0;8;84;0;5;70;128;9;24;282;9;24;109;7;4;18;27;41;6;0;8;3;0;5;4;0;11;0;0;11;32;0;0;0;0;0;0;32;0;8;0;0;0;0;0;7;0;0;7;0;0;0;0;0;0;0;0;83;0;7;0;0;3;24;11;41;4;12;335;682;48;32;0;54;83;7;79;1320;"#5193BE"
"24";"Conosa";697;0;0;8;0;64;0;0;23;0;0;0;0;0;0;84;0;0;0;0;11;0;0;0;0;0;66;0;0;0;0;0;6;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;159;0;6;0;11;64;792;95;118;0;0;12;0;26;165;1208;"#176EA8"
"25";"Mesomycetozoa";0;16;0;0;25;3;6;7;3;0;3;12;0;30;0;23;16;0;0;9;5;16;14;0;22;8;0;8;15;0;8;49;4;12;17;0;25;6;0;21;0;0;0;25;6;5;72;0;0;37;115;0;6;0;0;20;0;2;30;6;104;5;51;0;4;17;0;5;3;0;4;0;5;3;75;113;143;52;0;266;222;17;12;900;"#00609F"
"26";"Lobosa";7;0;0;0;0;0;0;14;8;14;0;22;0;0;0;0;0;0;0;0;0;3;6;3;0;0;0;2;0;0;0;0;0;0;0;0;20;18;0;15;0;0;0;20;18;6;3;0;277;46;0;0;13;0;6;14;0;0;0;0;13;0;0;0;0;0;0;7;115;0;0;3;0;0;65;12;2;53;0;389;27;0;125;673;"#023E8A"
"27";"Apusomonadidae";16;3;0;0;0;0;0;0;24;0;0;31;0;9;0;0;10;0;0;15;0;0;21;0;0;35;0;5;3;0;0;33;0;0;14;0;0;6;18;19;35;0;9;0;6;12;0;0;0;5;0;17;0;0;6;24;0;3;0;16;0;16;0;0;11;5;0;8;130;0;0;0;0;0;74;55;90;78;9;46;70;5;138;565;"#000078"
"28";"Alveolata_X";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;90;0;0;64;2;0;54;7;0;12;38;0;0;0;0;0;0;38;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;20;0;0;11;9;0;54;0;0;0;0;6;229;38;0;40;32;0;74;419;"#161664"
"29";"Hilomonadea";0;11;0;0;0;0;0;0;0;0;0;8;0;0;0;0;8;0;0;16;0;0;18;0;0;0;0;16;0;0;0;11;0;0;22;0;0;10;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;192;0;0;0;0;0;19;42;49;10;0;11;6;0;192;329;"#17315F"
"30";"Chrompodellids";30;0;0;0;0;0;0;27;0;0;0;0;0;0;3;0;0;0;0;5;0;0;0;0;0;0;3;0;0;0;4;0;0;43;0;0;0;20;0;0;0;0;0;0;20;3;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;128;3;0;0;0;0;57;8;50;20;0;29;0;0;131;295;"#0B0B30"
"31";"Metamonada";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;2;0;0;0;0;2;6;0;0;2;39;0;3;0;3;0;2;39;34;10;0;6;56;0;0;4;0;0;17;0;0;3;0;0;0;0;0;0;0;0;42;4;0;2;0;0;0;0;0;16;44;3;151;20;0;48;282;"#FF0000"
"32";"Perkinsea";0;0;0;0;0;0;0;0;50;0;40;89;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;67;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;179;0;72;0;0;0;0;0;3;254;"#CC0000"
"33";"Foraminifera";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;11;54;11;0;0;84;"#9B2226"
"34";"Discoba";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;"#4E1114"
"35";"Breviatea";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;"#800000"
"36";"NA.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"#000000"
