"";"Fungi";"Chlorophyta";"Dinoflagellata";"Metazoa";"Ochrophyta";"Cryptophyta";"Ciliophora";"Haptophyta";"Picozoa";"Stramenopiles_X";"Sagenista";"Pseudofungi";"Cryptophyta:nucl";"Opalozoa";"Katablepharidophyta";"Prasinodermophyta";"Rhodophyta";"Cercozoa";"Telonemia";"Streptophyta";"Apicomplexa";"Centroheliozoa";"Radiolaria";"Choanoflagellida";"Conosa";"Mesomycetozoa";"Perkinsea";"Alveolata_X";"Chrompodellids";"Metamonada";"Lobosa";"Apusomonadidae";"Hilomonadea";"Foraminifera";"Opisthokonta_X";"Chlorophyta:plas";"Breviatea";"NA";"NA.1";"NA.2";"NA.3";"NA.4";"NA.5";"NA.6";"NA.7";"NA.8";"NA.9";"NA.10";"NA.11";"NA.12";"NA.13";"NA.14";"NA.15";"NA.16";"NA.17";"NA.18";"NA.19";"NA.20";"NA.21";"NA.22";"NA.23";"NA.24";"NA.25";"NA.26";"NA.27";"NA.28";"NA.29";"NA.30";"NA.31"
"C1A17";32861;920;2291;206;6380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5079;6623;5;98;265;1256;0;506;6;0;0;272;124;0;0;0;0;0;11;696;0;0;0;30;0;7;16;0;0;0;0;0
"C1F18";5856;15594;22445;991;4654;58;88;56;82;61;90;41;67;51;8;42;5;35;7;33;0;0;0;0;0;0;0;11;0;0;8;0;0;0;6;0;0;1619;578;192;51;3355;262;196;1405;638;156;0;1474;194;7;0;0;85;0;136;0;16;0;0;0;0;0;3;0;0;0;0;0
"C1A18";3411;16710;11654;780;4294;259;184;161;100;84;98;117;88;86;32;24;24;30;21;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2923;508;129;0;420;162;224;397;556;101;0;46;745;0;0;0;27;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2A17";53118;112;1389;57;423;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;328;91;0;0;41;70;0;29;6;0;0;23;38;23;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0
"C2F18";1548;3353;26434;1159;13214;95;0;0;110;86;38;72;28;54;4;30;1;17;7;17;56;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2091;417;159;23;2875;271;283;835;229;90;0;713;71;9;0;0;44;0;100;0;25;0;0;0;0;0;0;0;0;0;0;0
"C2A18";7941;16216;17969;2125;3460;159;109;101;85;68;75;76;67;63;23;47;19;34;18;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2420;467;79;0;482;112;96;237;215;393;4;97;174;0;16;0;12;62;15;64;5;0;0;0;0;0;0;0;0;0;0;0
"C3A17";53818;597;3877;108;7355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;358;61;0;0;427;67;0;42;18;0;0;883;17;4;11;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
"C3F18";5092;1591;7850;2510;33953;0;22;0;149;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;7158;1214;5;93;1831;537;132;459;55;27;11;1144;212;5;0;0;8;0;118;0;7;0;0;27;0;14;0;0;0;0;0;0
"C3A18";399;6760;12709;5236;10816;109;83;63;147;115;176;83;135;130;88;24;66;26;44;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4177;1183;55;0;573;603;252;1329;592;322;7;113;556;0;45;0;84;0;109;23;3;50;0;0;0;8;24;0;0;0;0;0
"C4A17";52768;226;1871;143;1192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;377;62;0;5;108;48;0;66;0;0;0;238;10;5;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0
