"";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Re1A17";"Re1F18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"Qc1A17";"Qc2A17";"Z1A18";"Z2A18";"Z3A18";"Z4A18";"Z5A18";"Cha";"Fla";"Hu";"Pc";"Ho";"LC";"Qin";"Qc";"ZZ";"Total";"Color"
"Chlorophyta";910;15659;16753;113;3376;16169;595;1601;6686;242;2248;8147;3972;1487;18649;6069;3621;25186;2932;5292;17402;1607;5493;16509;28366;43134;32035;27253;37094;29699;26084;50760;27920;29290;45343;33975;26381;4291;25120;30968;25619;2500;28141;17952;3094;29224;14438;24789;23295;17976;7794;31491;19611;19051;27053;321;338;3067;4878;1870;6356;16565;1949;1373;27604;2233;1767;18649;27920;16509;17402;16169;72499;108219;410953;112379;30641;235768;64321;4000;96649;1135429;"#00564E"
"Ochrophyta";6423;4300;4292;443;13045;3395;7285;33851;10713;881;22889;10401;1416;25703;1551;1460;15852;2659;329;5589;894;112;5479;2365;1056;1239;2615;732;1285;2830;864;1742;1967;1437;1663;5111;3272;16172;3081;3598;3666;6521;2536;785;1187;1873;3405;1663;1782;2674;571;4356;448;1423;1920;3055;538;5682;1143;5360;1756;6154;4244;933;4543;2078;5765;1551;1967;2365;894;3395;117918;63409;22541;29789;9057;22087;33408;7843;10172;316224;"#BACC8C"
"Cryptophyta";0;761;1368;11;768;993;0;299;1310;0;527;1401;6352;216;1767;1590;456;1399;412;1606;719;414;1637;2772;655;950;1290;524;1532;1439;1465;1414;1486;1577;1070;2128;1178;373;1981;2126;1298;373;438;506;215;963;994;1265;1225;706;345;836;407;808;1229;324;226;459;1196;457;2874;1535;267;705;852;129;137;1767;1486;2772;719;993;7438;19340;15530;6956;811;9499;8895;266;7737;76472;"#ACDD3C"
"Haptophyta";6650;619;566;92;440;490;61;1198;1184;62;1189;1300;1296;170;205;1001;268;236;322;626;104;197;551;395;3085;370;612;1867;476;583;1025;612;394;1274;404;871;142;366;297;265;164;693;16;31;30;139;78;208;234;57;43;305;54;152;175;84;0;375;114;495;147;1085;539;83;752;37;80;205;394;395;104;490;13851;5371;11573;1234;709;1506;3674;117;1588;39623;"#F95C74"
"Katablepharidophyta";0;723;595;6;256;233;18;91;587;0;145;511;243;162;68;93;292;111;46;794;39;27;743;115;0;396;35;0;280;32;0;252;52;11;136;15;339;69;450;217;492;46;0;228;27;123;440;128;164;377;40;187;264;130;208;115;0;94;16;107;33;271;42;33;136;17;0;68;52;115;39;233;3165;2733;1209;1567;46;2316;847;17;507;12407;"#AA006A"
"Rhodophyta";0;0;0;0;0;4;0;11;7;0;0;0;23;14;16;20;37;4;0;23;73;26;27;0;511;209;192;32;31;184;92;7;92;119;2;65;20;2855;4;0;0;659;69;408;5550;0;257;2754;0;168;8597;0;447;3798;10;556;13;4;0;0;5;3;8;13;0;125;2850;16;92;0;73;4;22;263;1536;2879;728;21989;602;2975;185;31179;"#83E377"
