"";"Metazoa";"Dinoflagellata";"Ochrophyta";"Chlorophyta";"Haptophyta";"Proteobacteria";"Ciliophora";"Picozoa";"Cryptophyta";"Cercozoa";"Fungi";"Pseudofungi";"Katablepharidophyta";"Radiolaria";"Telonemia";"Choanoflagellida";"NA";"Sagenista";"Apicomplexa";"Foraminifera";"Opalozoa";"Verrucomicrobia";"Discoba";"Conosa";"Mesomycetozoa";"Centroheliozoa";"Cryptophyta:nucl";"Planctomycetes";"Thaumarchaeota";"Rhodophyta";"Apusomonadidae";"Prasinodermophyta";"Epsilonbacteraeota";"Dependentiae";"Streptophyta";"Kiritimatiellaeota";"Haptophyta:plas";"Opisthokonta_X";"Perkinsea";"Acidobacteria";"Nitrospinae";"Lobosa";"Dadabacteria";"Hilomonadea";"Mantamonadidea";"Ancoracystida";"Chrompodellids";"Gemmatimonadetes";"Nitrospirae";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"OSD060";0,398027424291377;0,099219376960677;0,334799389953691;0,0316070690332017;0,00385274121321396;0,0612617119511407;0,0191594840314473;0,000482895427084528;0,00359913426229907;0,0155534016335067;0,00103527221058409;0,00262639527248851;0,000552376783499567;0,00397085951911953;0;2,4318474745264e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00012159237372632;0,00123329407636696;0;0,00332120883663891;0,00771937869771094;0,000871991023008751;0,00149732323074411;0,0039951779938648;0,00174745611383825;0,000194547797962112;5,90591529527839e-05;0,000812931870055967;0,000107696102443312;0,000618384072093855;6,25332207735359e-05;5,90591529527839e-05;0,00048636949490528;0;0,000218866272707376;0;6,94813564150399e-06;0,000250132883094144;0;0;0;0,0002605550865564;0;0,000375199324641216;0;8,33776276980479e-05;4,5162881669776e-05;3,1266610386768e-05;4,8636949490528e-05;0;0
"OSD072";0,157135409283876;0,4370211447119;0,188308302921242;0,0133508878568666;0,0358698498655782;0,0497132574292393;0,0436612713735534;0,00838244515612875;0,0088533420465275;0,0218486547004399;0,000949001386262784;0,00495402748980724;0,0145137148719329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00886535472230297;7,20760546528697e-05;0;0,00312329570162435;5,52583085672001e-05;2,64278867060522e-05;0,00163852897577524;0,000828874628508002;6,48684491875827e-05;0;0;0;0;9,85039413589219e-05;0;0;0,00053096026927614;0;0;0;0,000134541968685357;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD076";0,295747706367433;0,097608791365708;0,0604168402013399;0,00302842795435344;0,0221301331556338;0,33473648511965;0,00664885705106084;0,0126224163166224;0,0103942311124862;0,0412764615585992;4,46232016849721e-05;0,0243315444387591;0,0108493877696729;1,18995204493259e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00454561681164249;0,000919237954710425;0;0,0286183466806288;0,000615800183252615;0;0,0158114877970418;0,0184859050180278;0,00228173304615824;0,00575341813724907;0;0,00010114592381927;0,000291538251008484;0,00215678808144032;5,94976022466295e-06;0;0;0;0;0,000490855218534693;0;0;0;0;0;0;0;7,43720028082868e-05;0;0;0;0;0;0;0
"OSD077";0,110305530028982;0,268230839446905;0,192034274930925;0,0129053474670297;0,046218293691163;0,200581493627236;0,0556168534802025;0,00397087614370146;0,0101576978753354;0,0357409587268609;0,000153671677387827;0,0213081147865961;0,011967950234964;0,000608539842455796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0037065608585944;0,000328857389609951;0;0,00641118238062016;6,7615538050644e-05;0;0,00629746533935316;0,00932479738389336;0,00210837541376099;0,00015981854448334;2,45874683820524e-05;0,000236654383177254;0,000162891978031097;0,0010326736720462;0;0;2,15140348342958e-05;0;3,3807769025322e-05;0,000215140348342958;2,45874683820524e-05;0;0;0;0;0;0;2,76609019298089e-05;0;0;1,53671677387827e-05;0;0;0;0
"OSD080";0,0553731703291821;0,442292214139721;0,166693326224118;0,0657069225984182;0,00221655177666908;0,0369577636439807;0,0647319444973404;9,64822079191581e-05;0,000779474679767935;0,0839141308349519;0,0638712216424826;0,0100900077439667;8,37871805613741e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,06240875449087e-05;0;0;0;0;0,0002056594431961;0,000710921532035902;0;0,000490028056010461;0,0004113188863922;0;0,0023561970776047;0,000457020984880222;0,000101560218862272;0;8,88651915044877e-05;0;0;0,000652524406190095;0,00106130428711074;0;0;0;4,31630930164654e-05;0;0,000373233804318848;0;0;0;0;6,34751367889198e-05;4,06240875449087e-05;0;0;0;0;0;0;6,60141422604766e-05;3,04680656586815e-05
"OSD099";0,619029811676365;0,156412826150908;0,0886945985969216;0,0225245438998001;0,0173265722306154;0,0430496761551464;0,00897990117621249;0,00165038716786582;0,00231851973733415;0,00748657502281124;0,000949845182714313;0,00834667105440294;0,00260272538255576;0,00062325799390703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00262516267033641;0,0014185351941324;0;0,00327335098399972;0,00298665230680249;0;0,0068533449010017;0,00111438529310577;0,000231851973733415;6,2325799390703e-05;0;0,000628244057858286;1,24651598781406e-05;0,000618271929955774;0;0;0;0;1,74512238293968e-05;0;9,72282470494967e-05;0;0;0;0;0;0;6,48188313663311e-05;0;0;0;0;0;0;0
"OSD123";0,268549786129541;0,242532190925183;0,0776510887750012;0,0185795823235734;0,0140417323286498;0,0930744816565801;0,0394810606562225;0,00356230053103439;0,00555754196849108;0,00877994517500298;0,113433007120187;0,00421560967427242;0,000207469795487753;0,000565024123881539;2,64855058069471e-05;4,41425096782452e-05;0,000141256030970385;0;0;0;0;0,000317826069683366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,76570038712981e-05;0,00177011463809763;0,000843121934854484;0;0,0174407055738747;0,00816195003950755;0,0417632284065878;0,00623292236656823;0,00198641293552104;0,0105986165737467;0;0,00143021731357515;0,00591951054785269;0;0,00301493341102415;0,000220712548391226;0,00458199250460186;0,000617995135495433;4,85567606460698e-05;0,000909335699371852;0;0,000397282587104207;0;0,000723937158723222;0;0;0;0;0,00177894314003328;0,00032224032065119;0,000220712548391226;0,000110356274195613;0,000128013278066911;0;0;0
"OSD124";0,426026949570114;0,132424958519785;0,245449746090804;0,0713937352305294;0,00479662124792599;0,0345869576147619;0,0110915581477198;0,00332847302529036;0,01894263160541;0,00878374981145357;0,000191060385137513;0,00927648448891347;0,00609633465734828;0,00216199909497712;7,79325255166172e-05;0,000580723012720599;0;0;0;0,000382120770275026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000884911257479009;0,000965357735431646;0;0,00704158077329177;0,00142038312635125;0,00229523857408618;0,00641812056915883;0,00137261803006687;0,0018175876112424;8,29604303886571e-05;1,50837146161195e-05;0,000246367338729951;2,26255719241792e-05;0,000402232389763186;0,000379606817839006;0,000228769671677812;0,000206144099753633;0;0,000150837146161195;0;6,28488109004978e-05;0;1,75976670521394e-05;0;8,5474382824677e-05;0;8,29604303886571e-05;0,000130725526673035;0;1,00558097440796e-05;3,77092865402987e-05;0;0;0;3,01674292322389e-05
"OSD141";0,751324962800729;0,175028839884306;0,0142639002669431;0,00105885565568243;0,000239635753654445;0,00537508568371424;0,00589336766254828;7,80209430502845e-05;0,000200625282129303;0,0264769643165644;0,0137010348920803;0,00209820607560229;2,50781602661629e-05;0;0;0;0;0;0;0;0;0;0;0;1,11458490071835e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;4,73698582805299e-05;0;0,00146846560669643;0,000919532543092639;0;0,000582370610625338;0,000735626034474111;0,000125390801330814;1,67187735107752e-05;1,95052357625711e-05;0;0;4,73698582805299e-05;8,35938675538762e-06;5,85157072877134e-05;0;0;8,08074053020804e-05;0;0,000114244952323631;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD143";0,0789441017098878;0,107411438320771;0,58283703380803;0,0801565833422345;0,00357682081542277;0,0457018969563824;0,0389437552865643;0,00616633515879179;0,0200550235712203;0,00956705745142135;0,0012153684933761;0,00366631350733407;0,00506644110659157;1,44343051469845e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000762131311760783;0,000306007269116072;0;0,00108545974705324;0,000790999922054752;0,00068129920293767;0,00262704353675118;0,00162818962057985;0,00421481710291948;0,000135682468381655;0,00110566777425902;5,48503595585412e-05;0,000459010903674108;0,00227773335219416;0;6,63978036761288e-05;0,000124135024264067;0;8,66058308819072e-05;0;0;0,00012124816323467;0;0;0;4,90766374997474e-05;0;8,66058308819072e-05;0;1,44343051469845e-05;0;0;0;0;0
"OSD146";0,0399519824004163;0,272412291887241;0,105873139768825;0,180776988647341;0,12699160980033;0,0321954913947;0,127978237517099;0,00433291858904508;0,0196269362246935;0,00905224490006208;0,000172595449147456;0,0270768771043121;3,86407721971916e-05;0;0;0;0;0;0;0;0;0;0;0;9,53139047530726e-05;0,000105618110672324;0;0;0;0;0;0;0;4,12168236770044e-05;0;3,3488669237566e-05;0;0,00728764963639033;0,0331898472659078;0;0,00930469794508373;0,000141682831389702;0;0,00191400624950089;0,000149410985829141;0;0;3,60647207173788e-05;0;0;1,03042059192511e-05;0,00073417467174664;0;0;0,000311702229057345;0;0;0;0;0;0;0;0;0,000164867294708017;0;0;0;0;0;0;0;0
"OSD150";0,0174320506448322;0,139708190545949;0,104347058361891;0,248237502288958;0,0418781227927904;0,0274773066157428;0,200238051638894;0,00277290920030345;0,0945732074188401;0,0274609569152693;0,00304104428806864;0,000173306825018966;0,0200381929003061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0381340413843618;0,000173306825018966;0;0,00545099013786067;0,0241256180186779;0,000693227300075863;0,000395662751458393;0,000843644544431946;0,000147147304261386;0;0,000179846705208361;0;0,0021908598634473;0,000120987783503806;0;0;0;0;9,1558322651529e-05;0;0;0;0;0;0;4,9049101420462e-05;0;0;0;2,61595207575797e-05;0;0;0;0;0
"OSD152";0,183599235611263;0,318088697730514;0,0880947004950904;0,0441010447013212;0,0172400500046811;0,0851951999911886;0,120941938397317;0,0168848405412401;0,00988804017997279;0,0227609412775425;0,0315090069004257;0,012498416702004;6,33319198383109e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,65213703926028e-05;0,0211803968433168;0;0,0153070496687465;0,000429555630207674;2,47820555889042e-05;0,00706839296630191;0,000539698099491692;5,50712346420094e-05;0;0,00320514585616495;0,000413034259815071;0;3,85498642494066e-05;0;0,00011840315448032;0;0,000253327679353243;0,000198256444711234;0;8,26068519630142e-05;0;0;0;8,26068519630142e-06;0;0;0,000195502882979134;0;0;0;0;0;0;0
"OSD159";0,49705614536123;0,195931892965791;0,206289708408352;0,00922735456633762;0,00760280209432752;0,0255608327642226;0,0147270337948304;0,00127015169388051;0,0081951946358726;0,0131723267316488;0,000131930216675979;0,00438215268723743;0,000346640177148652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00107096293536972;0,000271621034332899;0;0,00395014589929844;0,000336292709174065;1,55212019618799e-05;0,00463307878562116;0,00411311851989818;6,7258541834813e-05;0;4,65636058856398e-05;0;0;2,84555369301132e-05;0;0,00146675358539765;0;0;8,53666107903396e-05;0;0;0;0;1,55212019618799e-05;0;0;0;5,17373398729331e-06;0;0;0;0;0;0;0
