"";"Metazoa";"Dinoflagellata";"Ochrophyta";"Proteobacteria";"Chlorophyta";"Ciliophora";"Haptophyta";"Cercozoa";"Cryptophyta";"Fungi";"Pseudofungi";"Nitrospinae";"Opisthokonta_X";"Hilomonadea";"Picozoa";"Katablepharidophyta";"Lobosa";"Perkinsea";"Mantamonadidea";"Unclassified";"Dadabacteria";"Radiolaria";"Ancoracystida";"Nitrospirae";"Gemmatimonadetes";"Chrompodellids";"Telonemia";"Choanoflagellida";"Sagenista";"Opalozoa";"Apicomplexa";"Foraminifera";"Verrucomicrobia";"Discoba";"Mesomycetozoa";"Conosa";"Centroheliozoa";"Rhodophyta";"Thaumarchaeota";"Prasinodermophyta";"Dependentiae";"Apusomonadidae";"Streptophyta";"Planctomycetes";"Epsilonbacteraeota";"Kiritimatiellaeota";"Acidobacteria"
"OSD060";0,397599670096838;0,0989567286499092;0,334685809898043;0,0615724436059932;0,0316678595636367;0,0192253911675064;0,00392471003123652;0,0155471605102123;0,00364505074157112;0,00102383739945301;0,00268283318560371;0,00337013143986614;0,000104279735129473;0,00154049608713994;0,000478738784003489;0,0005735385432121;0,00775462030326443;0,00126557678543496;0,00405742969412858;0,0026354333059994;0,00089585772452138;0,00395788994695954;0,00175853553331975;0,000796317977352338;5,6879855525167e-05;0,000199079494338084;0;2,36999398021529e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD072";0,156665935266409;0,436678633619824;0,189098090111624;0,0495282468335815;0,0132679119145102;0,0437579656490866;0,0357561355922708;0,0216852395647079;0,00882348821900925;0,0010364097273122;0,00505599880486085;0,00326795859963306;0,00899155466127609;0,00164331632438691;0,00838931657648657;0,014565758329793;6,0690659707471e-05;9,33702457038016e-05;0,000845000723619404;0,000676934281352561;3,26795859963306e-05;0;7,93647088482313e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD076";0,296583628534054;0,0983997097325529;0,0603259779816864;0,333239441999026;0,00292177101335803;0,00672198298498057;0,0217032206319046;0,0412389836820044;0,0103216812596079;1,90965425709675e-05;0,0243910589987683;0,0289169395880876;0,00460226675960317;0,0159838061318998;0,0125273319265547;0,010856384451595;0,000601541090985477;0,000897537500835474;0,0184329377166264;0,00305067267571206;0;1,43224069282256e-05;0,0022342954808032;0,000109805119783063;0;0,00590560579007171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD077";0,109931298914265;0,267800370039251;0,193190130374294;0,200806054492343;0,0128222903230433;0,0555393537221455;0,0457624768725468;0,0361003408759508;0,0101784698351078;0,000143426066253281;0,0214517586426157;0,00619122519326662;0,00368126903383421;0,0063298703906448;0,00376254380471107;0,0120573513030258;6,21512953764217e-05;0,000339441690132765;0,00925576214221173;0,00154422064666032;0;0,000568923396138014;0,00202708840304637;0,000262947788131015;1,43426066253281e-05;0,000176892148379046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD080";0,0554994482784417;0,442181450934186;0,167045390787185;0,0370588565336924;0,0652761413155286;0,064920795227141;0,00228637154238905;0,0838570012530625;0,000813555518150704;0,0638687837812564;0,00986085395275767;0,000500289887598422;0,000201051076324599;0,00236585685163366;0,000102863341375376;8,8836522096916e-05;0,000406777759075352;0,000748097028184556;0,000472236249041501;0,00224429108455367;0;0;9,81877349492229e-05;0;7,9485309244609e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,33780321307674e-05;0;0
"OSD099";0,619226895818235;0,156649128916581;0,0885483825425659;0,0430318032509153;0,0221512136813275;0,00885672066034806;0,0173228420567169;0,00755786045723644;0,00239536175139063;0,00103532335030636;0,00835317703088087;0,00322832644686438;0,00259301439099457;0,00686137020339398;0,00160475119297486;0,00273419484785453;0,00299302568543112;0,00135062637062694;0,00111061959396501;0,000875318832531742;0;0,000611781979726486;0,000225888730975933;0,000621194010183817;0;6,11781979726486e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD123";0,269043560512755;0,24180961858687;0,0778640470583599;0,0930279532175267;0,0185730754451134;0,0396242031313121;0,0141342582100876;0,00877910356583342;0,00554728990747948;0,113517454749682;0,00420726961011321;0,0173907045944961;0,00178340936634775;0,00631090441516982;0,00351262673537555;0,000206914898858027;0,00820269777615749;0,000837512685853918;0,00199032426520578;0,0130947571705866;0,041663792848627;0,00055669960883231;0,0106068518390793;0,00588229498182105;0,00142869811116257;0;2,4632726054527e-05;4,9265452109054e-05;0;0;0;0;0,000330078529130662;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD124";0,425186925258544;0,132910304523448;0,245910562351391;0,0345680427039467;0,0721393034825871;0,0110436302174349;0,00458360787234652;0,00879479760506489;0,0185206405592002;0,000186209069814077;0,00927225675843432;0,00705207169526647;0,000916721574469304;0,00654119040116118;0,00312735745456976;0,00608282961392653;0,00146579960084415;0,000849877292997584;0,00135120940403548;0,00184776692353969;0,00216766455629721;0,00207694731715702;0,00202920140182007;0,000243504168218409;9,54918306738858e-06;7,16188730054144e-05;9,07172391401916e-05;0,000558627209442232;0;0;0;0,000401065688830321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD141";0,751551749925217;0,175179479509423;0,0140966198025725;0,00540308106491176;0,00108902931498654;0,00559003888722704;0,000257067005683518;0,0264031184564762;0,000177609931199521;0,013760095722405;0,00215936284774155;0,00152838019742746;0;0,000560873466945857;7,47831289261143e-05;2,33697277894107e-05;0,000841310200418785;4,67394555788214e-05;0,000766527071492671;0,000322502243493868;0;0;0,000116848638947054;0;9,34789111576428e-06;2,33697277894107e-05;0;0;0;0;0;0;0;0;1,86957822315286e-05;0;0;0;0;0;0;0;0;0;0;0;0
"OSD143";0,0781539593384361;0,107133930382045;0,583362808486958;0,0456228217861471;0,0802478742519206;0,0393882372914928;0,00365020302485817;0,00973859075753503;0,0198497474568837;0,00118843819413987;0,00356059855783968;0,00110354975170131;0,000749847908207298;0,00264568978933518;0,00622043642091463;0,00496597388265588;0,000792292129426579;0,000315973646854647;0,00162231245549252;0,003305933230524;0,000721551760727777;1,41480737397603e-05;0,00423027404818834;6,13083195389614e-05;0,00120258626787963;0,000150912786557444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD146";0,0396484832828638;0,271411281256428;0,106134320718342;0,0324631524562637;0,181589862081832;0,128120858986687;0,126953601515521;0,0089649200859178;0,0195515626420203;0,000157866789133024;0,026607729732057;0,00940981740074724;0,00731449456316346;0,00204270057453944;0,00441548625362974;2,87030525696408e-05;0,000167434473322905;0,033400785506872;0,000114812210278563;0,00118639283954515;0;0;0;0;3,34868946645809e-05;0;0;0;0;0;0;0;0;0;0,000105244526088683;0;0,000100460683993743;0;0;0;5,26222630443414e-05;0;0;0;0;2,39192104747007e-05;0
"OSD150";0,0172870662460568;0,139478911087744;0,10410094637224;0,0276901507185419;0,248748685594111;0,200602874167543;0,0423086809206683;0,0274050706858278;0,0941137983409277;0,00293492230400748;0,000163570510573665;0,00544923472368267;0,0378221754877906;0,000355181680102816;0,0028975347587335;0,0198855006425984;0,0242271293375394;0,00015422362425517;0,000859913541301554;0,00242084355649024;0,000743077462320365;0;0,000158897067414418;0;0,000191611169529151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD152";0,184477347899935;0,317797507304473;0,0883029627224865;0,0853717635656179;0,043680983904282;0,120395594261813;0,0174225208312749;0,0230120306199745;0,00990397146903421;0,0316644788534918;0,0123599681943719;0,0151311982158736;1,88198982784498e-05;0,00705275687984906;0,0169284985014656;3,76397965568996e-05;0,000428152685834733;0,0209277268856362;0,000555186999214269;0,000889240193656753;2,82298474176747e-05;0;4,70497456961245e-05;0,000381102940138609;0,00318526778362763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD159";0,495845716742369;0,195788706330959;0,207602011252547;0,0256687040879269;0,00942073683620255;0,0149395315800295;0,00761229181853866;0,0131170676087404;0,00779453821566758;0,000149535505336548;0,00437391353109404;0,00383184732424905;0,00107011346006467;0,00482252004710368;0,00126170582627713;0,000341127871549001;0,000299071010673097;0,000271033103422494;0,00411689938129685;0,00155143086786669;1,40189536253014e-05;0;7,47677526682742e-05;0;3,27108917923699e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
