"colMeans..t.."	"Node"	"Node_category"
"ASV0424"	0.000553980932749291	"ASV0424"	"Other"
"ASV0426"	0.000328434189999179	"ASV0426"	"Shared"
"ASV0434"	0.000350242089308467	"ASV0434"	"Other"
"ASV0436"	0.00208036401555872	"ASV0436"	"Other"
"ASV0442"	0.00059621638378005	"ASV0442"	"Shared"
"ASV0443"	8.21085474997947e-05	"ASV0443"	"Other"
"ASV0451"	0.00797273996223007	"ASV0451"	"Unique"
"ASV0452"	0.000385910173249035	"ASV0452"	"Other"
"ASV0456"	0.000550127268248625	"ASV0456"	"Shared"
"ASV0460"	0.000558338122998604	"ASV0460"	"Shared"
"ASV0464"	0.00102304718237331	"ASV0464"	"Shared"
"ASV0475"	0.000476817727423698	"ASV0475"	"Other"
"ASV0478"	0.001283933308186	"ASV0478"	"Other"
"ASV0482"	0.000303801625749241	"ASV0482"	"Other"
"ASV0497"	0.000377699318499056	"ASV0497"	"Shared"
"ASV0507"	0.000191803593120644	"ASV0507"	"Other"
"ASV0512"	0.00115308600653864	"ASV0512"	"Shared"
"ASV0525"	7.38976927498152e-05	"ASV0525"	"Other"
"ASV0558"	0.000125282698970902	"ASV0558"	"Other"
"ASV0561"	0.000383607186241289	"ASV0561"	"Other"
"ASV0564"	0.000644526393432222	"ASV0564"	"Shared"
"ASV0569"	0.000287379916249282	"ASV0569"	"Shared"
"ASV0600"	0.0018230582297637	"ASV0600"	"Other"
"ASV0612"	0.000212574078845658	"ASV0612"	"Other"
"ASV0618"	0.000666403329587508	"ASV0618"	"Other"
"ASV0624"	0.00126447163149684	"ASV0624"	"Other"
"ASV0634"	0.000418598192212669	"ASV0634"	"Shared"
"ASV0640"	0.000788242055998029	"ASV0640"	"Other"
"ASV0647"	0.000173924246328266	"ASV0647"	"Shared"
"ASV0661"	2.46325642499384e-05	"ASV0661"	"Other"
"ASV0675"	0.000541916413498645	"ASV0675"	"Shared"
"ASV0680"	0.000312643450715782	"ASV0680"	"Shared"
"ASV0689"	0.00200264408253841	"ASV0689"	"Other"
"ASV0691"	0.00045980786599885	"ASV0691"	"Other"
"ASV0709"	0.000213482223499466	"ASV0709"	"Other"
"ASV0711"	0.000436315240884899	"ASV0711"	"Shared"
"ASV0717"	0.000167482607575367	"ASV0717"	"Other"
"ASV0723"	0.000306258947851033	"ASV0723"	"Shared"
"ASV0724"	0.000824057073173507	"ASV0724"	"Other"
"ASV0727"	0.000312006778892304	"ASV0727"	"Other"
"ASV0728"	0.000100166404724058	"ASV0728"	"Other"
"ASV0734"	0.000541916413498645	"ASV0734"	"Other"
"ASV0737"	4.92651284998768e-05	"ASV0737"	"Other"
"ASV0738"	0.000111295786872658	"ASV0738"	"Other"
"ASV0739"	0.00015600624024961	"ASV0739"	"Other"
"ASV0741"	7.38976927498152e-05	"ASV0741"	"Other"
"ASV0746"	0.000665079234748337	"ASV0746"	"Other"
"ASV0768"	0.000108294050197477	"ASV0768"	"Shared"
"ASV0769"	0.000197477385654223	"ASV0769"	"Other"
"ASV0789"	0.000414736615318324	"ASV0789"	"Other"
"ASV0791"	0.000361277608999097	"ASV0791"	"Other"
"ASV0811"	9.03194022497742e-05	"ASV0811"	"Shared"
"ASV0817"	0.000139584530749651	"ASV0817"	"Other"
"ASV0826"	0.0001230263615405	"ASV0826"	"Other"
"ASV0829"	0.000296315382633342	"ASV0829"	"Other"
"ASV0832"	0.000398652989010591	"ASV0832"	"Other"
"ASV0833"	0.000426964446998933	"ASV0833"	"Shared"
"ASV0835"	0.000377033286653022	"ASV0835"	"Other"
"ASV0837"	0.000167482607575367	"ASV0837"	"Shared"
"ASV0863"	0.000492651284998768	"ASV0863"	"Other"
"ASV0866"	0.000558141726226698	"ASV0866"	"Shared"
"ASV0868"	8.21085474997947e-05	"ASV0868"	"Other"
"ASV0876"	1.61585694279866e-05	"ASV0876"	"Other"
"ASV0877"	0.000353066754249117	"ASV0877"	"Other"
"ASV0884"	0.000106741111749733	"ASV0884"	"Shared"
"ASV0889"	0.000188849659249528	"ASV0889"	"Other"
"ASV0891"	1.64217094999589e-05	"ASV0891"	"Other"
"ASV0894"	0.000254536497249364	"ASV0894"	"Other"
"ASV0905"	0.000369488463749076	"ASV0905"	"Other"
"ASV0906"	3.23171388559733e-05	"ASV0906"	"Shared"
"ASV0919"	0.000285468059894431	"ASV0919"	"Shared"
"ASV0923"	9.66245812934811e-05	"ASV0923"	"Other"
"ASV0925"	0.000619039120845896	"ASV0925"	"Other"
"ASV0927"	6.56868379998358e-05	"ASV0927"	"Other"
"ASV0934"	0.000180638804499548	"ASV0934"	"Other"
"ASV0960"	0.000569955613965545	"ASV0960"	"Other"
"ASV0961"	0.000578702086805335	"ASV0961"	"Other"
"ASV0983"	0.000171996432666582	"ASV0983"	"Other"
"ASV0989"	6.42968013741218e-05	"ASV0989"	"Other"
"ASV1002"	0.000812874620247968	"ASV1002"	"Other"
"ASV1009"	0.000812874620247968	"ASV1009"	"Other"
"ASV1045"	0.000554134587646935	"ASV1045"	"Other"
"ASV1058"	0.000410542737498974	"ASV1058"	"Other"
"ASV1060"	0.000348704494742114	"ASV1060"	"Other"
"ASV1080"	0.000463350870248582	"ASV1080"	"Shared"
"ASV1087"	0.000435175301748912	"ASV1087"	"Other"
"ASV1093"	0.000205271368749487	"ASV1093"	"Other"
"ASV1105"	0.000658652739852928	"ASV1105"	"Other"
"ASV1106"	0.000213482223499466	"ASV1106"	"Other"
"ASV1108"	0.000205271368749487	"ASV1108"	"Other"
"ASV1113"	0.000465946013031385	"ASV1113"	"Shared"
"ASV1114"	0.00045980786599885	"ASV1114"	"Other"
"ASV1120"	0.000115949497552177	"ASV1120"	"Other"
"ASV1131"	4.10542737498974e-05	"ASV1131"	"Other"
"ASV1132"	9.01829425405823e-05	"ASV1132"	"Other"
"ASV1136"	0.000377699318499056	"ASV1136"	"Other"
"ASV1151"	0.000415574451761396	"ASV1151"	"Other"
"ASV1154"	0.00118236308399704	"ASV1154"	"Other"
"ASV1158"	9.1565226758591e-05	"ASV1158"	"Other"
"ASV1163"	0.000427850631112996	"ASV1163"	"Other"
"ASV1180"	0.000558338122998604	"ASV1180"	"Other"
"ASV1187"	0.000109507858799279	"ASV1187"	"Other"
"ASV1188"	3.23171388559733e-05	"ASV1188"	"Shared"
"ASV1189"	3.18511912345522e-05	"ASV1189"	"Shared"
"ASV1203"	0.000279169061499302	"ASV1203"	"Other"
"ASV1207"	8.21085474997947e-06	"ASV1207"	"Other"
"ASV1236"	0.000907024109848669	"ASV1236"	"Other"
"ASV1246"	0.000250308384034383	"ASV1246"	"Other"
"ASV1256"	0.000603476514148266	"ASV1256"	"Other"
"ASV1269"	0.000180638804499548	"ASV1269"	"Shared"
"ASV1279"	3.28434189999179e-05	"ASV1279"	"Other"
"ASV1285"	0.000394121027999015	"ASV1285"	"Other"
"ASV1286"	0.000156666471759934	"ASV1286"	"Shared"
"ASV1329"	0.000582970687248543	"ASV1329"	"Other"
"ASV1333"	4.4591667728373e-05	"ASV1333"	"Shared"
"ASV1346"	0.000246325642499384	"ASV1346"	"Other"
"ASV1348"	3.83607186241289e-05	"ASV1348"	"Other"
"ASV1359"	4.10542737498974e-05	"ASV1359"	"Other"
"ASV1361"	0.000566548977748584	"ASV1361"	"Other"
"ASV1383"	0.000628410743714619	"ASV1383"	"Other"
"ASV1397"	4.10542737498974e-05	"ASV1397"	"Other"
"ASV1401"	0.000308799822024739	"ASV1401"	"Shared"
"ASV1402"	0.000147415203595711	"ASV1402"	"Shared"
"ASV1449"	0.00025460814837672	"ASV1449"	"Other"
"ASV1455"	0.000295590770999261	"ASV1455"	"Other"
"ASV1457"	5.92480879026177e-05	"ASV1457"	"Other"
"ASV1461"	4.84757082839599e-05	"ASV1461"	"Shared"
"ASV1469"	0.000254536497249364	"ASV1469"	"Other"
"ASV1496"	0.000494784404966045	"ASV1496"	"Other"
"ASV1502"	0.00104277855324739	"ASV1502"	"Other"
"ASV1504"	2.54809529876417e-05	"ASV1504"	"Shared"
"ASV1506"	0.000973489545356862	"ASV1506"	"Other"
"ASV1520"	0.000132507666761328	"ASV1520"	"Other"
"ASV1526"	0.000537853764776324	"ASV1526"	"Other"
"ASV1527"	0.000229903932999425	"ASV1527"	"Other"
"ASV1528"	6.54236979278635e-05	"ASV1528"	"Other"
"ASV1553"	0.000140878493803162	"ASV1553"	"Other"
"ASV1557"	0.000213482223499466	"ASV1557"	"Other"
"ASV1571"	0.000250404755332137	"ASV1571"	"Other"
"ASV1572"	0.000166856194139963	"ASV1572"	"Other"
"ASV1577"	0.000812874620247968	"ASV1577"	"Other"
"ASV1589"	0.000267493814289408	"ASV1589"	"Shared"
"ASV1638"	2.46325642499384e-05	"ASV1638"	"Other"
"ASV1639"	0.00014779538549963	"ASV1639"	"Other"
"ASV1674"	0.000104971895752652	"ASV1674"	"Other"
"ASV1677"	6.44163875289874e-05	"ASV1677"	"Other"
"ASV1690"	0.000109507858799279	"ASV1690"	"Other"
"ASV1697"	6.44163875289874e-06	"ASV1697"	"Other"
"ASV1717"	8.28130972098356e-05	"ASV1717"	"Other"
"ASV1719"	0.000164217094999589	"ASV1719"	"Other"
"ASV1774"	0.000197477385654223	"ASV1774"	"Other"
"ASV1784"	8.21085474997947e-06	"ASV1784"	"Other"
"ASV1795"	0.00030456262302326	"ASV1795"	"Shared"
"ASV1797"	1.91107147407313e-05	"ASV1797"	"Other"
"ASV1806"	0.00014779538549963	"ASV1806"	"Other"
"ASV1853"	0.000318778866874136	"ASV1853"	"Other"
"ASV1866"	0.000115949497552177	"ASV1866"	"Other"
"ASV1916"	0.000564984969948876	"ASV1916"	"Other"
"ASV1927"	7.85701155056333e-05	"ASV1927"	"Other"
"ASV1929"	0.000525351333759544	"ASV1929"	"Other"
"ASV1932"	0.000301626629322417	"ASV1932"	"Other"
"ASV1945"	0.000474124454923031	"ASV1945"	"Other"
"ASV1957"	7.64428589629252e-05	"ASV1957"	"Other"
"ASV1965"	8.21085474997947e-06	"ASV1965"	"Shared"
"ASV1968"	2.5766555011595e-05	"ASV1968"	"Other"
"ASV1981"	0.000447982024153426	"ASV1981"	"Other"
"ASV1988"	0.000222958338641865	"ASV1988"	"Other"
"ASV1989"	3.23171388559733e-05	"ASV1989"	"Other"
"ASV1999"	0.000238114787749405	"ASV1999"	"Other"
"ASV2006"	0.000173538761137248	"ASV2006"	"Other"
"ASV2019"	6.44163875289874e-06	"ASV2019"	"Other"
"ASV2039"	0.000482113117367006	"ASV2039"	"Other"
"ASV2048"	0.000345985055762215	"ASV2048"	"Other"
"ASV2050"	0.00031201248049922	"ASV2050"	"Other"
"ASV2058"	0.000135274413810873	"ASV2058"	"Other"
"ASV2094"	7.64428589629252e-05	"ASV2094"	"Other"
"ASV2098"	0.000443386156498892	"ASV2098"	"Other"
"ASV2100"	0.000279169061499302	"ASV2100"	"Other"
"ASV2139"	8.21085474997947e-06	"ASV2139"	"Other"
"ASV2144"	0.000121034526691298	"ASV2144"	"Other"
"ASV2162"	0.000358556004517638	"ASV2162"	"Other"
"ASV2163"	0.000441672650804573	"ASV2163"	"Other"
"ASV2166"	0.00078003120124805	"ASV2166"	"Unique"
"ASV2193"	9.66245812934811e-05	"ASV2193"	"Other"
"ASV2216"	4.10542737498974e-05	"ASV2216"	"Other"
"ASV2220"	0.000254536497249364	"ASV2220"	"Other"
"ASV2235"	0.000353066754249117	"ASV2235"	"Other"
"ASV2236"	0.000164217094999589	"ASV2236"	"Other"
"ASV2251"	0.000574759832498563	"ASV2251"	"Other"
"ASV2252"	0.00012786906208043	"ASV2252"	"Other"
"ASV2268"	0.000484440430248789	"ASV2268"	"Other"
"ASV2285"	7.72996650347848e-05	"ASV2285"	"Other"
"ASV2301"	0.000345963596839759	"ASV2301"	"Other"
"ASV2303"	0.000139584530749651	"ASV2303"	"Other"
"ASV2314"	0.000108688702768365	"ASV2314"	"Other"
"ASV2316"	6.44163875289874e-05	"ASV2316"	"Other"
"ASV2321"	2.46325642499384e-05	"ASV2321"	"Other"
"ASV2343"	0.000558338122998604	"ASV2343"	"Other"
"ASV2374"	6.8856073486226e-05	"ASV2374"	"Other"
"ASV2402"	9.66245812934811e-05	"ASV2402"	"Other"
"ASV2434"	0.000410542737498974	"ASV2434"	"Other"
"ASV2436"	0.000509072994498727	"ASV2436"	"Other"
"ASV2441"	0.000224163088689523	"ASV2441"	"Other"
"ASV2451"	0.000328434189999179	"ASV2451"	"Other"
"ASV2474"	7.38976927498152e-05	"ASV2474"	"Other"
"ASV2492"	9.85302569997537e-05	"ASV2492"	"Other"
"ASV2537"	0.000599392396748501	"ASV2537"	"Unique"
"ASV2582"	8.21085474997947e-06	"ASV2582"	"Shared"
"ASV2639"	0.000131373675999672	"ASV2639"	"Other"
"ASV2643"	0.000295590770999261	"ASV2643"	"Other"
"ASV2644"	0.000558338122998604	"ASV2644"	"Unique"
"ASV2681"	0.000402331882748994	"ASV2681"	"Other"
"ASV2695"	2.46325642499384e-05	"ASV2695"	"Other"
"ASV2703"	0.000262747351999343	"ASV2703"	"Other"
"ASV2705"	0.000279169061499302	"ASV2705"	"Other"
"ASV2712"	8.8770491067071e-05	"ASV2712"	"Other"
"ASV2715"	2.46325642499384e-05	"ASV2715"	"Other"
"ASV2748"	0.000517283849248707	"ASV2748"	"Unique"
"ASV2767"	0.000165626194419671	"ASV2767"	"Other"
"ASV2773"	6.44163875289874e-05	"ASV2773"	"Other"
"ASV2795"	1.64217094999589e-05	"ASV2795"	"Other"
"ASV2797"	3.28434189999179e-05	"ASV2797"	"Other"
"ASV2835"	3.11527448209238e-05	"ASV2835"	"Other"
"ASV2915"	0.00045980786599885	"ASV2915"	"Unique"
