"";"input";"filtered";"denoisedFws";"denoisedRvs";"merged";"nochim"
"S011";21585;16158;15674;15819;14595;14516
"S012";46259;37983;37260;37563;35247;35080
"S013";40978;32865;32484;32671;31380;30765
"S014";42703;36171;35516;35721;33955;33775
"S015";25514;20018;19753;19818;18624;18533
"S016";48557;40391;40086;40161;39504;39489
