"";"dada2_input";"filtered";"dada_Fw";"dada_Rv";"merged";"nonchim";"final_perc_reads_retained"
"S001";47953;41449;40770;41145;39690;38810;80,9
"S002";44996;40743;39898;40265;38954;38455;85,5
"S003";14484;12746;12233;12456;11871;11731;81
"S004";45578;38729;37529;37999;35968;35432;77,7
"S005";42315;35361;34758;35054;33575;32790;77,5
"S006";39124;30438;30025;30202;29126;28628;73,2
"S007";35469;29602;29366;29429;28748;27966;78,8
