"";"reads.in";"reads.out"
"S011_OSD159_R1_18S_raw.fastq.gz";21585;17261
"S012_OSD002_R1_18S_raw.fastq.gz";46259;39698
"S013_OSD141_R1_18S_raw.fastq.gz";40978;34451
"S014_OSD003_R1_18S_raw.fastq.gz";42703;37518
"S015_OSD072_R1_18S_raw.fastq.gz";25514;21179
"S016_OSD030_R1_18S_raw.fastq.gz";48557;41975
