"colMeans..t.."	"Node"	"Node_category"
"ASV0001"	0.154010690511017	"ASV0001"	"Shared"
"ASV0003"	0.120140053192668	"ASV0003"	"Shared"
"ASV0006"	0.112266843122134	"ASV0006"	"Shared"
"ASV0008"	0.0747055246968776	"ASV0008"	"Shared"
"ASV0013"	0.0318644513384686	"ASV0013"	"Shared"
"ASV0016"	0.0236587307104258	"ASV0016"	"Shared"
"ASV0017"	0.0226657444049377	"ASV0017"	"Shared"
"ASV0020"	4.62100747408989e-05	"ASV0020"	"Other"
"ASV0021"	0.00911587918341243	"ASV0021"	"Shared"
"ASV0023"	0.00736853709569521	"ASV0023"	"Shared"
"ASV0025"	0.0153727930677021	"ASV0025"	"Shared"
"ASV0028"	6.18381655968828e-05	"ASV0028"	"Other"
"ASV0029"	0.00703977533425161	"ASV0029"	"Shared"
"ASV0030"	0.000466882133674721	"ASV0030"	"Shared"
"ASV0031"	0.0156638009972788	"ASV0031"	"Other"
"ASV0032"	0.00648922452572223	"ASV0032"	"Shared"
"ASV0033"	8.25311995469161e-05	"ASV0033"	"Other"
"ASV0034"	0.00626898605966887	"ASV0034"	"Shared"
"ASV0035"	0.00605588284609911	"ASV0035"	"Shared"
"ASV0036"	0.00797199913691545	"ASV0036"	"Shared"
"ASV0037"	0.0116719284830483	"ASV0037"	"Shared"
"ASV0038"	0.0051651499003042	"ASV0038"	"Shared"
"ASV0039"	0.0105846354312731	"ASV0039"	"Shared"
"ASV0040"	0.000373494982176064	"ASV0040"	"Other"
"ASV0041"	0.00496412206847478	"ASV0041"	"Shared"
"ASV0042"	0.0118558371511725	"ASV0042"	"Shared"
"ASV0044"	0.00475254806241072	"ASV0044"	"Shared"
"ASV0045"	0.000517336517276797	"ASV0045"	"Shared"
"ASV0046"	0.0117550264123569	"ASV0046"	"Other"
"ASV0048"	0.000916548504217267	"ASV0048"	"Shared"
"ASV0050"	0.00619077674094971	"ASV0050"	"Shared"
"ASV0051"	0.000719398840142932	"ASV0051"	"Shared"
"ASV0053"	0.00585774571544226	"ASV0053"	"Shared"
"ASV0054"	9.25644723258831e-05	"ASV0054"	"Other"
"ASV0056"	0.000738588806069425	"ASV0056"	"Shared"
"ASV0063"	0.00358042810087919	"ASV0063"	"Shared"
"ASV0064"	0.000794831536951538	"ASV0064"	"Shared"
"ASV0066"	0.0192848049939354	"ASV0066"	"Shared"
"ASV0068"	4.83372003093581e-05	"ASV0068"	"Other"
"ASV0071"	0.000240237910594449	"ASV0071"	"Shared"
"ASV0072"	0.000328189907975662	"ASV0072"	"Shared"
"ASV0073"	0.000402572313928283	"ASV0073"	"Shared"
"ASV0075"	0.0079492500509001	"ASV0075"	"Other"
"ASV0077"	0.000653573343603157	"ASV0077"	"Shared"
"ASV0079"	8.5714591837828e-05	"ASV0079"	"Other"
"ASV0082"	0.000410011309784576	"ASV0082"	"Shared"
"ASV0083"	0.000445583614852194	"ASV0083"	"Shared"
"ASV0085"	0.00032767251853997	"ASV0085"	"Shared"
"ASV0086"	0.00198658939674512	"ASV0086"	"Shared"
"ASV0089"	0.015320914241805	"ASV0089"	"Shared"
"ASV0090"	0.0010166834769239	"ASV0090"	"Other"
"ASV0097"	0.00273740838117758	"ASV0097"	"Shared"
"ASV0100"	0.0144300963396809	"ASV0100"	"Other"
"ASV0101"	0.000881836087071546	"ASV0101"	"Shared"
"ASV0102"	0.000315385907799987	"ASV0102"	"Shared"
"ASV0104"	0.000366718636290047	"ASV0104"	"Shared"
"ASV0107"	0.00256127282128662	"ASV0107"	"Shared"
"ASV0120"	0.00017368935292593	"ASV0120"	"Shared"
"ASV0121"	0.000124001036769199	"ASV0121"	"Shared"
"ASV0124"	0.000195536412630045	"ASV0124"	"Other"
"ASV0127"	9.01707647724587e-05	"ASV0127"	"Shared"
"ASV0129"	0.00154800765478986	"ASV0129"	"Other"
"ASV0131"	0.000377465712776345	"ASV0131"	"Other"
"ASV0133"	0.000340474936172545	"ASV0133"	"Shared"
"ASV0136"	0.00122041112275531	"ASV0136"	"Shared"
"ASV0142"	0.000258852507947838	"ASV0142"	"Shared"
"ASV0143"	0.00044839879549793	"ASV0143"	"Shared"
"ASV0145"	0.00044485533799408	"ASV0145"	"Shared"
"ASV0147"	0.000280044679393501	"ASV0147"	"Shared"
"ASV0183"	0.000647528471558849	"ASV0183"	"Other"
"ASV0186"	0.000783032225975518	"ASV0186"	"Other"
"ASV0189"	0.00124488265974678	"ASV0189"	"Shared"
"ASV0202"	0.000836813261793353	"ASV0202"	"Other"
"ASV0206"	0.000406964363785651	"ASV0206"	"Shared"
"ASV0211"	0.000483742789950867	"ASV0211"	"Shared"
"ASV0220"	2.48713794377647e-05	"ASV0220"	"Other"
"ASV0222"	0.000211826015921321	"ASV0222"	"Other"
"ASV0223"	0.000197814412948126	"ASV0223"	"Shared"
"ASV0240"	0.000365760184065592	"ASV0240"	"Other"
"ASV0250"	0.000297724248259404	"ASV0250"	"Other"
"ASV0254"	0.000302682276709218	"ASV0254"	"Other"
"ASV0255"	0.000490754248167659	"ASV0255"	"Other"
"ASV0257"	0.000499884288797721	"ASV0257"	"Other"
"ASV0258"	0.00161802137609708	"ASV0258"	"Other"
"ASV0261"	0.000204495366468617	"ASV0261"	"Shared"
"ASV0270"	0.000163127088645424	"ASV0270"	"Shared"
"ASV0271"	0.000146894270685531	"ASV0271"	"Other"
"ASV0273"	0.000409194801107838	"ASV0273"	"Shared"
"ASV0277"	8.57197713722549e-05	"ASV0277"	"Shared"
"ASV0278"	0.000262193856591494	"ASV0278"	"Shared"
"ASV0283"	0.00709135422834382	"ASV0283"	"Other"
"ASV0286"	0.000711186220535848	"ASV0286"	"Other"
"ASV0294"	0.00618410056429528	"ASV0294"	"Other"
"ASV0304"	0.00313024075495296	"ASV0304"	"Other"
"ASV0308"	0.000464958589995452	"ASV0308"	"Other"
"ASV0312"	6.04019214917143e-05	"ASV0312"	"Shared"
"ASV0332"	0.00126895421821518	"ASV0332"	"Shared"
"ASV0348"	3.90835962593445e-05	"ASV0348"	"Other"
"ASV0349"	0.00084608454633626	"ASV0349"	"Other"
"ASV0351"	7.41396313631059e-05	"ASV0351"	"Other"
"ASV0354"	0.00147104469614997	"ASV0354"	"Other"
"ASV0356"	0.000988106469242049	"ASV0356"	"Shared"
"ASV0357"	0.000122868621025899	"ASV0357"	"Other"
"ASV0361"	0.00503539709816238	"ASV0361"	"Unique"
"ASV0364"	0.0054708315914673	"ASV0364"	"Other"
"ASV0367"	0.00332171388062629	"ASV0367"	"Other"
"ASV0371"	3.22248002062387e-05	"ASV0371"	"Other"
"ASV0381"	6.26275564401623e-05	"ASV0381"	"Shared"
"ASV0382"	9.39365702238455e-05	"ASV0382"	"Other"
