"colMeans..t.."	"Node"	"Node_category"
"ASV0001"	0.233341139376561	"ASV0001"	"Shared"
"ASV0003"	0.175763431423637	"ASV0003"	"Shared"
"ASV0006"	0.163352048926328	"ASV0006"	"Shared"
"ASV0008"	0.104852400799654	"ASV0008"	"Shared"
"ASV0013"	0.015973721310438	"ASV0013"	"Shared"
"ASV0016"	0.0120182239037391	"ASV0016"	"Shared"
"ASV0017"	0.0114380017076478	"ASV0017"	"Shared"
"ASV0020"	8.71169627630907e-05	"ASV0020"	"Other"
"ASV0021"	0.0116955643008944	"ASV0021"	"Shared"
"ASV0023"	0.0120807058049915	"ASV0023"	"Shared"
"ASV0025"	0.00191551391655907	"ASV0025"	"Shared"
"ASV0029"	0.00894933945253555	"ASV0029"	"Shared"
"ASV0030"	3.78452023096386e-05	"ASV0030"	"Shared"
"ASV0031"	0.000280945298297802	"ASV0031"	"Other"
"ASV0032"	0.00607362308478603	"ASV0032"	"Shared"
"ASV0033"	3.91328167801518e-05	"ASV0033"	"Other"
"ASV0034"	0.00826244635212787	"ASV0034"	"Shared"
"ASV0035"	0.00884750183782602	"ASV0035"	"Shared"
"ASV0036"	0.0105505072548758	"ASV0036"	"Shared"
"ASV0037"	0.0011398037778448	"ASV0037"	"Shared"
"ASV0038"	0.00839462284323533	"ASV0038"	"Shared"
"ASV0039"	0.00102630490868488	"ASV0039"	"Shared"
"ASV0041"	0.00475144504263982	"ASV0041"	"Shared"
"ASV0042"	0.000249958684514956	"ASV0042"	"Shared"
"ASV0044"	0.00441340883491225	"ASV0044"	"Shared"
"ASV0045"	4.44709526201239e-05	"ASV0045"	"Shared"
"ASV0046"	0.000235498264749628	"ASV0046"	"Other"
"ASV0048"	0.00327315072047375	"ASV0048"	"Shared"
"ASV0050"	0.00810037957784078	"ASV0050"	"Shared"
"ASV0051"	0.00530385033336238	"ASV0051"	"Shared"
"ASV0053"	0.00753492343749632	"ASV0053"	"Shared"
"ASV0056"	0.00435484838788117	"ASV0056"	"Shared"
"ASV0063"	0.00279223897086367	"ASV0063"	"Shared"
"ASV0064"	0.00231295368163013	"ASV0064"	"Shared"
"ASV0066"	0.000657016366238651	"ASV0066"	"Shared"
"ASV0068"	2.19992960225273e-05	"ASV0068"	"Other"
"ASV0071"	0.00437946016810329	"ASV0071"	"Shared"
