"";"ASV_1";"ASV_3";"ASV_6";"ASV_8";"ASV_13";"ASV_16";"ASV_17";"ASV_21";"ASV_23";"ASV_25";"ASV_29";"ASV_30";"ASV_32";"ASV_34";"ASV_35";"ASV_36";"ASV_37";"ASV_38";"ASV_39";"ASV_41";"ASV_42";"ASV_44";"ASV_45";"ASV_48";"ASV_50";"ASV_51";"ASV_53";"ASV_56";"ASV_63";"ASV_64";"ASV_66";"ASV_71";"ASV_72";"ASV_73";"ASV_77";"ASV_82";"ASV_83";"ASV_85";"ASV_86";"ASV_89";"ASV_97";"ASV_101";"ASV_102";"ASV_104";"ASV_107";"ASV_120";"ASV_121";"ASV_127";"ASV_133";"ASV_136";"ASV_142";"ASV_143";"ASV_145";"ASV_147";"ASV_189";"ASV_206";"ASV_211";"ASV_223";"ASV_261";"ASV_270";"ASV_273";"ASV_277";"ASV_278";"ASV_312";"ASV_332";"ASV_356";"ASV_381";"ASV_395";"ASV_402";"ASV_426";"ASV_442";"ASV_456";"ASV_460";"ASV_464";"ASV_497";"ASV_512";"ASV_564";"ASV_569";"ASV_634";"ASV_647";"ASV_675";"ASV_680";"ASV_711";"ASV_723";"ASV_768";"ASV_811";"ASV_833";"ASV_837";"ASV_866";"ASV_884";"ASV_906";"ASV_919";"ASV_1080";"ASV_1113";"ASV_1188";"ASV_1189";"ASV_1269";"ASV_1286";"ASV_1333";"ASV_1401";"ASV_1402";"ASV_1461";"ASV_1504";"ASV_1589";"ASV_1795";"ASV_1965";"ASV_2582";"ASV_3699"
"P4F18";5218;4002;3678;2281;1034;856;811;809;553;423;630;0;188;603;448;227;378;403;346;141;106;131;0;235;145;0;160;252;68;192;0;0;218;172;81;34;194;144;854;0;69;39;121;204;68;89;71;47;32;623;144;0;35;113;45;135;45;30;41;0;121;113;37;0;0;0;102;79;38;0;0;0;0;0;0;68;26;0;18;0;0;29;13;21;0;0;0;0;23;0;0;0;18;18;0;0;0;7;0;15;8;0;0;10;7;0;0;0
"Q1A17";125;0;0;27;24;0;17;16;21;10;0;80;127;0;0;0;0;0;0;80;0;117;75;0;0;22;0;0;0;0;88;0;0;0;0;0;20;0;0;93;0;0;0;18;0;0;0;0;0;38;0;0;0;0;146;88;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
"Q1F18";113;0;0;0;0;0;11;0;0;0;0;161;0;0;0;0;0;0;0;72;0;40;129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;78;0;3;0;0;0;0;0;0;1;52;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
"Q2A17";653;481;477;317;93;89;98;57;44;0;29;40;122;50;50;37;0;30;0;91;0;77;35;0;32;125;14;33;0;0;50;0;0;0;0;0;0;0;123;0;29;51;0;0;63;0;0;0;0;0;12;0;0;37;0;0;11;6;0;0;0;0;0;31;0;58;7;25;7;0;0;0;0;0;38;0;0;7;0;0;0;0;0;0;0;0;53;0;8;0;0;0;12;9;0;0;1;0;0;0;21;1;0;7;0;0;0;0
"Q2F18";1160;980;878;562;40;30;35;19;67;92;0;70;104;0;0;62;86;0;54;87;89;81;55;23;48;48;50;0;0;21;0;0;0;12;0;0;24;47;0;0;0;0;38;0;0;40;0;45;0;0;0;0;21;0;69;0;0;0;0;0;0;0;18;0;57;65;0;0;0;0;160;0;0;218;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0
"Q3A17";425;341;327;197;0;0;110;61;68;11;0;43;192;0;0;24;0;0;0;138;0;117;32;0;17;129;21;62;17;0;0;0;0;0;0;0;0;0;62;0;0;39;0;44;0;0;0;0;0;0;0;0;0;0;0;50;0;9;0;0;0;0;0;33;130;43;0;0;0;45;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;101;0;0;0;0;0;0;0;0;0;13;0;0;0;6;10;0;0;0;0;0;0
"Q3F18";1463;1206;1111;686;75;44;91;0;0;79;44;110;850;17;56;87;41;15;88;667;109;677;90;71;65;56;46;45;56;58;24;0;34;67;0;0;25;73;36;0;0;27;66;0;0;52;0;36;11;0;0;16;7;0;190;0;6;8;5;0;0;0;6;0;172;159;0;0;6;0;140;12;0;100;0;0;14;0;8;0;0;0;6;0;0;35;0;0;0;0;0;0;0;0;0;0;12;0;0;0;13;0;0;0;0;0;0;0
"Q3A18";3233;2450;2244;1463;838;604;540;155;713;406;142;0;238;103;525;257;315;510;322;220;100;207;0;63;185;120;181;62;82;0;0;0;63;0;80;0;49;0;0;0;52;75;0;198;49;0;87;0;50;0;131;311;47;139;0;51;90;43;71;0;103;0;67;0;18;73;42;34;43;58;0;0;0;0;52;57;0;0;0;0;0;71;0;88;15;0;0;0;3;69;50;10;7;7;12;6;0;18;4;11;0;6;10;5;0;8;0;6
"Q4A17";447;324;293;257;120;0;0;18;25;0;27;48;70;12;50;0;20;12;0;64;0;43;0;0;0;99;0;61;34;0;0;0;0;0;0;0;0;0;49;0;0;37;0;52;0;0;0;0;0;41;0;0;0;0;42;29;5;13;0;0;0;0;0;31;0;0;0;0;1;86;0;0;0;0;63;0;0;0;0;0;78;17;0;0;0;0;102;0;4;0;0;0;2;7;0;0;0;0;0;0;3;18;0;0;9;0;0;0
"Q4F18";256;183;178;102;64;0;0;0;0;54;0;190;102;0;0;0;0;0;0;55;0;111;125;54;0;0;0;0;0;29;14;0;34;0;16;16;0;85;0;0;0;0;37;0;0;0;0;0;19;0;0;0;0;0;107;0;0;0;0;15;0;0;0;10;0;0;0;0;0;0;79;0;56;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
"Q4A18";6084;4675;4246;2947;1225;981;879;275;774;291;251;0;148;206;639;402;244;639;229;121;93;104;0;0;267;0;249;3;127;0;0;38;3;0;142;87;4;31;0;0;87;95;0;66;84;0;0;0;76;0;52;69;66;50;0;73;21;57;13;0;81;80;11;0;14;0;0;0;8;81;0;0;0;0;0;56;0;0;0;114;0;0;0;0;0;0;0;29;10;22;0;0;11;6;0;0;0;26;0;0;0;0;0;1;0;0;0;0
"L1A17";4408;3380;3145;2046;835;628;603;309;245;136;274;0;127;215;213;250;116;202;110;73;0;98;0;16;178;20;166;13;86;0;196;0;0;0;0;0;0;0;0;137;46;63;0;10;43;0;0;0;0;27;5;0;0;9;0;37;9;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;7;6;0;0;0;0;0;0;0;0;0;3;9;0;0;0
"L1F18";476;387;332;220;95;0;0;61;35;291;0;0;114;0;0;42;235;0;211;59;0;0;0;0;18;0;15;21;45;45;1570;0;0;0;0;0;0;0;0;1240;0;0;0;2;37;0;14;0;0;0;0;0;0;4;14;13;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;0;0;0;0;89;0;0;0;0;0;0;46;157;0;0;0;3;6;0;0;0;0;0;5;0;0;0;0;0;0;0;0;11;0;4
"L1A18";3791;3113;2895;2018;775;578;585;113;143;580;74;0;143;84;122;119;441;107;407;104;2215;111;0;65;125;0;100;0;110;37;0;0;0;37;0;0;0;34;138;0;83;0;32;0;86;29;0;0;0;89;0;0;0;0;94;0;0;0;0;0;0;0;0;0;71;60;0;0;0;0;0;0;0;0;48;0;67;0;42;0;0;0;41;0;0;0;0;0;3;0;0;0;1;7;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"L2A17";3552;2802;2653;1656;720;510;512;244;202;115;212;0;202;143;178;166;0;140;0;166;0;158;0;0;124;0;107;10;157;0;1213;0;0;0;0;44;0;0;119;1008;131;42;0;37;105;0;15;0;0;91;10;0;0;26;0;25;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
"L2F18";3914;3074;2880;1782;412;316;287;265;131;1453;186;70;215;174;96;212;1238;81;1094;178;1365;165;61;39;216;0;195;24;86;39;98;0;21;25;90;0;30;40;0;73;76;2;47;16;51;26;0;0;5;25;14;0;2;6;51;0;29;2;28;18;0;9;23;0;74;45;0;0;26;0;63;0;144;39;0;0;0;116;0;0;0;0;0;0;40;39;0;42;12;0;0;0;8;8;0;43;0;42;25;0;0;0;24;3;3;0;6;0
"L2A18";5171;4028;3807;2712;1506;1056;1073;306;239;257;237;0;346;240;221;379;203;191;165;297;58;300;0;65;292;0;266;0;92;0;0;0;0;0;0;0;0;0;124;0;69;0;0;0;53;0;0;29;38;0;0;0;79;0;61;0;0;0;0;0;0;0;0;0;61;67;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;7;4;0;0;2;0;0;0;0;0;0;5;0;0;0;0
"L3A17";4164;3167;3045;2031;1111;822;794;289;263;0;286;0;115;236;232;199;78;176;0;93;0;85;0;0;159;0;166;0;150;0;419;0;0;0;0;24;0;0;127;354;107;46;0;10;114;0;0;0;0;0;9;0;0;6;44;12;7;0;0;0;0;0;0;17;0;0;13;11;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;18;0;0;0;8;9;0;0;0;0;0;0;13;0;0;5;0;0;0;0
"L3F18";1882;1435;1313;776;191;127;131;93;60;389;67;0;74;62;30;98;254;32;258;46;0;49;35;35;71;15;92;28;25;0;92;0;0;0;38;0;19;28;12;56;31;0;0;3;22;0;0;0;0;0;5;0;0;3;0;0;23;0;0;14;19;13;15;0;59;21;0;9;7;0;33;0;75;0;0;0;0;40;0;0;0;0;0;0;30;0;0;0;8;0;0;0;1;1;0;0;0;15;9;0;0;0;8;1;0;0;0;0
"L3A18";5948;4694;4311;3192;1537;1142;1113;174;294;746;139;0;166;151;253;182;567;210;516;138;1020;131;26;94;140;97;137;0;98;62;0;76;0;85;0;76;0;0;68;0;121;98;0;0;115;0;0;0;87;49;0;98;76;0;8;0;0;84;0;0;100;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;10;144;0;33;3;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"L4A17";4720;3709;3487;2376;970;806;711;361;287;139;241;0;67;256;221;220;0;241;0;39;0;52;0;0;171;0;158;9;92;0;1013;21;0;0;0;0;0;0;0;783;72;26;0;9;52;0;0;0;0;88;7;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;5;8;5;0;0;0;0;0;0;0;0;0;0;9;0;0;0
"L4F18";4557;3607;3293;2130;558;397;411;361;233;431;278;57;129;253;211;271;293;147;324;138;0;151;40;0;175;61;197;98;84;46;219;0;84;15;45;0;85;0;0;189;68;2;33;10;53;9;0;0;4;0;12;0;7;9;39;19;46;1;40;15;29;0;40;0;0;0;0;0;33;0;0;22;0;0;15;0;0;0;0;15;7;0;0;19;34;0;0;0;2;0;0;42;4;1;15;14;0;7;25;0;0;9;18;3;0;0;0;0
"L4A18";6526;4970;4699;3081;1625;1364;1187;199;168;505;159;35;331;126;137;345;446;95;418;253;0;242;0;0;293;56;236;0;77;28;0;0;0;0;32;0;0;0;62;0;76;0;0;12;73;0;0;0;0;36;18;84;0;7;112;0;0;0;0;0;0;0;0;0;77;78;0;0;0;25;0;0;0;0;0;19;0;0;0;0;0;26;0;34;0;0;0;0;12;8;0;0;6;2;0;0;10;0;0;9;0;0;0;3;0;0;0;0
