"";"ASV_1";"ASV_3";"ASV_6";"ASV_8";"ASV_13";"ASV_16";"ASV_17";"ASV_21";"ASV_23";"ASV_25";"ASV_29";"ASV_30";"ASV_32";"ASV_34";"ASV_35";"ASV_36";"ASV_37";"ASV_38";"ASV_39";"ASV_41";"ASV_42";"ASV_44";"ASV_45";"ASV_48";"ASV_50";"ASV_51";"ASV_53";"ASV_56";"ASV_63";"ASV_64";"ASV_66";"ASV_71";"ASV_72";"ASV_73";"ASV_77";"ASV_82";"ASV_83";"ASV_85";"ASV_86";"ASV_89";"ASV_97";"ASV_101";"ASV_102";"ASV_104";"ASV_107";"ASV_120";"ASV_121";"ASV_127";"ASV_133";"ASV_136";"ASV_142";"ASV_143";"ASV_145";"ASV_147";"ASV_189";"ASV_206";"ASV_211";"ASV_223";"ASV_261";"ASV_270";"ASV_273";"ASV_277";"ASV_278";"ASV_312";"ASV_332";"ASV_356";"ASV_381";"ASV_395";"ASV_402";"ASV_426";"ASV_442";"ASV_456";"ASV_460";"ASV_464";"ASV_497";"ASV_512";"ASV_564";"ASV_569";"ASV_634";"ASV_647";"ASV_675";"ASV_680";"ASV_711";"ASV_723";"ASV_768";"ASV_811";"ASV_833";"ASV_837";"ASV_866";"ASV_884";"ASV_906";"ASV_919";"ASV_1080";"ASV_1113";"ASV_1188";"ASV_1189";"ASV_1269";"ASV_1286";"ASV_1333";"ASV_1401";"ASV_1402";"ASV_1461";"ASV_1504";"ASV_1589";"ASV_1795";"ASV_1965";"ASV_2582";"ASV_3699"
"C4F18";0;32;63;0;0;0;57;262;5;0;206;2755;0;181;0;0;0;1;0;0;89;0;2058;35;0;223;0;0;48;20;14;196;25;31;197;186;0;22;36;0;42;0;20;4;37;36;137;175;0;0;3;0;0;5;0;0;0;0;0;0;0;22;0;88;0;0;0;0;0;0;130;66;0;81;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;12;0;0;0;11;3;0;0;0;0;0;0;0;0;0;6;0
"C4A18";789;692;588;370;866;742;627;146;315;71;107;31;152;80;213;37;0;199;0;93;0;123;0;169;29;166;14;964;182;123;0;119;726;116;0;101;756;260;0;0;137;939;198;191;104;194;0;0;720;0;155;150;656;146;0;47;279;461;258;9;86;24;188;30;68;0;0;0;153;0;0;29;0;0;40;0;14;16;16;38;90;0;10;0;0;0;7;37;0;0;48;0;0;0;9;0;15;0;0;0;0;3;0;0;0;0;0;0
"F1A17";556;449;449;323;161;119;124;461;95;0;328;0;507;365;77;28;0;65;0;340;0;399;0;0;28;280;13;78;716;0;0;233;0;0;57;190;0;0;0;23;587;15;0;48;503;0;0;0;0;22;40;67;0;48;100;0;2;0;0;0;0;0;0;0;73;67;0;0;0;0;0;0;0;0;0;0;0;0;0;17;43;0;0;3;0;16;0;0;7;0;27;0;9;7;0;0;0;0;0;0;0;1;0;7;0;1;0;1
"F1F18";253;179;201;98;0;0;37;61;20;0;0;109;118;0;0;0;0;0;9;0;0;0;81;54;0;0;0;30;43;38;96;74;0;25;109;0;0;16;0;56;0;0;15;19;0;13;86;91;0;0;0;0;0;0;0;106;0;0;0;19;0;26;0;171;19;0;0;48;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;36;32;0;0;5;9;0;16;0;0;0;0;1;11;0;0;0;0;0;0;0;9;6;9
"F1A18";2791;2033;1895;1279;372;308;227;66;115;911;43;0;299;57;102;108;737;76;667;241;0;208;0;1019;87;0;86;57;197;715;0;42;57;768;173;0;48;388;0;0;131;48;328;141;113;291;166;162;44;35;109;23;39;99;27;0;22;26;35;395;29;125;27;0;0;31;0;0;12;24;0;48;0;0;0;0;86;15;93;33;9;0;74;33;1;0;11;0;4;5;0;33;7;3;0;4;0;14;1;0;0;0;1;4;8;0;0;0
"F2A17";679;488;509;313;195;186;209;645;138;67;492;0;193;380;107;32;89;109;76;124;0;178;0;38;18;234;26;92;213;0;0;178;58;0;291;185;83;26;46;56;136;7;0;84;161;0;220;227;12;0;83;17;6;59;46;0;1;10;2;26;0;0;1;0;0;0;0;0;2;0;0;0;0;0;26;0;0;0;0;59;0;0;0;0;7;0;0;0;11;0;0;0;11;3;0;1;3;17;2;0;0;2;2;2;0;0;0;0
"F2F18";670;538;507;375;36;73;50;37;36;0;34;17;85;20;36;32;0;20;0;80;0;42;9;121;20;75;17;77;12;62;101;0;0;82;193;0;0;41;38;65;10;0;38;17;21;30;119;121;0;0;15;0;0;34;0;51;3;0;0;0;0;56;0;82;0;27;77;94;1;0;0;110;0;35;0;0;14;0;7;0;20;0;5;0;41;41;0;0;7;17;0;8;2;0;0;0;0;0;0;0;7;28;5;0;0;9;4;0
"F2A18";6341;4774;4374;2980;948;707;667;135;239;291;96;0;233;99;171;252;210;165;168;174;0;172;0;354;222;48;182;194;132;246;0;0;162;268;37;0;149;123;42;0;85;136;102;153;89;87;46;73;88;0;97;42;100;106;58;0;80;65;55;99;0;37;68;0;0;0;0;0;56;52;0;73;0;0;49;0;33;0;42;0;29;0;18;30;1;0;12;0;8;0;20;0;3;5;12;3;0;0;0;2;15;26;2;2;0;0;0;0
"F3A17";368;286;235;155;82;53;61;231;52;115;231;0;73;190;42;0;80;32;80;0;0;49;0;0;0;92;0;0;82;56;0;58;35;0;180;56;24;0;0;0;68;0;0;27;58;0;128;119;18;0;25;0;3;24;18;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;4;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"F3F18";1119;948;851;517;165;104;117;69;75;16;52;12;382;48;61;51;0;55;0;344;23;308;7;43;55;64;37;68;110;38;229;90;50;28;156;37;65;12;49;176;64;11;14;65;54;15;113;123;17;0;72;0;13;54;0;197;10;7;2;22;0;39;11;31;66;22;187;153;6;0;23;134;0;30;0;0;17;0;4;0;56;0;9;0;28;0;0;0;7;0;0;18;3;7;0;16;0;0;15;0;7;1;12;1;0;0;7;0
