"";"TARA109";"TARA102";"TARA076";"TARA078";"TARA082";"TARA007";"TARA011";"TARA022";"TARA025";"TARA026";"TARA030";"TARA031";"TARA032";"TARA067";"TARA066";"TARA065";"TARA064";"TARA052";"TARA036";"TARA041";"TARA042";"Total";"Color"
"Ochrophyta";1144;23110;20292;40995;170186;49697;20673;16615;40498;39037;15650;23690;11483;137619;44557;19033;44827;39528;22245;20282;35146;836307;"#481D6F"
"Haptophyta";52;1506;7540;6536;25180;20110;5563;4483;17415;21433;4375;7829;9042;6195;5487;2545;10604;9665;18226;12537;15526;211849;"#453781"
"Chlorophyta";622;4061;1674;7063;2072;1031;830;1083;3582;1925;398;20108;3239;7424;20599;7509;16904;28073;2066;2023;3343;135629;"#56C667"
"Cryptophyta";32;527;294;1963;229;596;1357;2209;12273;5744;641;10820;2425;15976;29285;8714;7990;6111;4477;1693;3556;116912;"#32648E"
"Katablepharidophyta";8;260;78;686;49;1428;591;867;2478;2440;162;16;147;2535;1134;42;279;93;300;0;7;13600;"#20A386"
"Rhodophyta";37;20;12;0;0;0;181;92;1706;867;231;600;69;0;167;81;311;19;0;0;3;4396;"#32B67A"
