"";"dada2_input";"filtered";"dada_Fw";"dada_Rv";"merged";"nonchim";"final_perc_reads_retained"
"S001";47953;39713;39122;39350;37369;37042;77,2
"S002";44996;39542;38743;39088;37723;37416;83,2
"S003";14484;12304;11765;12008;11335;11299;78
"S004";45578;36973;35763;36231;33868;33530;73,6
"S005";42315;33613;32983;33263;31574;31494;74,4
"S006";39124;29038;28644;28735;27620;27302;69,8
"S007";35469;28095;27829;27826;26889;26514;74,8
