"";"input";"filtered";"denoisedFws";"denoisedRvs";"merged";"nochim"
"S001";47953;37326;36662;36888;34966;34641
"S002";44996;37838;37022;37271;35810;35442
"S003";14484;11595;11107;11243;10595;10581
"S004";45578;34559;33372;33789;31685;31372
"S005";42315;31343;30674;30920;29439;29362
"S006";39124;27409;27024;27146;26006;25760
"S007";35469;26014;25755;25820;24967;24639
