Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
JC+G+I,461,31276.5913458512,26987.2119889446,-13029.9974873258,0.235294034410811,0.797867747100342,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,460,31303.7999072205,27023.7137294876,-13049.2596816452,n/a,0.458403883311022,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR+I,468,32444.6252760228,28090.1950522779,-13574.4090569687,0.285161792959343,n/a,1.2340662223345,0.248200606496085,0.304928694084836,0.168394003239517,0.278476696179562,0.05,0.03,0.13,0.04,0.12,0.06,0.05,0.21,0.08,0.11,0.07,0.05
TN93+I,465,32467.801198062,28141.2496199344,-13602.9707588924,0.287675415657657,n/a,1.16838819483465,0.248200606496085,0.304928694084836,0.168394003239517,0.278476696179562,0.07,0.04,0.1,0.06,0.13,0.06,0.06,0.23,0.06,0.09,0.07,0.04
HKY+I,464,32490.5820648615,28173.3234677145,-13620.0191059269,0.288618064296759,n/a,1.24823117029754,0.248200606496085,0.304928694084836,0.168394003239517,0.278476696179562,0.07,0.04,0.16,0.05,0.09,0.06,0.05,0.17,0.06,0.14,0.07,0.04
T92+I,462,32518.5755174387,28219.9030309039,-13645.3316594849,0.287190502200758,n/a,1.22884033300553,0.27656465029046,0.27656465029046,0.22343534970954,0.22343534970954,0.06,0.05,0.12,0.06,0.12,0.05,0.06,0.15,0.05,0.15,0.06,0.05
K2+I,461,32592.7027334599,28303.3233765533,-13688.0531811302,0.287791854894018,n/a,1.23541623669775,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC+I,460,33068.3244753541,28788.2382976212,-13931.521965712,0.287126657078759,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,467,34021.5435400363,29676.406148608,-14368.5261026101,n/a,n/a,1.21876718401681,0.248200606496085,0.304928694084836,0.168394003239517,0.278476696179562,0.05,0.03,0.11,0.04,0.13,0.06,0.05,0.23,0.09,0.1,0.07,0.05
TN93,464,34051.7487071319,29734.4901099848,-14400.6024270621,n/a,n/a,1.21977569973131,0.248200606496085,0.304928694084836,0.168394003239517,0.278476696179562,0.07,0.04,0.11,0.05,0.13,0.06,0.05,0.23,0.06,0.1,0.07,0.04
HKY,463,34192.575540678,29884.6099740624,-14476.6737574698,n/a,n/a,1.21155687656869,0.248200606496085,0.304928694084836,0.168394003239517,0.278476696179562,0.07,0.04,0.15,0.06,0.09,0.06,0.06,0.17,0.06,0.14,0.07,0.04
T92,461,34212.9183734455,29923.5390165389,-14498.161001123,n/a,n/a,1.20709178807912,0.27656465029046,0.27656465029046,0.22343534970954,0.22343534970954,0.06,0.05,0.12,0.06,0.12,0.05,0.06,0.15,0.05,0.15,0.06,0.05
K2,460,34309.4323083991,30029.3461306662,-14552.0758822345,n/a,n/a,1.20266332935899,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC,459,34774.1569842314,30503.3640352159,-14790.0961337854,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
