Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,466,30652.6186282983,26316.774118743,-12689.7215603759,0.212378732355276,0.729917929748451,1.31865083489401,0.248200606496085,0.304928694084836,0.168394003239517,0.278476696179562,0.06,0.04,0.12,0.05,0.13,0.06,0.05,0.23,0.06,0.11,0.06,0.04
TN93+G,465,30673.0095619914,26346.4579838638,-12705.5749408571,n/a,0.459229738773612,1.32841533490589,0.248200606496085,0.304928694084836,0.168394003239517,0.278476696179562,0.06,0.03,0.12,0.05,0.13,0.06,0.05,0.23,0.06,0.11,0.06,0.03
GTR+G+I,469,30685.1149056103,26321.3918991072,-12688.9959581277,0.212687350294367,0.72982215068615,1.31347265630836,0.248200606496085,0.304928694084836,0.168394003239517,0.278476696179562,0.07,0.03,0.12,0.05,0.13,0.06,0.05,0.23,0.06,0.11,0.06,0.04
GTR+G,468,30706.10928405,26351.6790603052,-12705.1510609823,n/a,0.458619380229944,1.32288376583251,0.248200606496085,0.304928694084836,0.168394003239517,0.278476696179562,0.07,0.03,0.12,0.05,0.13,0.06,0.05,0.23,0.06,0.11,0.06,0.04
HKY+G+I,465,30710.4928607611,26383.9412826335,-12724.316590242,0.219843355541731,0.734388842472081,1.34642482748453,0.248200606496085,0.304928694084836,0.168394003239517,0.278476696179562,0.06,0.04,0.16,0.05,0.1,0.06,0.05,0.18,0.06,0.14,0.06,0.04
HKY+G,464,30735.269868303,26418.0112711559,-12742.3630076476,n/a,0.457117457467692,1.35135658555045,0.248200606496085,0.304928694084836,0.168394003239517,0.278476696179562,0.06,0.04,0.16,0.05,0.1,0.06,0.05,0.18,0.06,0.14,0.06,0.04
T92+G+I,463,30758.670308746,26450.7047421305,-12759.7211415038,0.232386179826506,0.782008775610318,1.3141218125674,0.27656465029046,0.27656465029046,0.22343534970954,0.22343534970954,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.16,0.05,0.16,0.06,0.05
K2+G+I,462,30763.0747282914,26464.4022417566,-12767.5812649112,0.2381589849518,0.786777173254011,1.36096804219981,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92+G,462,30788.7037101941,26490.0312236593,-12780.3957558626,n/a,0.463107389289566,1.31715332874279,0.27656465029046,0.27656465029046,0.22343534970954,0.22343534970954,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.16,0.05,0.16,0.06,0.05
K2+G,461,30792.3158984529,26502.9365415462,-12787.8597636267,n/a,0.452280049676969,1.36034439762094,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
