"";"Coscinodiscophyceae";"Pelagophyceae";"Phaeophyceae";"Mediophyceae";"Sagenista";"Peronosporomycetes";"Opalozoa";"Chrysophyceae";"Gyrista_X";"Bolidophyceae";"Bacillariophyceae";"Dictyochophyceae";"Bicoecea";"Stramenopiles_NA";"Pirsoniales";"MOCH-3";"MOCH-5";"Stramenopiles_XX";"MOCH-2";"MOCH-1";"Xanthophyceae";"Stramenopiles_X-Group-2";"MOCH-4";"Developea"
"F1F18";22163;66;152;3019;1968;12;268;292;67;23;6;107;141;0;0;0;0;0;0;0;0;3;0;0
"F1A18";16;568;0;350;781;0;158;354;74;62;30;161;0;45;0;42;29;0;0;0;0;0;0;0
"F2A17";0;286;54;180;1396;0;1408;389;171;272;26;223;485;0;0;0;0;33;0;152;0;0;0;0
"F2F18";12325;104;166;2261;2840;4;425;888;130;95;51;148;397;17;0;0;0;0;0;0;0;16;0;0
"F2A18";0;1212;0;218;2171;0;287;852;91;193;35;123;0;0;0;0;0;7;0;0;0;0;0;0
"F3A17";0;85;0;29;386;0;519;79;76;43;0;75;0;5;0;0;0;5;0;27;0;0;0;0
"F3F18";2565;364;594;334;5393;19;1080;1895;278;281;44;399;496;13;0;0;0;24;0;0;0;35;0;0
"F3A18";7;308;17;208;686;0;54;196;45;21;0;61;6;0;0;50;26;0;0;0;0;0;0;0
"F4A17";0;34;22;44;301;0;181;8;16;17;0;0;0;0;0;0;0;0;0;15;0;0;0;0
"F4F18";2541;394;351;330;5464;14;882;1697;350;303;41;453;499;0;9;0;0;6;0;0;0;23;0;0
"F4A18";43;777;0;266;1174;0;298;928;130;86;20;252;25;86;0;28;0;0;15;0;0;0;0;0
"H1A17";0;239;466;251;1360;13;1101;148;182;133;20;145;0;0;0;28;0;0;42;60;0;0;0;0
"H1F18";60;250;177;276;1341;21;268;306;101;98;124;261;86;0;0;46;0;0;0;14;0;0;0;0
"H1A18";0;1659;257;206;1852;5;450;282;170;156;19;199;7;91;0;110;0;0;0;0;0;0;0;0
"H2A17";0;208;24;79;1277;0;712;113;135;200;0;109;349;0;15;32;0;0;15;38;0;0;0;0
"H2F18";19;218;42;300;1939;0;228;369;195;100;127;321;45;0;0;29;0;0;0;0;0;0;0;0
"H2A18";0;1946;339;203;1520;0;351;306;176;92;8;203;11;170;0;90;0;10;0;0;0;0;0;0
