;Mamiellophyceae;Trebouxiophyceae;Chlorodendrophyceae;Chloropicophyceae;Pyramimonadophyceae;Ulvophyceae;Chlorophyta_NA;Prasino-Clade-9;Chlorophyceae;Nephroselmidophyceae;Prasino-Clade-VIII;Coscinodiscophyceae;Pelagophyceae;Phaeophyceae;Mediophyceae;Sagenista;Peronosporomycetes;Opalozoa;Chrysophyceae;Gyrista_X;Bolidophyceae;Bacillariophyceae;Dictyochophyceae;Bicoecea;Stramenopiles_NA;Pirsoniales;MOCH-3;MOCH-5;Stramenopiles_XX;MOCH-2;MOCH-1;Xanthophyceae;Stramenopiles_X-Group-2;MOCH-4;Developea;Prymnesiophyceae;Haptophyta_Clade_HAP3;Haptophyta_Clade_HAP5;Haptophyta_Clade_HAP4;Cryptophyceae;Cryptophyceae:nucl;Kathablepharidea;Florideophyceae;Bangiophyceae
H2F18;35148;131;562;317;294;43;0;0;0;0;0;19;218;42;300;1939;0;228;369;195;100;127;321;45;0;0;29;0;0;0;0;0;0;0;0;439;0;0;0;1367;335;217;38;0
H2A18;28702;95;0;518;78;58;0;0;0;0;0;0;1946;339;203;1520;0;351;306;176;92;8;203;11;170;0;90;0;10;0;0;0;0;0;0;512;11;0;0;1657;271;28;173;0
H3A17;24203;129;16;76;129;1379;32;0;0;0;0;0;420;759;75;1623;20;523;140;349;55;0;87;7;13;0;30;0;0;29;45;0;0;0;0;1004;0;0;0;1537;97;0;63;0
H3F18;49685;176;286;349;432;0;0;0;0;0;0;26;241;0;660;1923;0;133;313;127;177;104;269;58;0;0;62;0;11;0;21;0;0;0;0;630;0;0;0;1422;330;193;7;0
H3A18;26572;108;0;757;102;0;0;0;0;0;0;21;1245;140;188;1186;0;200;288;156;36;7;134;0;82;0;52;0;0;14;0;0;0;16;0;338;10;0;11;1596;81;52;65;0
H4A17;21927;115;0;115;208;6075;408;0;0;0;0;0;782;2445;18;1011;13;275;95;229;83;171;109;22;0;0;47;0;0;51;39;0;0;0;0;1226;7;0;0;1608;76;0;105;12
H4F18;43774;185;228;297;339;13;0;0;0;0;0;2;236;12;569;2293;0;86;454;71;161;94;268;31;0;0;26;0;8;0;17;0;0;0;0;437;0;0;0;1019;189;127;2;0
H4A18;29389;374;0;3764;184;0;0;0;0;0;0;19;4014;38;185;1930;0;351;376;222;174;7;277;5;67;0;37;0;0;62;18;0;0;0;0;857;22;0;0;2284;231;15;62;0
P1F18;22037;2082;15;2050;110;0;0;0;0;0;0;28;1244;203;1686;460;0;47;122;62;44;52;77;0;7;0;19;0;0;0;0;0;0;0;0;102;0;0;0;1120;157;260;11;0
P1A18;1922;1253;145;411;486;81;0;0;0;0;16;1174;203;290;13440;1849;279;1383;845;132;260;300;36;197;56;85;22;0;0;0;0;0;0;0;0;335;3;0;0;407;72;38;2682;0
P2F18;20527;1869;858;1365;318;0;0;0;0;0;0;1;1172;0;1453;641;0;203;250;177;46;67;146;92;7;0;33;0;0;0;0;0;0;0;0;317;0;0;0;1987;244;389;0;0
P3F18;16147;682;13122;584;203;0;0;0;0;0;0;3;849;0;2386;626;0;184;109;222;17;121;106;424;0;0;16;0;0;0;0;0;0;0;0;268;0;0;0;2092;258;178;0;0
P4F18;22562;1147;256;1320;203;0;0;0;0;0;0;56;1017;0;2223;892;0;177;166;149;23;90;119;0;0;0;0;0;9;0;0;0;0;0;0;164;0;0;0;1265;224;406;0;0
Q1A17;234;10;0;0;42;0;0;0;0;0;0;672;20;273;6152;240;631;1157;254;125;0;215;41;9;56;57;0;0;3;15;6;0;0;0;0;50;9;0;0;523;0;102;532;0
Q1F18;124;0;153;27;0;11;0;0;0;0;0;522;3;0;2;164;0;40;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;276;81;0;13;0
Q2A17;2650;0;7;0;333;0;11;0;0;0;0;2195;108;50;4169;2321;2782;2431;936;123;120;48;70;35;242;74;0;0;0;41;0;0;0;0;0;360;11;0;0;489;0;79;13;0
Q2F18;3948;232;352;226;87;0;0;0;0;0;0;294;63;0;112;1226;14;691;26;0;67;556;0;14;0;0;9;13;0;0;0;0;6;0;0;91;0;0;0;704;653;16;0;0
Q3A17;1781;11;0;0;9;0;0;0;0;0;0;1881;110;0;4467;3094;2977;2109;671;172;167;41;12;11;340;53;0;0;0;57;0;0;0;0;0;478;8;0;0;710;0;106;0;0
