;Unique;Shared;Rest
Chanaral;34712;417288;210310
Flamenco;13035;429096;210984
Huasco;24633;570205;141229
Pta.Choros;9841;204283;70802
Quintero;57215;400344;127757
LasCruces;60214;444399;181930
