"";"Chlorophyta";"Fungi";"Dinoflagellata";"Ochrophyta";"Ciliophora";"Metazoa";"Sagenista";"Cryptophyta";"Opalozoa";"Picozoa";"Haptophyta";"Rhodophyta";"Pseudofungi";"Cercozoa";"Stramenopiles_X";"Katablepharidophyta";"Telonemia";"Streptophyta";"Prasinodermophyta";"Choanoflagellida";"Apicomplexa";"Centroheliozoa";"Conosa";"Radiolaria";"Mesomycetozoa";"Lobosa";"Apusomonadidae";"Alveolata_X";"Metamonada";"Hilomonadea";"Chrompodellids";"Foraminifera";"Perkinsea";"Opisthokonta_X"
"P1F18";0,473313772433532;0,124439724227314;0,143034579590661;0,0626788832286285;0,147174770039422;0,00496822853851277;0,00828038089752129;0,0229870574046406;0,000846038917790218;0,001404064586971;0,00183608445988515;0,000198009108418987;0,00111605133836156;0,000774035605637859;0;0,00468021528990334;0,000828038089752129;0;0,000396018216837975;0,000612028153295052;0;0;0;0;0;0;0,000342015732723705;0;0;9,00041401904488e-05;0;0;0;0
"P1A18";0,0745502618072477;0,181104947552145;0,169284739143208;0,286190747749149;0,0429605820242971;0,0887898111185995;0,0323327630601206;0,00827760208754558;0,0273039901843883;0,00727530371368829;0,00584098017868561;0,0463476592876769;0,00857137919712444;0,00660134446230148;0,000155529058012339;0,000656678244940985;0,00136519950921942;0;0,0054953600497693;0,00542623602398604;0,000743083277170062;0;0;0;0,000397463148253754;0;0,000328339122470493;0;0;0;0;0;0;0
"P2F18";0,471800208116545;0,0640809762557941;0,208040866521616;0,0600700028379529;0,103282565509413;0,00281903320404881;0,0121275186831899;0,0422098193169993;0,00558130735029798;0,00370825844290985;0,00599754044082868;0;0,00334878441017879;0,0025163182291174;0;0,00735975782802006;0,00244063948538454;0,000813546495128181;0,00107842209819317;0,00206224576672027;0;0;0;0;0;0;0,000662189007662473;0;0;0;0;0;0;0
"P3F18";0,52625451557123;0,0342755397284665;0,160095190809635;0,0617541817185708;0,135013439709634;0,00104435960211611;0,0107175264086014;0,0402335256552928;0,0104093547227311;0,00311595815713332;0,00458833398962489;0;0,00380078412573405;0,00116420414662124;0;0,00304747556027325;0,00261945932989779;0;0,000958756356041021;0,000907394408395966;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P4F18";0,423592760632198;0,0558076149640192;0,22979508401057;0,0613917003207525;0,165661198916422;0,000349005334795832;0,0148244170779944;0,0247461401671902;0,00294161639327915;0,00350667264961526;0,00272556547173888;0;0,00247627594688471;0,00116335111598611;0,000149573714912499;0,00674743647271942;0,00132954413255555;0;0,00154559505409583;0,00106363530604444;0;0;0;0;0;0;0;0;0;0;0;0,000182812318226388;0;0
"Q1A17";0,00562372188139059;0,221370143149284;0,117390278433223;0,0658722667925122;0,057672644329086;0,352308478842221;0,0047192071731949;0,0102839389649206;0,0229274815164386;0,00627261286770489;0,00116013843007708;0,0104609092339154;0,0159863142991977;0,0177166902627025;0,084572125216297;0,00200566304860783;0,000393267264432909;0;0,000137643542551518;0,00206465313827277;0,000275287085103036;0;0;0,00047192071731949;0;0;0;0;0;0;0;0;0;0,000314613811546327
"Q1F18";0,00496156754032258;0,573919480846774;0,25927734375;0,00954511088709677;0,00192162298387097;0,125441028225806;0,00258316532258065;0,00562310987903226;0,000630040322580645;0,000346522177419355;0;0,00020476310483871;0;0,000708795362903226;0;0;3,15020161290323e-05;0,00069304435483871;0;0;0,013640372983871;0;0;0;0,000472530241935484;0;0;0;0;0;0;0;0;0
"Q2A17";0,0677656091227278;0,114259907417862;0,150276617364796;0,130044032968274;0,135802190357909;0,0578751270181777;0,0524105227503669;0,0110421135824771;0,0556847691091792;0,0735915095404765;0,00837755447668511;0,000293553121824546;0,0675397990290166;0,0250875014113131;0,0446652365360732;0,00178389974031839;0,000429039178051259;0;0,000451620187422378;0,00225810093711189;0;0;0;0;0;0;0,000361296149937902;0;0;0;0;0;0;0
"Q2F18";0,0646241263405005;0,769273862241904;0,0604358960678653;0,0152056767860001;0,0206210318518914;0,0101371178573334;0,0163527717014352;0,0181000907005282;0,00940351064397375;0,00161393586939124;0,00121378648028597;0;0,000186736381582457;0,00342794643333511;8,00298778210532e-05;0,000213413007522809;0;0,00140052286186843;0,000613562396628074;0;0,0056687830123246;0;0;0;0,0012538014191965;0,000173398068612282;0;0;0;0;0;0;0;0
"Q3A17";0,0400569382353595;0,104624007473143;0,0965725851293343;0,117323902938102;0,177620604523921;0,0333622472809768;0,0688151953915616;0,0157914637129957;0,0471519761571139;0,134761237516959;0,0108093681190365;0;0,0714619336758524;0,0284691176797669;0,0473966326371744;0,0023575988078557;0;0;0,000511554458308312;0,00209070082960788;0;0;0;0,000266897978247815;0;0;0,000289139476435133;0,000266897978247815;0;0;0;0;0;0
"Q3F18";0,0840465684971559;0,631000478443464;0,0558715645101271;0,0243607463718037;0,0178618893200787;0,104034873212482;0,0118946361171655;0,0465020466748179;0,00721652224762107;0,00550209983520281;0,00194035404816331;0,000186061347084153;0,000637924618574238;0,00470469406198501;0;0,000332252405507416;7,97405773217798e-05;0,000345542501727712;0,000677794907235128;0,000385412790388602;0,0015948115464356;0;0;0;0,000677794907235128;0;0;0;0;0;0;0,000146191058423263;0;0
"Q3A18";0,280699077841063;0,0213588283157038;0,316822620016273;0,103098725250881;0,135323433685924;0,0145273935448874;0,0175108489286683;0,0308007865473285;0,00394968809330079;0,00100013561160835;0,0180363439110388;0;0,00442432872253865;0,00352590181719555;0,00118660157309466;0,00432262001627339;0,00281394087333876;0,0356319500949281;0,000711960943856794;0,00300040683482506;0;0,00125440737727149;0;0;0;0;0;0;0;0;0;0;0;0
"Q4A17";0,0394545920109252;0,145015363605326;0,0894503243427791;0,0917548651416866;0,0572507681802663;0,0612837145783544;0,0809149880505292;0,00689228405599181;0,0605368726527825;0,174014168658245;0,0110745988391943;0,000170706725844998;0,0883620689655172;0,0295962785933766;0,0577842266985319;0,000896210310686241;0,00044810515534312;0;0,000917548651416866;0,00189911232502561;0;0;0;0,00151502219187436;8,53533629224991e-05;0;0,000234721748036873;0,000426766814612496;0;2,13383407306248e-05;0;0;0;0
"Q4F18";0,0206174602692273;0,808532620255857;0,0859947126925765;0,0156036342641831;0,00241575252970312;0,0143121942325808;0,0140994864626698;0,0122458901820171;0,0113342854538272;0,00258288006320459;0,0012762466194658;0,000197514357774469;0,00037983530341244;0,00457321705308578;0;0,000546962836913914;0;0,000167127533501474;0;0;0,00458841046522228;0,000106353884955483;0;0,000167127533501474;0,000258288006320459;0;0;0;0;0;0;0;0;0
"Q4A18";0,482687493388809;0,0167836112972039;0,219685483586615;0,0820669228870632;0,12161066252953;0,0139980959768696;0,00558866048446811;0,0180705898945735;0,00171009484855964;0,00521843376467685;0,0127816367546984;0;0,00544762173407144;0,00673460033144106;0;0,00128697859736963;0,000476005782588766;0,00202743203695215;0;0,00294418391453052;0;0;0,000458375938789182;0,000423116251190014;0;0;0;0;0;0;0;0;0;0
"L1A17";0,302658763759526;0,343234546994073;0,124606265876376;0,0283319220999153;0,0811346316680779;0,0781033022861981;0,00316680779000847;0,00958509737510584;0,00987298899237934;0,000220152413209145;0,000541913632514818;0,00604572396274344;0,000829805249788315;0,00533446232006774;0;0,002692633361558;5,08044030482642e-05;0,000474174428450466;0,000169348010160881;0,000355630821337849;0;0;0;0;8,46740050804403e-05;0;0,000203217612193057;3,38696020321761e-05;0,0022692633361558;0;0;0;0;0
"L1F18";0,0581067888254731;0,216619104836287;0,233835235806549;0,140639080805047;0,00657104235506158;0,212563832982878;0,00720937218383899;0,00563232201862421;0,00138930609792731;0,000600781015319916;0,000525683388404926;0,100217783118053;0,00540702913787924;0,00352958846500451;0;0,000506908981676179;0,00043181135476119;0;0,00105136677680985;0,000694653048963653;0,00309777711024332;0;0;0;0,00120156203063983;0;0;0;0,000168969660558726;0;0;0;0;0
"L1A18";0,53334557473375;0,0433161953727506;0,137238340066104;0,033786265148733;0,170859346309218;0,0234484024972457;0,00295629820051414;0,0208226221079691;0,00297466030113845;0,00380095482923246;0,00213000367242012;0;0;0,00378259272860815;0,00012853470437018;0,00172603745868527;0;0,0178112376055821;0;0,00187293426367977;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L2A17";0,259049423423752;0,112036143041918;0,132202648789463;0,143734173756217;0,070336837119487;0,23214253183466;0,00225894011986956;0,0200207676752956;0,00828885285919881;0,000291476144499299;0,00142094620443408;0,00429927313136465;0,00071047310221704;0,00229537463793198;0;0,00491865993842566;0,000255041626436886;0;0,000182172590312062;0,000418996957717742;0;0;3,64345180624123e-05;0;0;0,0050279634926129;0;0;7,28690361248247e-05;0;0;0;0;0
"L2F18";0,349107155480779;0,174779793295536;0,204484723380791;0,0294221606413211;0,0200766305193061;0,106957542167993;0,0292524989749608;0,0208401080179276;0,00691371290418357;0,00369014124333724;0,00285597138373227;0,037014520210946;0,00328012554963311;0,00559883498989099;0;0,00108866235914547;0,00121590860891572;0;0,000226215555147111;0,000721062082031416;0,000706923609834721;0;0;0;0,000523123471277694;0,000452431110294222;0;0;0,000791754443014888;0;0;0;0;0
"L2A18";0,450984576583568;0,0144339897177224;0,172781065088757;0,0331360946745562;0,220079542147638;0,0331554951983704;0,0084392278591522;0,0281307595305073;0,00585895819187118;0,000601416238238432;0,00467552623920846;0;0,00225046076244059;0,00583955766805704;0;0,00316228538170531;0;0,00917644776408963;0;0,00506353671549132;0;0;0;0;0,00223106023862644;0;0;0;0;0;0;0;0;0
"L3A17";0,361675695491019;0,105800171072461;0,190114455622989;0,0892224349313674;0,163496395258849;0,0502219868844446;0,00164962730642336;0,0160074946030712;0,00525436845749664;0,000162926153720826;0,00116084884526089;0,0031363284591259;0,00116084884526089;0,00285120769011446;0;0,00637448576432732;0;0;0;0,00136450653741192;0;0;0;0;0;0;0,000346218076656755;0;0;0;0;0;0;0
"L3F18";0,141918960943931;0,300228665508095;0,106320314643739;0,0141223817799323;0,00556114515686454;0,232452208908808;0,0218970090551541;0,00733558949967987;0,00475624256837099;0,00107930119820726;0,000786609347845971;0,156352327814872;0,00155492545504436;0,00168297813957743;0;0,000731729625903229;0,000439037775541937;0;0,000274398609713711;0,000402451294246776;0,000585383700722583;0;0;0;0,000329278331656453;0,000201225647123388;0;0;0;0;0;0,000987834994969359;0;0
"L3A18";0,493553369901015;0,0121209255406343;0,144253199672152;0,0690372612067335;0,202398966017275;0,0135394994010466;0,0157146459870122;0,01316121303827;0;0,000504381817035496;0,00447638862619003;0;0,000236428976735389;0,0156673601916651;0;0,00293171931151882;0,00063047727129437;0,00766029884622659;0,0004255721581237;0,00368829203707206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L4A17";0,328977215018451;0,306276873074449;0,0834038663371365;0,0807292548329214;0,0541862748417239;0,114568168737516;0,00148965704032231;0,00754985272708806;0,00897179808375935;0,000169279209127535;0,000914107729288689;0,00670345668145038;0,0012018823848055;0,00106645901750347;0;0,0033855841825507;0,000220062971865795;0;0;0,000186207130040288;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L4F18";0,319915576192486;0,173305192064162;0,157281553398058;0,0333305192064162;0,0124102997045167;0,175972984381596;0,0238750527648797;0,0147741663149008;0,00606162937948501;0,00395103419164204;0,00244829041789785;0,0622878851836218;0,00320810468552132;0,00337695230054875;0;0,00157028281975517;0,00133389615871676;0,00175601519628535;0,00062473617560152;0,00104685521317011;0,000709159983115239;0;0;0;0,000337695230054875;0;0,000185732376530182;0;0,000236386661038413;0;0;0;0;0
"L4A18";0,475143959004702;0,00991424093542536;0,161339743251096;0,033018120344445;0,249317625512881;0,0144927536231884;0,00500114462817194;0,0277000017609664;0,00299364291122968;0,00186662440347263;0,00320495888143413;7,04386567348161e-05;0,00243013365735115;0,00649796608378678;0,000845263880817793;0,00309930089633191;0,00026414496275556;0,000405022276225192;0;0,00227164667969782;0;0;0;0,000123267649285928;0;0;0;0;0;0;0;0;0;0
