;C1A17;C1F18;C1A18;C2A17;C2F18;C2A18;C3A17;C3F18;C3A18;C4A17;C4F18;C4A18;F1A17;F1F18;F1A18;F2A17;F2F18;F2A18;F3A17;F3F18;F3A18;F4A17;F4F18;F4A18;H1A17;H1F18;H1A18;H2A17;H2F18;H2A18;H3A17;H3F18;H3A18;H4A17;H4F18;H4A18;P1F18;P1A18;P2F18;P3F18;P4F18;Q1A17;Q1F18;Q2A17;Q2F18;Q3A17;Q3F18;Q3A18;Q4A17;Q4F18;Q4A18;L1A17;L1F18;L1A18;L2A17;L2F18;L2A18;L3A17;L3F18;L3A18;L4A17;L4F18;L4A18;Chanaral;Flamenco;Huasco;Pta.Choros;Quintero;LasCruces;Total;Color
Chlorophyta;911;15603;16686;112;3359;16230;595;1575;6712;226;2208;8181;3946;1476;18638;5993;3601;25127;2912;5200;17437;1584;5433;16500;28242;42616;32179;26814;36495;29451;25964;50928;27539;28848;44836;33711;26294;4314;24937;30738;25488;286;315;3001;4845;1801;6324;16559;1849;1357;27379;17872;3095;29046;14220;24692;23246;17759;7758;31313;19434;18947;26982;72398;107847;407623;111771;63716;234364;997719;#414487
Ochrophyta;6393;4672;4253;425;13447;3409;8193;36352;10715;1221;24304;10365;1687;25828;1612;1582;16038;2633;338;6476;894;140;6110;2429;1532;1612;2901;818;1525;3187;1640;1873;2141;3840;1839;5207;3482;16561;3175;3607;3694;3350;606;5759;1140;5275;1833;6082;4300;1027;4655;1673;7491;1840;7890;2081;1708;4381;772;4380;4769;1974;1875;123749;65767;28115;30519;34027;40834;323011;#440154
Cryptophyta;0;749;1334;10;671;975;0;190;1303;0;308;1397;6284;216;1760;1563;369;1404;487;1550;708;504;1534;2755;642;839;1261;518;1286;1432;1459;1296;1489;1558;953;2105;1084;361;1879;2000;1220;377;146;431;464;537;2355;1517;281;314;839;497;286;779;971;955;1212;689;288;827;400;719;1191;6937;19134;14838;6544;7261;8814;63528;#2A788E
Cryptophyta.nucl;0;196;224;0;283;96;0;132;271;0;213;310;635;77;158;185;97;200;37;138;106;23;191;320;82;138;321;60;416;496;175;456;188;126;255;410;193;118;352;350;269;146;211;58;893;173;1144;300;42;492;186;69;14;355;128;519;238;97;113;8;46;156;382;1725;2167;3123;1282;3645;2125;14067;#2A788E
Haptophyta;6619;573;500;91;410;422;61;1187;1191;58;1183;1105;1257;169;177;966;226;219;306;592;104;194;573;291;3053;343;583;1861;439;523;1004;630;359;1233;437;879;102;338;317;268;164;59;0;371;91;486;146;1064;519;84;725;32;28;116;78;202;241;57;43;284;54;145;182;13400;5074;11344;1189;3545;1462;36014;#7AD151
Katablepharidophyta;6;638;553;6;229;215;18;55;583;0;126;465;238;154;37;75;222;49;46;605;28;21;549;65;0;334;26;0;217;28;0;193;52;0;127;15;260;38;389;178;406;102;0;79;16;106;25;255;42;36;73;159;27;94;270;77;163;313;40;186;200;93;176;2894;2089;992;1271;734;1798;9778;#22A884
Rhodophyta;0;0;0;0;0;0;0;11;0;0;0;0;16;14;9;14;23;0;0;0;59;26;27;0;498;178;178;16;38;173;63;7;65;117;2;62;11;2682;0;0;0;532;13;13;0;0;14;0;8;13;0;357;5338;0;236;2618;0;154;8547;0;396;3689;4;11;188;1397;2693;593;21339;26221;#FDE725
