"";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18";"CHA";"FLA";"HUA";"PCH";"QUI";"LCS";"Total";"Color"
"Chlorophyta";911;15603;16686;112;3359;16230;595;1575;6712;226;2208;8181;3946;1476;18638;5993;3601;25127;2912;5200;17437;1584;5433;16500;28242;42616;32179;26814;36495;29451;25964;50928;27539;28848;44836;33711;26294;4314;24937;30738;25488;286;315;3001;4845;1801;6324;16559;1849;1357;27379;17872;3095;29046;14220;24692;23246;17759;7758;31313;19434;18947;26982;72398;107847;407623;111771;63716;234364;997719;"#90ED90"
"Stramenopiles";8487;9743;5239;572;17393;4230;8734;39276;13136;1434;27210;13048;4715;28287;2670;5075;19867;5189;1329;13814;1685;638;13357;4128;4188;3429;5463;3306;3932;5425;4175;4125;3765;5390;4328;7782;4051;20551;4288;5063;4921;9926;810;15745;3091;16162;3319;7613;18141;2726;5319;2526;8237;2158;8520;4921;2385;4777;2314;4677;5437;3965;2377;148502;100754;55308;38874;82852;52294;478584;"#CDAE94"
"Cryptophyta";0;749;1425;10;700;1015;0;190;1374;0;308;1465;6588;235;1818;1630;396;1487;505;1638;761;504;1631;2888;672;894;1443;552;1367;1657;1537;1422;1596;1608;1019;2284;1120;407;1987;2092;1265;523;276;489;704;710;2989;1608;323;421;853;545;300;1052;1031;1125;1450;733;368;835;422;758;1539;7236;20081;16051;6871;8896;10158;69293;"#6CA6CD"
"Haptophyta";6619;573;500;91;410;422;61;1187;1191;58;1183;1105;1257;169;177;966;226;219;306;592;104;194;573;291;3053;343;583;1861;439;523;1004;630;359;1233;437;879;102;338;317;268;164;59;0;371;91;486;146;1064;519;84;725;32;28;116;78;202;241;57;43;284;54;145;182;13400;5074;11344;1189;3545;1462;36014;"#7EFFD3"
"Kathablepharidacea";6;638;553;6;229;215;18;55;583;0;126;465;238;154;37;75;222;49;46;605;28;21;549;65;0;334;26;0;217;28;0;193;52;0;127;15;260;38;389;178;406;102;0;79;16;106;25;255;42;36;73;159;27;94;270;77;163;313;40;186;200;93;176;2894;2089;992;1271;734;1798;9778;"#C577F9"
"Rhodophyta";0;0;0;0;0;0;0;11;0;0;0;0;16;14;9;14;23;0;0;0;59;26;27;0;498;178;178;16;38;173;63;7;65;117;2;62;11;2682;0;0;0;532;13;13;0;0;14;0;8;13;0;357;5338;0;236;2618;0;154;8547;0;396;3689;4;11;188;1397;2693;593;21339;26221;"#F9A555"
"Cryptophyta:nucl";0;196;133;0;254;56;0;132;200;0;213;242;331;58;100;118;70;117;19;50;53;23;94;187;52;83;139;26;335;271;97;330;81;76;189;231;157;72;244;258;224;0;81;0;653;0;510;209;0;385;172;21;0;82;68;349;0;53;33;0;24;117;34;1426;1220;1910;955;2010;781;8302;"#5888A8"
