Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,366,"24107,6410759195","20791,1549560233","-10027,4798439053","0,238462096628231","0,71622356605335","1,38362863241944","0,24829974224403","0,302459550945623","0,170289742554579","0,278950964255768","0,06","0,03","0,12","0,05","0,13","0,06","0,05","0,24","0,06","0,1","0,06","0,03"
TN93+G,365,"24117,9917786274","20810,5556310444","-10038,191645243",n/a,"0,411572077376632","1,38448000089463","0,24829974224403","0,302459550945623","0,170289742554579","0,278950964255768","0,06","0,03","0,11","0,05","0,14","0,06","0,05","0,24","0,06","0,1","0,06","0,03"
GTR+G+I,369,"24140,0340987677","20796,3984410411","-10027,0670053781","0,239802265030824","0,720845135386461","1,38255595218064","0,24829974224403","0,302459550945623","0,170289742554579","0,278950964255768","0,06","0,03","0,12","0,05","0,13","0,06","0,05","0,24","0,06","0,1","0,06","0,04"
GTR+G,368,"24150,4703886347","20815,8845136637","-10037,8216002954",n/a,"0,410782776255589","1,38083627295296","0,24829974224403","0,302459550945623","0,170289742554579","0,278950964255768","0,06","0,03","0,11","0,05","0,14","0,06","0,05","0,24","0,06","0,1","0,06","0,04"
K2+G+I,362,"24157,7565120163","20877,470660441","-10074,6833618887","0,258181154907803","0,75195331444895","1,41086705287216","0,25","0,25","0,25","0,25","0,05","0,05","0,15","0,05","0,15","0,05","0,05","0,15","0,05","0,15","0,05","0,05"
HKY+G+I,365,"24162,1096175337","20854,6734699507","-10060,2505646961","0,252230866073618","0,744828969987171","1,40324392919927","0,24829974224403","0,302459550945623","0,170289742554579","0,278950964255768","0,06","0,03","0,17","0,05","0,1","0,06","0,05","0,18","0,06","0,15","0,06","0,03"
T92+G+I,363,"24177,0211737751","20887,6851603555","-10078,7792427843","0,261447535375133","0,782356925950343","1,36087372270079","0,275379646594826","0,275379646594826","0,224620353405174","0,224620353405174","0,06","0,05","0,13","0,06","0,13","0,05","0,06","0,16","0,05","0,16","0,06","0,05"
HKY+G,364,"24177,1604506655","20878,7743385757","-10073,3124312458",n/a,"0,409891214982403","1,40217695179443","0,24829974224403","0,302459550945623","0,170289742554579","0,278950964255768","0,06","0,03","0,16","0,05","0,1","0,06","0,05","0,18","0,06","0,15","0,06","0,03"
K2+G,361,"24184,0482437029","20912,8126171429","-10093,3656777157",n/a,"0,409001994056508","1,41413444268092","0,25","0,25","0,25","0,25","0,05","0,05","0,15","0,05","0,15","0,05","0,05","0,15","0,05","0,15","0,05","0,05"
T92+G,362,"24197,0298481007","20916,7439965254","-10094,3200299309",n/a,"0,420624517326149","1,36185816338579","0,275379646594826","0,275379646594826","0,224620353405174","0,224620353405174","0,06","0,05","0,13","0,06","0,13","0,05","0,06","0,16","0,05","0,16","0,06","0,05"
JC+G+I,361,"24579,2665678843","21308,0309413243","-10290,9748398064","0,257298559273653","0,775607958026435","0,5","0,25","0,25","0,25","0,25","0,08","0,08","0,08","0,08","0,08","0,08","0,08","0,08","0,08","0,08","0,08","0,08"
JC+G,360,"24600,8182653153","21338,6329269388","-10307,2871385057",n/a,"0,420819722300567","0,5","0,25","0,25","0,25","0,25","0,08","0,08","0,08","0,08","0,08","0,08","0,08","0,08","0,08","0,08","0,08","0,08"
GTR+I,368,"25341,3941027987","22006,8082278277","-10633,2834573774","0,324836120502709",n/a,"1,25016759064532","0,24829974224403","0,302459550945623","0,170289742554579","0,278950964255768","0,05","0,03","0,12","0,04","0,12","0,06","0,05","0,22","0,08","0,11","0,07","0,05"
TN93+I,365,"25346,6682939709","22039,2321463879","-10652,5299029147","0,326060610034247",n/a,"1,2414069612883","0,24829974224403","0,302459550945623","0,170289742554579","0,278950964255768","0,07","0,04","0,12","0,05","0,12","0,06","0,05","0,22","0,06","0,11","0,07","0,04"
T92+I,362,"25402,6581380238","22122,3722864484","-10697,1341748924","0,328215484377178",n/a,"1,24253691288155","0,275379646594826","0,275379646594826","0,224620353405174","0,224620353405174","0,06","0,05","0,13","0,06","0,13","0,05","0,06","0,15","0,05","0,15","0,06","0,05"
HKY+I,364,"25412,6773287795","22114,2912166896","-10691,0708703028","0,328936931065647",n/a,"1,2582469009372","0,24829974224403","0,302459550945623","0,170289742554579","0,278950964255768","0,07","0,04","0,16","0,05","0,1","0,06","0,05","0,17","0,06","0,14","0,07","0,04"
K2+I,361,"25446,5902118719","22175,3545853119","-10724,6366618003","0,32819502197787",n/a,"1,25024440611529","0,25","0,25","0,25","0,25","0,06","0,06","0,14","0,06","0,14","0,06","0,06","0,14","0,06","0,14","0,06","0,06"
JC+I,360,"25825,6283980646","22563,443059688","-10919,6922048803","0,328145913410025",n/a,"0,5","0,25","0,25","0,25","0,25","0,08","0,08","0,08","0,08","0,08","0,08","0,08","0,08","0,08","0,08","0,08","0,08"
GTR,367,"26776,5776984364","23451,0416694098","-11356,41170518",n/a,n/a,"1,21979574899736","0,24829974224403","0,302459550945623","0,170289742554579","0,278950964255768","0,04","0,03","0,11","0,04","0,13","0,06","0,05","0,23","0,09","0,09","0,07","0,06"
