"";"input";"filtered";"denoisedFws";"denoisedRvs";"merged";"nochim"
"S017";37363;30836;30040;30265;27731;27566
"S018";60905;50064;48984;49457;45666;45016
"S019";52844;44681;44214;44369;43059;42821
"S020";35043;28910;28526;28638;27125;27015
"S021";21451;17137;16858;16947;16253;15674
"S022";10202;7240;7027;7107;6552;6534
"S023";24652;18987;17817;18313;16804;16585
"S024";21114;16566;15393;15858;13858;13783
