"colMeans..t.."	"Node"	"Node_Category"
"ASV0001"	0.139361506490867	"ASV0001"	"Shared"
"ASV0003"	0.105097087044803	"ASV0003"	"Shared"
"ASV0006"	0.0980468546437065	"ASV0006"	"Shared"
"ASV0008"	0.0635533506792795	"ASV0008"	"Shared"
"ASV0013"	0.0204229896896091	"ASV0013"	"Shared"
"ASV0016"	0.0144766550868535	"ASV0016"	"Shared"
"ASV0017"	0.014322961228985	"ASV0017"	"Shared"
"ASV0020"	0.0144530090631553	"ASV0020"	"Other"
"ASV0021"	0.0121260887800494	"ASV0021"	"Shared"
"ASV0023"	0.00886676104065781	"ASV0023"	"Shared"
"ASV0025"	0.0133977178043556	"ASV0025"	"Shared"
"ASV0028"	0.0109084961382682	"ASV0028"	"Other"
"ASV0029"	0.00907760216476359	"ASV0029"	"Shared"
"ASV0030"	0.0166494748598873	"ASV0030"	"Shared"
"ASV0031"	0.0070996567105927	"ASV0031"	"Other"
"ASV0032"	0.0121237695639886	"ASV0032"	"Shared"
"ASV0033"	0.0101692452311218	"ASV0033"	"Other"
"ASV0034"	0.00933979672956421	"ASV0034"	"Shared"
"ASV0035"	0.00655496389502242	"ASV0035"	"Shared"
"ASV0036"	0.00637366161401464	"ASV0036"	"Shared"
"ASV0037"	0.00889577506941039	"ASV0037"	"Shared"
"ASV0038"	0.00579016938148726	"ASV0038"	"Shared"
"ASV0039"	0.00909417319197677	"ASV0039"	"Shared"
"ASV0040"	0.0103997076396439	"ASV0040"	"Shared"
"ASV0041"	0.0121830536252672	"ASV0041"	"Other"
"ASV0042"	0.00464702340621587	"ASV0042"	"Shared"
"ASV0043"	0.00948844446277432	"ASV0043"	"Shared"
"ASV0045"	0.0108262377529222	"ASV0045"	"Shared"
"ASV0046"	0.00431433521874077	"ASV0046"	"Other"
"ASV0048"	0.00632698616119903	"ASV0048"	"Shared"
"ASV0050"	0.00484189520971164	"ASV0050"	"Shared"
"ASV0053"	0.004480988230823	"ASV0053"	"Shared"
"ASV0054"	0.00653331848877469	"ASV0054"	"Other"
"ASV0056"	0.00571997612698278	"ASV0056"	"Shared"
"ASV0063"	0.00627168078624586	"ASV0063"	"Shared"
"ASV0064"	0.00519469289762193	"ASV0064"	"Shared"
"ASV0069"	0.0104006387847608	"ASV0069"	"Other"
"ASV0071"	0.00599907845941655	"ASV0071"	"Shared"
"ASV0072"	0.00422806732600275	"ASV0072"	"Shared"
"ASV0073"	0.00411652944449611	"ASV0073"	"Shared"
"ASV0075"	0.00285189255149265	"ASV0075"	"Other"
"ASV0077"	0.00795739833231399	"ASV0077"	"Shared"
"ASV0079"	0.00741072678052282	"ASV0079"	"Other"
"ASV0081"	0.0060663265577371	"ASV0081"	"Shared"
"ASV0083"	0.00414384962767721	"ASV0083"	"Shared"
"ASV0085"	0.00430583340188114	"ASV0085"	"Shared"
"ASV0086"	0.0034345450935443	"ASV0086"	"Shared"
"ASV0093"	0.00711671013265238	"ASV0093"	"Other"
"ASV0097"	0.00425214036371752	"ASV0097"	"Shared"
"ASV0101"	0.00342515096040541	"ASV0101"	"Shared"
"ASV0102"	0.00425181261040332	"ASV0102"	"Shared"
"ASV0104"	0.00338799171589754	"ASV0104"	"Shared"
"ASV0107"	0.00420083020452774	"ASV0107"	"Shared"
"ASV0118"	0.00316904163626236	"ASV0118"	"Shared"
"ASV0120"	0.00565730184711759	"ASV0120"	"Shared"
"ASV0124"	0.00274043042366987	"ASV0124"	"Other"
"ASV0127"	0.00429024780028946	"ASV0127"	"Shared"
"ASV0128"	0.00183542840003088	"ASV0128"	"Other"
"ASV0131"	0.00263485455914134	"ASV0131"	"Other"
