"";"OSD143";"OSD037";"OSD039";"OSD060";"OSD054";"OSD055";"OSD152";"OSD159";"OSD002";"OSD141";"OSD003";"OSD072";"OSD030";"OSD014";"OSD022";"OSD099";"OSD049";"OSD076";"OSD077";"OSD123";"OSD132";"Total";"Color"
"Ochrophyta";24510;20635;3164;14644;14712;13158;1516;3776;5455;247;13659;5841;2031;1465;4956;1587;2384;1610;1473;436;1872;139131;"#440154"
"Chlorophyta";3867;2926;6478;2942;2075;1744;288;315;2751;18;1306;382;2148;5879;587;544;597;128;50;118;1311;36454;"#414487"
"Cryptophyta";786;182;209;170;1003;2214;176;247;1203;0;572;328;180;1777;495;212;638;804;226;63;116;11601;"#2A788E"
"Haptophyta";28;44;0;12;465;262;24;60;1325;12;441;396;319;622;1144;164;858;216;75;11;38;6516;"#7AD151"
"Katablepharidophyta";197;0;17;13;253;143;6;17;61;0;179;461;140;180;269;69;163;252;264;0;0;2684;"#22A884"
"Rhodophyta";11;31;0;16;0;0;0;97;0;0;67;12;0;66;0;0;0;0;0;14;64;378;"#FDE725"
