"";"OSD143";"OSD037";"OSD039";"OSD060";"OSD054";"OSD055";"OSD152";"OSD159";"OSD002";"OSD141";"OSD003";"OSD072";"OSD030";"OSD014";"OSD022";"OSD099";"OSD049";"OSD076";"OSD077";"OSD123";"OSD132";"Total";"Color"
"Dinoflagellata";697;466;206;1192;1069;1065;2551;2728;2649;1594;1692;2012;957;2599;3524;1137;3317;970;1196;258;927;32806;"#46095D"
"Ochrophyta";4291;3610;1793;2896;3084;3084;379;1663;984;47;2608;2082;367;341;743;261;574;656;1473;164;911;32011;"#471164"
"Metazoa";174;1563;236;1125;389;206;2321;1415;822;4758;1276;178;3975;886;635;4762;904;2644;1178;274;1543;31264;"#440154"
"Chlorophyta";688;515;3829;558;435;404;73;146;499;2;249;138;359;1390;80;79;135;50;50;46;643;10368;"#63CB5F"
"Ciliophora";200;12;45;107;95;265;752;129;513;4;132;411;105;199;312;26;215;173;964;150;605;5414;"#482778"
"Cryptophyta";157;23;121;38;243;555;40;120;210;0;106;126;33;436;82;33;159;332;226;22;64;3126;"#34618D"
"Pseudofungi";78;11;19;224;375;186;23;24;48;14;99;41;119;34;91;23;69;390;299;68;38;2273;"#414287"
"Opalozoa";11;26;21;22;152;34;2;60;53;8;35;11;0;86;265;24;188;228;384;39;137;1786;"#38B977"
"Telonemia";0;2;0;0;49;61;0;12;208;0;0;916;44;53;68;11;73;56;72;8;14;1647;"#1FA088"
"Picozoa";30;75;13;4;206;151;40;9;34;1;17;97;289;70;136;27;174;116;62;15;20;1586;"#443C84"
"Haptophyta";2;8;0;1;110;52;7;22;216;2;93;146;73;138;187;19;208;86;75;3;18;1466;"#3F4889"
"Sagenista";17;88;7;35;69;132;43;27;71;1;58;27;10;80;81;21;125;351;49;25;110;1427;"#24AA83"
"Perkinsea";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;887;73;962;"#2F6C8E"
"Cercozoa";5;1;26;10;74;172;18;38;28;6;8;99;45;10;29;1;48;188;70;26;37;939;"#453581"
"Katablepharidophyta";45;0;11;4;43;35;1;6;10;0;37;150;26;36;46;9;40;100;264;0;0;863;"#21908C"
"Fungi";4;26;124;6;16;0;170;0;3;14;0;15;15;0;5;2;13;2;0;32;2;449;"#472E7C"
"Choanoflagellida";0;0;0;85;21;47;20;5;28;0;8;0;25;5;43;6;101;15;0;0;3;412;"#21A585"
"Stramenopiles_X";0;3;0;80;0;0;0;0;67;0;0;0;0;8;14;0;15;43;32;0;0;262;"#8AD647"
"Centroheliozoa";0;5;0;5;8;0;1;0;0;0;0;0;6;14;47;8;42;39;57;10;4;246;"#6FCF57"
"Apicomplexa";0;3;0;11;7;1;0;3;4;0;1;0;0;0;0;0;0;0;0;47;98;175;"#29AF7F"
"Rhodophyta";3;4;0;6;0;0;0;44;0;0;16;2;0;11;0;0;0;0;0;7;21;114;"#99D83E"
"Radiolaria";0;1;0;5;0;0;0;0;0;0;0;0;0;50;11;0;11;0;0;0;15;93;"#26818E"
"Opisthokonta_X";0;0;0;0;0;0;9;0;4;0;7;0;0;0;46;0;0;0;0;0;0;66;"#39558C"
"Prasinodermophyta";0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;15;"#B6DE2A"
"Apusomonadidae";0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;11;"#A7DB35"
"Streptophyta";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;"#E2E418"
"Mesomycetozoa";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"#482071"
