"";"OSD143";"OSD037";"OSD039";"OSD060";"OSD054";"OSD055";"OSD152";"OSD159";"OSD002";"OSD141";"OSD003";"OSD072";"OSD030";"OSD014";"OSD022";"OSD099";"OSD049";"OSD076";"OSD077";"OSD123";"OSD132";"Total";"Color"
"Ochrophyta";4291;3610;1793;2896;3084;3084;379;1663;984;47;2608;2082;367;341;743;261;574;656;1473;164;911;32011;"#471164"
"Chlorophyta";688;515;3829;558;435;404;73;146;499;2;249;138;359;1390;80;79;135;50;50;46;643;10368;"#63CB5F"
"Cryptophyta";157;23;121;38;243;555;40;120;210;0;106;126;33;436;82;33;159;332;226;22;64;3126;"#34618D"
"Haptophyta";2;8;0;1;110;52;7;22;216;2;93;146;73;138;187;19;208;86;75;3;18;1466;"#3F4889"
"Katablepharidophyta";45;0;11;4;43;35;1;6;10;0;37;150;26;36;46;9;40;100;264;0;0;863;"#21908C"
"Rhodophyta";3;4;0;6;0;0;0;44;0;0;16;2;0;11;0;0;0;0;0;7;21;114;"#99D83E"
