Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G,149,9006.56057010829,7802.72790421338,-3751.43258568589,n/a,0.46211906612813,1.32351630460804,0.240278295440427,0.296020209549841,0.176709322068994,0.286992172940738,0.06,0.04,0.11,0.05,0.15,0.06,0.05,0.24,0.06,0.09,0.06,0.04
K2+G,145,9007.27890313331,7835.71525927063,-3771.97558305392,n/a,0.444925559813042,1.32422324068172,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G+I,146,9017.3558034221,7837.72465096887,-3771.96807548443,0,0.444902577948045,1.32427669590953,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
TN93+G+I,150,9019.42083328943,7807.52133376093,-3752.81675956258,0,0.463833600618928,1.32366931848989,0.240278295440427,0.296020209549841,0.176709322068994,0.286992172940738,0.06,0.04,0.11,0.05,0.15,0.06,0.05,0.24,0.06,0.09,0.06,0.04
GTR+G,152,9026.45536722703,7798.42270682839,-3746.24211110362,n/a,0.473200518059649,1.33525919308943,0.240278295440427,0.296020209549841,0.176709322068994,0.286992172940738,0.05,0.03,0.11,0.04,0.15,0.07,0.04,0.25,0.08,0.09,0.07,0.05
HKY+G,148,9028.29833507931,7832.53267158888,-3767.34742588528,n/a,0.451557466971823,1.31880486432737,0.240278295440427,0.296020209549841,0.176709322068994,0.286992172940738,0.06,0.04,0.17,0.05,0.1,0.06,0.05,0.17,0.06,0.14,0.06,0.04
T92+G,146,9029.53120484321,7849.90005238998,-3778.05577619499,n/a,0.457370349792581,1.29368630273886,0.268149252495134,0.268149252495134,0.231850747504866,0.231850747504866,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.15,0.05,0.15,0.06,0.05
HKY+G+I,149,9038.39860772742,7834.56594183251,-3767.35160449545,0.00001,0.451323718409084,1.31893381324551,0.240278295440427,0.296020209549841,0.176709322068994,0.286992172940738,0.06,0.04,0.17,0.05,0.1,0.06,0.05,0.17,0.06,0.14,0.06,0.04
GTR+G+I,153,9040.14889039202,7804.04990279904,-3748.04291497223,0,0.475363607502562,1.33551354010486,0.240278295440427,0.296020209549841,0.176709322068994,0.286992172940738,0.05,0.03,0.11,0.04,0.15,0.07,0.04,0.25,0.08,0.09,0.07,0.05
T92+G+I,147,9050.21619749999,7862.51770516382,-3783.3523148095,0,0.462745767343886,1.29411018524234,0.268149252495134,0.268149252495134,0.231850747504866,0.231850747504866,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.15,0.05,0.15,0.06,0.05
JC+G,144,9114.76141957924,7951.26545299362,-3830.76279899077,n/a,0.456426354482005,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,145,9128.41673231847,7956.85308845579,-3832.5444976465,0,0.446504992564482,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
