;ASV;Type
652;ASV0711;Shared
653;ASV0720;Shared
654;ASV0775;Shared
655;ASV0799;Shared
656;ASV0834;Shared
657;ASV0838;Shared
658;ASV0867;Shared
659;ASV0882;Shared
660;ASV0932;Shared
661;ASV1079;Shared
662;ASV1112;Shared
663;ASV1119;Shared
664;ASV1191;Shared
665;ASV1207;Shared
666;ASV1272;Shared
667;ASV1284;Shared
668;ASV1335;Shared
669;ASV1389;Shared
670;ASV1403;Shared
671;ASV1411;Shared
672;ASV1412;Shared
673;ASV1506;Shared
674;ASV1593;Shared
675;ASV1742;Shared
676;ASV2590;Shared
677;ASV0020;Other
678;ASV0028;Other
679;ASV0031;Other
680;ASV0033;Other
681;ASV0041;Other
682;ASV0046;Other
683;ASV0054;Other
684;ASV0069;Other
685;ASV0075;Other
686;ASV0079;Other
687;ASV0093;Other
688;ASV0096;Other
689;ASV0098;Other
690;ASV0111;Other
691;ASV0124;Other
692;ASV0126;Other
693;ASV0128;Other
694;ASV0131;Other
695;ASV0133;Other
696;ASV0136;Other
697;ASV0172;Other
698;ASV0183;Other
699;ASV0195;Other
700;ASV0205;Other
701;ASV0213;Other
702;ASV0214;Other
703;ASV0221;Other
704;ASV0251;Other
705;ASV0255;Other
706;ASV0257;Other
707;ASV0259;Other
708;ASV0271;Other
709;ASV0283;Other
710;ASV0302;Other
711;ASV0303;Other
712;ASV0308;Other
713;ASV0342;Other
714;ASV0348;Other
715;ASV0351;Other
716;ASV0352;Other
717;ASV0355;Other
718;ASV0357;Other
719;ASV0366;Other
720;ASV0371;Other
721;ASV0383;Other
722;ASV0386;Other
723;ASV0387;Other
724;ASV0397;Other
725;ASV0400;Other
726;ASV0405;Other
727;ASV0413;Other
728;ASV0423;Other
729;ASV0427;Other
730;ASV0434;Other
731;ASV0435;Other
732;ASV0436;Other
733;ASV0440;Other
734;ASV0444;Other
735;ASV0445;Other
736;ASV0448;Other
737;ASV0451;Other
738;ASV0454;Other
739;ASV0460;Other
740;ASV0468;Other
741;ASV0469;Other
742;ASV0470;Other
743;ASV0477;Other
744;ASV0506;Other
745;ASV0507;Other
746;ASV0514;Other
747;ASV0528;Other
748;ASV0536;Other
749;ASV0540;Other
750;ASV0556;Other
751;ASV0559;Other
752;ASV0599;Other
753;ASV0602;Other
754;ASV0612;Other
755;ASV0615;Other
756;ASV0618;Other
757;ASV0624;Other
758;ASV0636;Other
759;ASV0637;Other
760;ASV0638;Other
761;ASV0641;Other
762;ASV0646;Other
763;ASV0662;Other
764;ASV0677;Other
765;ASV0682;Other
766;ASV0690;Other
767;ASV0691;Other
768;ASV0701;Other
769;ASV0712;Other
770;ASV0719;Other
771;ASV0724;Other
772;ASV0727;Other
773;ASV0729;Other
774;ASV0731;Other
775;ASV0741;Other
776;ASV0742;Other
777;ASV0744;Other
778;ASV0748;Other
779;ASV0765;Other
780;ASV0772;Other
781;ASV0776;Other
782;ASV0784;Other
783;ASV0785;Other
784;ASV0790;Other
785;ASV0792;Other
786;ASV0793;Other
787;ASV0815;Other
788;ASV0828;Other
789;ASV0832;Other
790;ASV0835;Other
791;ASV0840;Other
792;ASV0848;Other
793;ASV0860;Other
794;ASV0865;Other
795;ASV0868;Other
796;ASV0869;Other
797;ASV0875;Other
798;ASV0876;Other
799;ASV0881;Other
800;ASV0884;Other
801;ASV0892;Other
802;ASV0895;Other
803;ASV0898;Other
804;ASV0911;Other
805;ASV0919;Other
806;ASV0925;Other
807;ASV0927;Other
808;ASV0929;Other
809;ASV0930;Other
810;ASV0939;Other
811;ASV0940;Other
812;ASV0951;Other
813;ASV0956;Other
814;ASV0961;Other
815;ASV0962;Other
816;ASV0963;Other
817;ASV0965;Other
818;ASV0966;Other
819;ASV0969;Other
820;ASV0972;Other
821;ASV0986;Other
822;ASV0993;Other
823;ASV0998;Other
824;ASV1015;Other
825;ASV1041;Other
826;ASV1044;Other
827;ASV1045;Other
828;ASV1047;Other
829;ASV1054;Other
830;ASV1056;Other
831;ASV1057;Other
832;ASV1065;Other
833;ASV1067;Other
834;ASV1070;Other
835;ASV1071;Other
836;ASV1072;Other
837;ASV1078;Other
838;ASV1081;Other
839;ASV1082;Other
840;ASV1087;Other
841;ASV1103;Other
842;ASV1111;Other
843;ASV1114;Other
844;ASV1120;Other
845;ASV1123;Other
846;ASV1134;Other
847;ASV1138;Other
848;ASV1139;Other
849;ASV1151;Other
850;ASV1154;Other
851;ASV1160;Other
852;ASV1162;Other
853;ASV1170;Other
854;ASV1175;Other
855;ASV1188;Other
856;ASV1189;Other
857;ASV1195;Other
858;ASV1198;Other
859;ASV1212;Other
860;ASV1214;Other
861;ASV1219;Other
862;ASV1228;Other
863;ASV1229;Other
864;ASV1237;Other
865;ASV1244;Other
866;ASV1250;Other
867;ASV1251;Other
868;ASV1252;Other
869;ASV1255;Other
870;ASV1256;Other
871;ASV1257;Other
872;ASV1265;Other
873;ASV1267;Other
874;ASV1274;Other
875;ASV1276;Other
876;ASV1281;Other
877;ASV1283;Other
878;ASV1285;Other
879;ASV1287;Other
880;ASV1293;Other
881;ASV1297;Other
882;ASV1302;Other
883;ASV1303;Other
884;ASV1315;Other
885;ASV1325;Other
886;ASV1326;Other
887;ASV1337;Other
888;ASV1339;Other
889;ASV1342;Other
890;ASV1349;Other
891;ASV1351;Other
892;ASV1354;Other
893;ASV1358;Other
894;ASV1363;Other
895;ASV1365;Other
896;ASV1371;Other
897;ASV1374;Other
898;ASV1385;Other
899;ASV1392;Other
900;ASV1404;Other
901;ASV1419;Other
902;ASV1421;Other
903;ASV1436;Other
904;ASV1448;Other
905;ASV1458;Other
906;ASV1463;Other
907;ASV1465;Other
908;ASV1468;Other
909;ASV1473;Other
910;ASV1474;Other
911;ASV1475;Other
912;ASV1476;Other
913;ASV1477;Other
914;ASV1480;Other
915;ASV1488;Other
916;ASV1491;Other
917;ASV1508;Other
918;ASV1511;Other
919;ASV1515;Other
920;ASV1516;Other
921;ASV1517;Other
922;ASV1519;Other
923;ASV1522;Other
924;ASV1532;Other
925;ASV1533;Other
926;ASV1534;Other
927;ASV1536;Other
928;ASV1538;Other
929;ASV1539;Other
930;ASV1552;Other
931;ASV1559;Other
932;ASV1562;Other
933;ASV1573;Other
934;ASV1575;Other
935;ASV1581;Other
936;ASV1595;Other
937;ASV1601;Other
938;ASV1606;Other
939;ASV1608;Other
940;ASV1609;Other
941;ASV1610;Other
942;ASV1611;Other
943;ASV1616;Other
944;ASV1619;Other
945;ASV1628;Other
946;ASV1636;Other
947;ASV1642;Other
948;ASV1649;Other
949;ASV1656;Other
950;ASV1662;Other
951;ASV1666;Other
952;ASV1676;Other
953;ASV1677;Other
954;ASV1680;Other
955;ASV1685;Other
956;ASV1691;Other
957;ASV1696;Other
958;ASV1721;Other
959;ASV1728;Other
960;ASV1738;Other
961;ASV1748;Other
962;ASV1750;Other
963;ASV1754;Other
964;ASV1761;Other
965;ASV1763;Other
966;ASV1773;Other
967;ASV1791;Other
968;ASV1793;Other
969;ASV1795;Other
970;ASV1808;Other
971;ASV1811;Other
972;ASV1817;Other
973;ASV1827;Other
974;ASV1839;Other
975;ASV1846;Other
976;ASV1857;Other
977;ASV1859;Other
978;ASV1860;Other
979;ASV1870;Other
980;ASV1874;Other
981;ASV1892;Other
982;ASV1895;Other
983;ASV1896;Other
984;ASV1898;Other
985;ASV1906;Other
986;ASV1912;Other
987;ASV1922;Other
988;ASV1924;Other
989;ASV1929;Other
990;ASV1933;Other
991;ASV1934;Other
992;ASV1937;Other
993;ASV1941;Other
994;ASV1955;Other
995;ASV1957;Other
996;ASV1967;Other
997;ASV1969;Other
998;ASV1973;Other
999;ASV1984;Other
1000;ASV1985;Other
1001;ASV1990;Other
1002;ASV1998;Other
1003;ASV2001;Other
1004;ASV2003;Other
1005;ASV2004;Other
1006;ASV2005;Other
1007;ASV2007;Other
1008;ASV2008;Other
1009;ASV2015;Other
1010;ASV2016;Other
1011;ASV2027;Other
1012;ASV2036;Other
1013;ASV2037;Other
1014;ASV2043;Other
1015;ASV2046;Other
1016;ASV2055;Other
1017;ASV2066;Other
1018;ASV2067;Other
1019;ASV2080;Other
1020;ASV2084;Other
1021;ASV2085;Other
1022;ASV2088;Other
1023;ASV2089;Other
1024;ASV2097;Other
1025;ASV2103;Other
1026;ASV2106;Other
1027;ASV2108;Other
1028;ASV2109;Other
1029;ASV2122;Other
1030;ASV2123;Other
1031;ASV2128;Other
1032;ASV2131;Other
1033;ASV2137;Other
1034;ASV2142;Other
1035;ASV2146;Other
1036;ASV2158;Other
1037;ASV2161;Other
1038;ASV2164;Other
1039;ASV2165;Other
1040;ASV2169;Other
1041;ASV2178;Other
1042;ASV2181;Other
1043;ASV2194;Other
1044;ASV2196;Other
1045;ASV2208;Other
1046;ASV2210;Other
1047;ASV2225;Other
1048;ASV2226;Other
1049;ASV2242;Other
1050;ASV2245;Other
1051;ASV2249;Other
1052;ASV2255;Other
1053;ASV2259;Other
1054;ASV2283;Other
1055;ASV2287;Other
1056;ASV2288;Other
1057;ASV2290;Other
1058;ASV2291;Other
1059;ASV2292;Other
1060;ASV2302;Other
1061;ASV2308;Other
1062;ASV2317;Other
1063;ASV2318;Other
1064;ASV2319;Other
1065;ASV2337;Other
1066;ASV2338;Other
1067;ASV2345;Other
1068;ASV2352;Other
1069;ASV2354;Other
1070;ASV2376;Other
1071;ASV2404;Other
1072;ASV2406;Other
1073;ASV2408;Other
1074;ASV2412;Other
1075;ASV2418;Other
1076;ASV2419;Other
1077;ASV2434;Other
1078;ASV2435;Other
1079;ASV2438;Other
1080;ASV2446;Other
1081;ASV2450;Other
1082;ASV2454;Other
1083;ASV2459;Other
1084;ASV2464;Other
1085;ASV2465;Other
1086;ASV2474;Other
1087;ASV2480;Other
1088;ASV2508;Other
1089;ASV2530;Other
1090;ASV2534;Other
1091;ASV2536;Other
1092;ASV2538;Other
1093;ASV2548;Other
1094;ASV2555;Other
1095;ASV2556;Other
1096;ASV2568;Other
1097;ASV2574;Other
1098;ASV2591;Other
1099;ASV2592;Other
1100;ASV2595;Other
1101;ASV2605;Other
1102;ASV2615;Other
1103;ASV2628;Other
1104;ASV2635;Other
1105;ASV2651;Other
1106;ASV2655;Other
1107;ASV2670;Other
1108;ASV2691;Other
1109;ASV2695;Other
1110;ASV2705;Other
1111;ASV2711;Other
1112;ASV2714;Other
1113;ASV2716;Other
1114;ASV2731;Other
1115;ASV2755;Other
1116;ASV2759;Other
1117;ASV2764;Other
1118;ASV2777;Other
1119;ASV2779;Other
1120;ASV2783;Other
1121;ASV2799;Other
1122;ASV2803;Other
1123;ASV2805;Other
1124;ASV2813;Other
1125;ASV2814;Other
1126;ASV2815;Other
1127;ASV2833;Other
1128;ASV2840;Other
1129;ASV2854;Other
1130;ASV2872;Other
1131;ASV2899;Other
1132;ASV2901;Other
1133;ASV2909;Other
1134;ASV2931;Other
1135;ASV2933;Other
1136;ASV2935;Other
1137;ASV2939;Other
1138;ASV2970;Other
1139;ASV2972;Other
1140;ASV2973;Other
1141;ASV2992;Other
1142;ASV2993;Other
1143;ASV3045;Other
1144;ASV3046;Other
1145;ASV3073;Other
1146;ASV3081;Other
1147;ASV3106;Other
1148;ASV3123;Other
1149;ASV3142;Other
1150;ASV3172;Other
1151;ASV3185;Other
1152;ASV3188;Other
1153;ASV3206;Other
1154;ASV3215;Other
1155;ASV3216;Other
1156;ASV3220;Other
1157;ASV3225;Other
1158;ASV3249;Other
1159;ASV3255;Other
1160;ASV3261;Other
1161;ASV3295;Other
1162;ASV3297;Other
1163;ASV3300;Other
1164;ASV3302;Other
1165;ASV3307;Other
1166;ASV3310;Other
1167;ASV3313;Other
1168;ASV3314;Other
1169;ASV3315;Other
1170;ASV3319;Other
1171;ASV3344;Other
1172;ASV3349;Other
1173;ASV3363;Other
1174;ASV3378;Other
1175;ASV3381;Other
1176;ASV3386;Other
1177;ASV3388;Other
1178;ASV3411;Other
1179;ASV3412;Other
1180;ASV3416;Other
1181;ASV3433;Other
1182;ASV3439;Other
1183;ASV3458;Other
1184;ASV3460;Other
1185;ASV3464;Other
1186;ASV3511;Other
1187;ASV3525;Other
1188;ASV3532;Other
1189;ASV3535;Other
1190;ASV3536;Other
