ASV;C1A17;C1F18;C1A18;C2A17;C2F18;C2A18;C3A17;C3F18;C3A18;C4A17;C4F18;C4A18;F1A17;F1F18;F1A18;F2A17;F2F18;F2A18;F3A17;F3F18;F3A18;F4A17;F4F18;F4A18;H1A17;H1F18;H1A18;H2A17;H2F18;H2A18;H3A17;H3F18;H3A18;H4A17;H4F18;H4A18;P1F18;P1A18;P2F18;P3F18;P4F18;Q1A17;Q1F18;Q2A17;Q2F18;Q3A17;Q3F18;Q3A18;Q4A17;Q4F18;Q4A18;L1A17;L1F18;L1A18;L2A17;L2F18;L2A18;L3A17;L3F18;L3A18;L4A17;L4F18;L4A18
ASV0063;0;82;100;10;110;85;0;149;147;0;48;182;716;43;197;213;12;132;82;109;62;80;117;206;92;104;83;47;83;137;111;101;90;144;51;221;112;56;126;103;68;0;0;0;0;17;54;82;34;0;127;86;45;110;159;86;92;150;25;98;92;84;77
ASV0064;0;168;300;0;40;475;0;0;131;0;20;123;0;35;715;0;62;246;56;38;951;73;0;221;0;0;99;0;78;65;0;75;127;0;51;633;330;61;187;80;192;0;0;0;21;0;58;0;0;29;0;0;45;37;0;35;0;0;0;62;0;46;28
ASV0069;754;78;15;80;307;9;235;2111;336;139;1524;72;24;46;0;5;0;5;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0
ASV0071;1911;111;51;0;72;61;0;193;114;0;196;119;233;75;42;178;0;0;58;90;21;27;98;67;662;0;44;407;57;70;162;0;91;161;0;98;0;51;0;41;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;78;21;0;0
ASV0072;0;39;564;0;28;336;0;0;474;0;25;726;0;0;57;58;0;162;35;50;20;0;95;98;60;38;209;44;48;235;107;69;184;195;30;409;307;7;249;206;218;0;0;0;0;0;33;63;0;34;3;0;0;0;0;21;0;0;0;0;0;84;0
ASV0073;0;159;272;0;43;523;0;0;124;0;31;116;0;24;768;0;82;268;0;28;946;0;48;232;0;0;121;0;30;70;0;50;109;0;28;536;262;55;204;70;172;0;0;0;12;0;67;0;0;0;0;0;0;37;0;22;0;0;0;85;0;15;0
ASV0075;0;0;0;0;18;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;150;1971;0;0;0;0;63;0;63;0;0;0;61;0;0;1606;0;770;36;0;0;664;0;42;0
ASV0077;0;889;0;0;334;89;113;181;34;68;197;0;57;109;173;291;193;37;180;156;364;198;117;101;62;129;0;0;148;0;0;107;63;48;97;59;110;147;93;49;81;0;0;0;0;0;0;80;0;16;142;0;0;0;0;90;0;0;38;0;0;45;32
ASV0079;43;90;0;0;267;0;863;2414;0;25;1300;0;0;54;0;0;4;0;0;5;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;54;78;27;43;16;69;0;0;95;0;0;0;0;0;32;0;0;0;0;0;0;0
ASV0081;1868;105;53;0;75;28;0;208;122;0;186;101;190;0;0;185;0;0;56;37;0;86;47;0;603;0;73;419;0;43;124;0;35;167;0;116;72;42;0;0;34;0;0;0;0;0;0;36;0;16;87;0;0;0;44;0;0;24;0;76;0;0;0
ASV0083;0;36;538;0;24;300;0;0;407;0;0;756;0;0;48;83;0;149;24;65;8;24;79;86;47;36;213;65;72;206;85;30;159;147;32;397;268;13;221;188;194;20;0;0;24;0;25;50;0;0;4;0;0;0;0;30;0;0;19;0;0;85;0
ASV0085;0;78;459;0;14;1187;0;0;165;0;22;260;0;16;388;27;41;123;0;12;545;0;0;110;52;30;59;0;28;48;0;27;85;0;36;359;184;22;128;72;142;0;0;0;47;0;73;0;0;85;31;0;0;34;0;42;0;0;28;0;0;0;0
ASV0086;0;154;0;0;64;0;0;81;0;0;36;0;0;0;0;46;38;42;0;49;0;0;0;93;0;0;0;0;0;0;0;231;21;0;214;0;628;0;550;980;839;0;0;123;0;62;36;0;49;0;0;0;0;138;119;0;124;127;12;68;0;0;39
ASV0093;125;86;0;60;225;27;43;1970;208;48;1269;110;87;79;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;47;0;0;0;0;0;108;0;0;21;0;0;125;0;0;0;0;0;44;0;0;52;0
ASV0096;0;117;0;0;1370;0;0;379;0;0;489;0;0;960;0;0;810;0;0;70;0;0;111;0;0;0;0;0;100;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV0097;0;61;84;0;86;68;0;0;115;0;42;137;587;0;131;136;10;85;68;64;43;68;89;153;58;65;71;34;79;93;105;82;64;128;44;140;88;42;93;86;69;0;0;29;0;0;0;52;0;0;87;46;0;83;131;76;69;107;31;121;72;68;76
ASV0098;636;61;0;69;216;13;218;1523;252;120;1171;62;5;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV0101;0;6;373;0;1;208;0;13;515;0;0;949;15;0;48;7;0;136;0;11;16;0;6;71;8;11;196;8;3;203;19;10;136;30;13;477;48;13;47;47;39;0;0;51;0;39;27;75;27;0;95;63;0;0;42;2;0;46;0;98;26;2;0
ASV0102;0;77;386;23;19;872;49;0;183;0;20;198;0;15;328;0;38;102;0;14;433;0;0;110;0;0;50;0;29;37;0;51;68;68;29;274;159;12;108;49;118;0;0;0;38;0;66;0;0;37;0;0;0;32;0;51;0;0;0;0;0;33;0
ASV0104;0;90;98;0;38;75;0;9;176;0;4;191;48;19;141;84;17;153;27;65;53;9;66;219;35;60;83;47;86;145;126;163;107;159;120;200;99;24;232;203;204;18;0;0;0;44;0;198;52;0;66;10;2;0;37;16;0;10;3;0;9;10;12
ASV0107;0;41;117;0;72;76;0;0;83;0;37;104;501;0;113;161;21;90;58;54;38;79;79;128;58;57;56;41;72;85;109;54;70;107;38;159;96;35;76;86;68;0;0;63;0;0;0;49;0;0;84;43;37;86;105;51;53;114;22;115;52;53;73
ASV0111;522;42;0;45;191;7;182;1546;214;113;1051;31;15;52;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV0118;0;62;334;0;9;883;0;0;138;0;36;194;0;13;292;0;30;87;0;15;366;0;0;113;0;0;31;27;23;44;0;27;53;0;25;326;137;16;95;45;89;0;27;0;40;0;52;0;0;0;0;0;0;29;0;29;0;0;0;0;0;9;0
ASV0120;25;724;0;27;300;0;66;164;0;0;137;0;0;86;166;220;119;46;128;113;214;149;86;67;70;0;0;0;0;0;36;78;0;83;123;0;0;107;63;98;71;0;0;0;0;0;0;87;0;0;0;0;14;0;15;0;0;0;0;0;0;0;0
ASV0124;117;55;0;0;161;0;67;1552;167;0;1009;135;83;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0
ASV0126;0;107;0;0;1138;0;0;319;0;0;346;0;0;718;0;0;614;0;0;69;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;21;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV0127;0;645;0;0;241;0;62;152;0;0;175;0;0;91;162;227;121;73;119;123;185;113;79;81;80;0;0;41;0;36;67;73;0;48;70;0;0;104;64;47;47;0;0;0;45;0;36;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0
ASV0128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;24;0;0;87;0;0;97;0;0;209;0;0;135;0;487;23;422;701;616;14;0;0;0;0;0;0;0;0;0;77;0;103;136;33;58;0;0;54;0;33;27
ASV0131;90;64;14;0;135;0;39;1459;146;0;971;64;68;41;0;0;0;0;0;11;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;23;0;0;0;0;57;0;0;32;0;0;0;0;0;0;0
ASV0133;0;89;0;0;1008;0;0;289;0;0;320;0;0;695;0;0;546;0;0;83;0;0;78;0;0;67;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV0134;0;7;271;0;2;180;0;0;378;0;0;727;0;0;42;12;0;88;18;17;14;0;10;60;5;14;192;6;7;191;11;12;117;27;10;359;34;20;44;28;32;0;0;0;0;0;11;50;0;19;76;0;0;0;0;5;38;0;0;87;0;4;0
ASV0135;0;0;0;0;0;0;0;0;40;0;0;0;22;0;35;0;0;0;0;0;65;0;0;0;0;0;0;0;34;0;13;171;0;0;122;0;499;45;393;644;613;38;0;0;0;0;0;0;41;0;0;27;0;89;91;25;0;0;0;49;88;0;61
ASV0136;0;0;0;0;0;0;0;0;1;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;30;0;0;33;0;0;0;0;0;18;0;0;0;2426;0;0;0;75;0;240;0;149;0;0;195;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV0142;0;67;88;0;28;67;0;0;135;0;3;155;40;0;109;83;15;97;25;72;44;5;33;163;32;32;76;26;70;84;100;109;71;130;75;173;80;17;202;154;144;0;0;12;0;0;0;131;0;0;52;5;0;0;10;14;0;9;5;0;7;12;18
ASV0143;0;0;27;0;0;64;0;0;257;0;0;151;67;0;23;5;0;42;0;0;43;0;0;0;35;0;108;0;0;107;0;0;82;0;0;0;0;1462;0;0;0;0;0;0;0;0;16;311;0;0;69;0;0;0;0;0;0;0;0;98;0;0;84
ASV0145;0;6;266;0;4;172;0;0;400;0;0;659;0;0;39;6;0;99;3;13;16;0;6;62;4;8;147;11;9;188;11;7;77;17;6;343;45;14;40;20;34;0;0;0;21;0;7;47;0;0;66;0;0;0;0;2;79;0;0;76;0;7;0
ASV0147;0;51;86;0;54;63;0;0;130;0;5;146;48;0;99;59;34;106;24;54;64;11;62;152;34;54;67;22;55;84;119;107;85;117;73;123;76;7;169;138;113;0;0;37;0;0;0;139;0;0;50;9;4;0;26;6;0;6;3;0;10;9;7
ASV0172;370;42;0;34;129;6;116;958;123;64;653;35;16;34;0;9;0;6;0;10;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV0183;32;69;0;0;260;37;7;658;219;10;550;70;0;25;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;6;28;6;15;134;8;0;0;0;0;0;0;0;122;0;0;18;0;0;84
ASV0190;0;0;0;0;0;0;0;0;71;0;0;0;100;0;27;46;0;58;18;0;53;0;97;68;0;55;51;0;81;95;0;41;107;0;66;57;0;46;108;0;45;146;78;0;69;0;190;0;42;107;0;0;14;94;0;51;61;44;0;8;0;39;112
ASV0195;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1790;0;0;0;36;0;189;0;113;0;0;139;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV0205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;941;0;0;903;0;0;0;0;0;75;0;0;126;0;0;118
ASV0206;0;224;34;0;115;12;0;0;77;0;0;47;0;106;0;0;51;0;0;197;0;0;204;0;0;129;0;0;78;28;0;58;47;0;0;0;76;0;134;49;135;88;0;0;0;50;0;51;29;0;73;37;13;0;25;0;0;12;0;0;0;19;0
ASV0210;0;9;167;0;0;99;0;0;186;0;0;279;2;0;22;1;1;80;0;10;20;0;6;61;4;20;118;6;13;126;9;22;53;12;33;304;53;8;82;40;45;0;3;11;0;0;6;90;5;0;21;9;17;0;0;29;0;7;23;0;0;46;0
ASV0213;0;0;0;0;0;0;0;0;2;0;0;7;0;0;3;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1608;0;0;0;51;0;201;0;119;0;0;146;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV0214;57;53;0;0;104;0;0;939;106;0;618;0;53;30;0;0;0;16;0;0;0;0;0;0;10;27;0;0;0;0;0;0;0;0;0;0;0;0;0;47;17;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;18;0
ASV0221;0;402;34;0;156;0;62;121;0;22;85;43;0;71;88;166;73;0;85;74;165;101;41;53;0;0;45;0;28;0;0;48;0;0;0;0;0;64;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0
ASV0223;0;4;183;0;2;108;0;0;261;0;0;462;0;0;26;10;0;64;0;7;8;0;8;40;6;9;92;0;0;120;6;0;77;20;8;224;35;7;20;7;30;0;0;6;0;9;8;43;13;0;57;0;0;0;0;2;0;0;0;84;0;1;0
ASV0238;0;0;0;0;0;38;0;0;199;0;0;116;52;0;38;0;0;0;0;0;0;7;0;19;0;0;0;0;0;0;0;0;0;0;0;21;0;961;0;0;0;0;0;0;0;0;0;214;0;0;59;0;0;0;0;0;0;0;0;95;0;0;56
ASV0251;0;0;0;0;0;41;0;0;192;0;0;101;46;0;22;0;0;23;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;924;0;0;0;0;0;0;0;0;0;213;0;0;52;0;0;0;0;0;0;0;0;66;0;0;55
ASV0255;25;41;0;0;202;38;10;445;152;7;412;53;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;20;0;8;0;7;0;99;6;0;0;0;0;0;0;0;89;0;0;12;0;0;69
ASV0257;31;45;0;0;183;26;6;504;116;9;405;50;0;28;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;7;0;3;0;88;2;0;0;0;0;0;0;0;96;0;0;10;0;0;66
ASV0259;521;0;0;22;0;0;41;0;41;46;0;85;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;60;0;75;0;0;0;0;54;0;0;0;0;278;0;0;90;0;0;90;0;0;154
ASV0261;0;5;105;0;0;67;0;0;192;0;0;258;0;0;35;2;0;55;3;2;9;0;2;35;0;21;68;2;7;100;4;24;73;13;17;263;38;6;61;42;41;0;0;0;0;0;5;71;0;0;13;0;0;0;0;28;0;0;0;0;0;40;0
ASV0262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;651;0;562;0;0;438;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV0270;0;51;39;0;0;46;25;0;32;0;0;8;0;19;394;26;0;101;0;22;470;18;0;154;0;0;0;0;10;40;0;0;36;30;0;37;13;45;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;18;0;0;14;0;0;15;0
ASV0271;0;8;32;0;4;23;0;0;88;0;35;48;1114;0;9;71;0;8;24;0;0;60;0;7;52;0;0;37;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;11;0;0;2;0;0;14;8
ASV0273;0;0;0;0;0;19;0;0;77;0;0;86;0;0;29;0;0;0;0;0;0;0;0;42;0;90;56;0;87;74;0;87;40;24;89;119;70;23;94;102;121;0;0;0;0;0;0;103;0;0;81;0;0;0;0;0;0;0;19;100;0;29;0
ASV0277;0;3;120;0;0;68;0;0;159;0;0;188;0;0;27;1;0;68;2;11;9;0;10;37;2;14;72;6;13;107;4;19;46;11;20;296;41;6;36;31;37;0;0;0;18;0;6;68;0;0;11;0;0;0;0;23;0;0;15;0;0;40;0
ASV0279;0;65;57;0;16;107;0;0;22;0;22;24;0;26;124;0;56;37;0;39;164;0;36;56;0;36;21;0;24;13;0;9;20;0;39;97;144;17;103;53;113;0;0;0;0;0;0;0;0;0;80;0;0;0;0;9;0;0;13;0;0;0;0
ASV0283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;642;0;0;699;0;0;80;0;0;44;0;0;67;0;0;80
ASV0302;162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;0;36;0;0;0;0;183;0;0;0;0;0;0;880;0;0;0;0;0
ASV0303;0;76;0;0;358;0;0;627;0;0;436;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV0308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;613;0;0;715;0;0;44;0;0;45;0;0;0;0;0;78
