"";"Type";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18"
"ASV0097";"Shared";0;61;84;0;86;68;0;0;115;0;42;137;587;0;131;136;10;85;68;64;43;68;89;153;58;65;71;34;79;93;105;82;64;128;44;140;88;42;93;86;69;0;0;29;0;0;0;52;0;0;87;46;0;83;131;76;69;107;31;121;72;68;76
"ASV0098";"Other";636;61;0;69;216;13;218;1523;252;120;1171;62;5;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV0101";"Shared";0;6;373;0;1;208;0;13;515;0;0;949;15;0;48;7;0;136;0;11;16;0;6;71;8;11;196;8;3;203;19;10;136;30;13;477;48;13;47;47;39;0;0;51;0;39;27;75;27;0;95;63;0;0;42;2;0;46;0;98;26;2;0
"ASV0102";"Shared";0;77;386;23;19;872;49;0;183;0;20;198;0;15;328;0;38;102;0;14;433;0;0;110;0;0;50;0;29;37;0;51;68;68;29;274;159;12;108;49;118;0;0;0;38;0;66;0;0;37;0;0;0;32;0;51;0;0;0;0;0;33;0
"ASV0104";"Shared";0;90;98;0;38;75;0;9;176;0;4;191;48;19;141;84;17;153;27;65;53;9;66;219;35;60;83;47;86;145;126;163;107;159;120;200;99;24;232;203;204;18;0;0;0;44;0;198;52;0;66;10;2;0;37;16;0;10;3;0;9;10;12
"ASV0107";"Shared";0;41;117;0;72;76;0;0;83;0;37;104;501;0;113;161;21;90;58;54;38;79;79;128;58;57;56;41;72;85;109;54;70;107;38;159;96;35;76;86;68;0;0;63;0;0;0;49;0;0;84;43;37;86;105;51;53;114;22;115;52;53;73
"ASV0111";"Other";522;42;0;45;191;7;182;1546;214;113;1051;31;15;52;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV0118";"Shared";0;62;334;0;9;883;0;0;138;0;36;194;0;13;292;0;30;87;0;15;366;0;0;113;0;0;31;27;23;44;0;27;53;0;25;326;137;16;95;45;89;0;27;0;40;0;52;0;0;0;0;0;0;29;0;29;0;0;0;0;0;9;0
"ASV0120";"Shared";25;724;0;27;300;0;66;164;0;0;137;0;0;86;166;220;119;46;128;113;214;149;86;67;70;0;0;0;0;0;36;78;0;83;123;0;0;107;63;98;71;0;0;0;0;0;0;87;0;0;0;0;14;0;15;0;0;0;0;0;0;0;0
"ASV0124";"Other";117;55;0;0;161;0;67;1552;167;0;1009;135;83;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0
"ASV0126";"Other";0;107;0;0;1138;0;0;319;0;0;346;0;0;718;0;0;614;0;0;69;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;21;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ASV0127";"Shared";0;645;0;0;241;0;62;152;0;0;175;0;0;91;162;227;121;73;119;123;185;113;79;81;80;0;0;41;0;36;67;73;0;48;70;0;0;104;64;47;47;0;0;0;45;0;36;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0
